# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 0 12', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', ladderQ_timing_secs, heap2tQ_timing_secs
Thu Dec 29 13:34:54 EST 2016, 9550, .73000000000000000000, 8, .98000000000000000000, 300, 22, 14, 25, 73, 10.047, 9.007
Thu Dec 29 13:41:26 EST 2016, 7075, .48000000000000000000, 11, .23000000000000000000, 375, 90, 19, 12, 50, 0.000, 28.490
Thu Dec 29 13:43:21 EST 2016, 2125, .98000000000000000000, 5, .73000000000000000000, 525, 45, 10, 37, 95, 90.647, 53.403
Thu Dec 29 13:43:52 EST 2016, 1506, .04000000000000000000, 9, .92000000000000000000, 581, 51, 1, 15, 22, 0.750, 0.747
Thu Dec 29 13:46:08 EST 2016, 6456, .54000000000000000000, 3, .42000000000000000000, 431, 96, 11, 40, 67, 71.340, 57.723
Thu Dec 29 13:46:58 EST 2016, 8931, .29000000000000000000, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.060, 0.053
Thu Dec 29 14:36:27 EST 2016, 7694, .92000000000000000000, 10, .29000000000000000000, 469, 17, 13, 21, 56, 18.167, 15.447
Thu Dec 29 14:37:48 EST 2016, 5219, .17000000000000000000, 7, .54000000000000000000, 544, 84, 18, 34, 33, 36.873, 33.257
Thu Dec 29 14:38:44 EST 2016, 269, .67000000000000000000, 1, .04000000000000000000, 394, 39, 8, 9, 78, 18.503, 11.130
Thu Dec 29 14:39:29 EST 2016, 346, .02000000000000000000, 7, .41000000000000000000, 499, 46, 14, 19, 50, 13.930, 11.817
Thu Dec 29 14:40:25 EST 2016, 5296, .52000000000000000000, 1, .91000000000000000000, 349, 91, 4, 44, 95, 11.190, 11.483
Thu Dec 29 14:41:20 EST 2016, 7771, .27000000000000000000, 4, .16000000000000000000, 424, 23, 9, 7, 27, 2.857, 2.393
Thu Dec 29 14:46:01 EST 2016, 2821, .77000000000000000000, 10, .66000000000000000000, 574, 68, 18, 32, 72, 191.903, 93.233
Thu Dec 29 14:46:22 EST 2016, 4059, .39000000000000000000, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.057, 0.057
Thu Dec 29 14:47:22 EST 2016, 9009, .89000000000000000000, 6, .78000000000000000000, 537, 12, 2, 13, 83, 1.813, 2.050
Thu Dec 29 14:48:28 EST 2016, 6534, .14000000000000000000, 9, .03000000000000000000, 462, 79, 7, 26, 16, 6.033, 4.910
Thu Dec 29 14:55:05 EST 2016, 1584, .64000000000000000000, 3, .53000000000000000000, 312, 34, 16, 1, 61, 280.187, 7.013
Thu Dec 29 14:55:35 EST 2016, 2202, .33000000000000000000, 11, .85000000000000000000, 368, 40, 12, 29, 33, 8.373, 7.840
Thu Dec 29 14:56:51 EST 2016, 7152, .83000000000000000000, 5, .35000000000000000000, 518, 85, 3, 4, 78, 20.670, 12.080
Thu Dec 29 14:57:32 EST 2016, 9627, .08000000000000000000, 2, .60000000000000000000, 593, 18, 8, 41, 10, 1.153, 1.113
Thu Dec 29 15:04:13 EST 2016, 4677, .58000000000000000000, 8, .10000000000000000000, 443, 63, 17, 16, 55, 300.000, 34.603
Thu Dec 29 15:04:49 EST 2016, 3440, .21000000000000000000, 3, .97000000000000000000, 556, 74, 10, 10, 44, 9.373, 7.770
Thu Dec 29 15:05:44 EST 2016, 8390, .71000000000000000000, 9, .47000000000000000000, 406, 29, 1, 35, 89, 3.003, 3.297
Thu Dec 29 15:06:45 EST 2016, 5915, .46000000000000000000, 6, .72000000000000000000, 331, 96, 5, 23, 21, 4.430, 4.077
Thu Dec 29 15:07:40 EST 2016, 965, .96000000000000000000, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.070, 0.063
Thu Dec 29 15:08:46 EST 2016, 1274, .49000000000000000000, 5, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.053, 0.057
Thu Dec 29 15:10:17 EST 2016, 6224, .99000000000000000000, 11, .50000000000000000000, 415, 77, 14, 12, 30, 30.857, 18.457
Thu Dec 29 15:16:23 EST 2016, 8699, .24000000000000000000, 8, .25000000000000000000, 340, 54, 19, 49, 97, 224.200, 62.030
Thu Dec 29 15:17:24 EST 2016, 3749, .74000000000000000000, 2, .75000000000000000000, 490, 99, 10, 24, 52, 34.393, 25.607
Thu Dec 29 15:17:59 EST 2016, 4987, .11000000000000000000, 10, .13000000000000000000, 303, 88, 2, 5, 64, 2.710, 3.417
Thu Dec 29 15:19:00 EST 2016, 9937, .61000000000000000000, 4, .63000000000000000000, 453, 43, 12, 30, 19, 8.347, 7.953
Thu Dec 29 15:25:17 EST 2016, 7462, .36000000000000000000, 1, .38000000000000000000, 528, 65, 17, 18, 86, 213.760, 29.353
Thu Dec 29 15:26:07 EST 2016, 2512, .86000000000000000000, 7, .88000000000000000000, 378, 20, 7, 43, 41, 5.823, 5.227
Thu Dec 29 15:27:03 EST 2016, 1893, .18000000000000000000, 1, .69000000000000000000, 434, 15, 4, 15, 58, 0.787, 0.930
Thu Dec 29 15:28:19 EST 2016, 6843, .68000000000000000000, 7, .19000000000000000000, 584, 60, 13, 40, 13, 17.220, 14.443
Thu Dec 29 15:29:19 EST 2016, 9318, .43000000000000000000, 10, .94000000000000000000, 509, 37, 18, 2, 80, 14.787, 8.887
Thu Dec 29 15:30:40 EST 2016, 4368, .93000000000000000000, 4, .44000000000000000000, 359, 82, 8, 27, 35, 35.087, 16.540
Thu Dec 29 15:31:21 EST 2016, 3130, .30000000000000000000, 6, .56000000000000000000, 471, 93, 1, 46, 69, 9.277, 8.833
Thu Dec 29 15:32:06 EST 2016, 8080, .80000000000000000000, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.050, 0.050
Thu Dec 29 15:33:47 EST 2016, 5605, .05000000000000000000, 3, .81000000000000000000, 396, 71, 15, 34, 92, 35.887, 31.957
