# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 0 12', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, ladderQ_timing_secs
Tue Jan 10 17:16:01 EST 2017, 2836, 0.890, 5, 0.150, 472, 48, 11, 6, 45, 0.540, 0.437
Tue Jan 10 17:18:17 EST 2017, 4073, 0.270, 6, 0.780, 360, 37, 18, 24, 56, 14.463, 14.970
Tue Jan 10 17:20:13 EST 2017, 9023, 0.770, 0, 0.280, 510, 82, 9, 49, 11, 10.987, 10.933
Tue Jan 10 17:22:08 EST 2017, 6548, 0.020, 3, 0.530, 585, 15, 4, 12, 78, 1.847, 1.783
Tue Jan 10 17:24:34 EST 2017, 1598, 0.520, 9, 0.030, 435, 60, 14, 37, 33, 24.283, 24.527
Tue Jan 10 17:31:01 EST 2017, 2217, 0.460, 5, 0.340, 378, 65, 15, 9, 61, 20.437, 189.050
Tue Jan 10 17:31:16 EST 2017, 7167, 0.960, 11, 0.840, 528, 20, 5, 34, 16, 0.090, 0.093
Tue Jan 10 17:33:17 EST 2017, 9642, 0.210, 8, 0.090, 453, 88, 1, 21, 84, 4.537, 4.473
Tue Jan 10 17:35:27 EST 2017, 4692, 0.710, 2, 0.590, 303, 43, 10, 46, 39, 8.953, 9.090
Tue Jan 10 17:38:03 EST 2017, 3454, 0.080, 10, 0.470, 491, 54, 17, 27, 73, 33.677, 40.187
Tue Jan 10 17:41:29 EST 2017, 8404, 0.580, 4, 0.970, 341, 99, 8, 2, 28, 3.533, 3.523
Tue Jan 10 17:43:30 EST 2017, 5929, 0.330, 1, 0.220, 416, 31, 3, 40, 95, 3.363, 3.300
Tue Jan 10 17:45:05 EST 2017, 979, 0.830, 7, 0.720, 566, 76, 13, 15, 50, 34.737, 37.947
Tue Jan 10 17:47:41 EST 2017, 1289, 0.360, 11, 0.500, 481, 96, 7, 1, 47, 7.397, 7.590
Tue Jan 10 17:55:18 EST 2017, 6239, 0.860, 5, 0.000, 331, 51, 17, 26, 92, 72.270, 0.000
Tue Jan 10 18:58:19 EST 2017, 8714, 0.110, 2, 0.750, 406, 74, 12, 13, 25, 3.983, 3.977
Tue Jan 10 19:00:15 EST 2017, 3764, 0.610, 8, 0.250, 556, 29, 2, 38, 70, 5.287, 5.240
Tue Jan 10 19:02:15 EST 2017, 5001, 0.240, 4, 0.620, 444, 17, 10, 32, 36, 3.687, 3.747
Tue Jan 10 19:09:42 EST 2017, 9951, 0.740, 10, 0.120, 594, 62, 19, 7, 81, 67.847, 0.000
Tue Jan 10 19:12:33 EST 2017, 7476, 0.490, 7, 0.870, 519, 40, 14, 45, 14, 8.010, 7.773
Tue Jan 10 19:14:29 EST 2017, 2526, 0.990, 1, 0.370, 369, 85, 5, 20, 59, 0.100, 0.107
Tue Jan 10 19:16:45 EST 2017, 1907, 0.050, 7, 0.190, 313, 79, 6, 48, 42, 9.113, 9.413
Tue Jan 10 19:20:52 EST 2017, 6857, 0.550, 1, 0.690, 463, 34, 15, 23, 87, 13.007, 14.450
Tue Jan 10 19:22:52 EST 2017, 9332, 0.300, 4, 0.440, 538, 57, 11, 35, 19, 9.820, 8.953
