# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 1 10', '--delay 1 10', '--selfEvents% 0 100', '--callIntervalMean 1 10', '--callDurationMean 1 10', '--maxChannels 10 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, heap2tQ_timing_secs
Wed May 17 14:41:33 EDT 2017, 0.470, 2, 9, 0.780, 8, 4, 80, 525, 30, 15, 3, 94, 21.340, 22.987
Wed May 17 14:41:51 EDT 2017, 0.970, 7, 5, 0.280, 3, 9, 35, 375, 75, 6, 28, 49, 15.917, 17.713
Wed May 17 14:41:55 EDT 2017, 0.720, 5, 2, 0.530, 1, 2, 12, 450, 52, 1, 16, 26, 2.573, 3.547
Wed May 17 14:42:27 EDT 2017, 0.220, 9, 7, 0.030, 6, 7, 57, 300, 97, 11, 41, 71, 30.543, 31.517
Wed May 17 14:42:40 EDT 2017, 0.150, 1, 1, 0.340, 6, 6, 97, 469, 24, 5, 37, 55, 12.580, 10.367
Wed May 17 14:42:45 EDT 2017, 0.650, 5, 5, 0.840, 2, 2, 52, 319, 69, 14, 12, 10, 4.650, 3.960
Wed May 17 14:43:02 EDT 2017, 0.900, 3, 7, 0.090, 4, 8, 29, 544, 47, 19, 25, 32, 17.503, 15.520
Wed May 17 14:44:08 EDT 2017, 0.400, 8, 3, 0.590, 8, 4, 74, 394, 92, 10, 0, 77, 64.770, 55.233
Wed May 17 14:44:11 EDT 2017, 0.280, 4, 6, 0.470, 3, 3, 86, 356, 13, 17, 31, 21, 2.137, 1.883
Wed May 17 14:44:55 EDT 2017, 0.780, 9, 2, 0.970, 7, 7, 41, 506, 58, 7, 6, 66, 43.920, 36.053
Wed May 17 14:45:04 EDT 2017, 0.530, 2, 4, 0.220, 5, 1, 18, 431, 36, 2, 44, 88, 6.643, 9.387
Wed May 17 14:45:34 EDT 2017, 0.030, 6, 9, 0.720, 1, 5, 63, 581, 81, 12, 19, 43, 24.840, 28.457
Wed May 17 14:45:53 EDT 2017, 0.040, 4, 1, 0.080, 8, 4, 22, 324, 34, 6, 9, 70, 19.147, 15.237
Wed May 17 14:46:14 EDT 2017, 0.540, 9, 6, 0.580, 3, 9, 67, 474, 79, 16, 34, 25, 20.463, 17.923
Wed May 17 14:46:17 EDT 2017, 0.790, 2, 8, 0.330, 1, 2, 90, 399, 12, 11, 21, 48, 2.657, 2.977
Wed May 17 14:46:43 EDT 2017, 0.290, 6, 3, 0.830, 5, 7, 45, 549, 57, 2, 46, 93, 16.903, 24.507
Wed May 17 14:46:48 EDT 2017, 0.420, 1, 7, 0.200, 2, 5, 11, 511, 45, 13, 15, 14, 4.643, 4.690
Wed May 17 14:47:16 EDT 2017, 0.920, 5, 2, 0.700, 7, 1, 56, 361, 90, 4, 40, 59, 26.647, 27.210
Wed May 17 14:47:33 EDT 2017, 0.670, 3, 5, 0.450, 9, 8, 79, 586, 23, 9, 2, 81, 15.493, 16.257
Wed May 17 14:47:52 EDT 2017, 0.170, 7, 9, 0.950, 4, 3, 34, 436, 68, 18, 27, 36, 18.517, 18.387
Wed May 17 14:48:17 EDT 2017, 0.230, 2, 3, 0.640, 4, 4, 28, 567, 51, 7, 30, 53, 24.087, 24.177
Wed May 17 14:49:46 EDT 2017, 0.730, 7, 7, 0.140, 8, 8, 73, 417, 96, 17, 5, 98, 87.857, 74.783
Wed May 17 14:50:07 EDT 2017, 0.980, 5, 5, 0.890, 6, 2, 95, 492, 29, 12, 43, 76, 20.383, 19.020
Wed May 17 14:50:19 EDT 2017, 0.480, 9, 1, 0.390, 2, 6, 50, 342, 74, 3, 18, 31, 10.713, 11.157
Wed May 17 14:50:42 EDT 2017, 0.360, 3, 8, 0.520, 7, 7, 17, 380, 40, 15, 49, 87, 21.523, 22.007
Wed May 17 14:51:07 EDT 2017, 0.860, 8, 4, 0.020, 3, 3, 62, 530, 85, 5, 24, 42, 21.337, 24.520
Wed May 17 14:51:10 EDT 2017, 0.610, 1, 2, 0.770, 5, 9, 84, 305, 17, 10, 37, 19, 2.810, 2.053
Wed May 17 14:51:59 EDT 2017, 0.110, 6, 6, 0.270, 9, 5, 39, 455, 62, 19, 12, 64, 47.437, 37.907
Wed May 17 14:52:09 EDT 2017, 0.080, 1, 8, 0.480, 5, 2, 70, 539, 59, 3, 13, 50, 6.377, 9.807
Wed May 17 14:52:23 EDT 2017, 0.580, 6, 3, 0.980, 1, 7, 25, 389, 14, 13, 38, 95, 14.213, 11.237
Wed May 17 15:07:05 EDT 2017, 0.830, 4, 1, 0.230, 3, 5, 48, 464, 82, 18, 1, 73, 469.410, 764.117
Wed May 17 15:07:10 EDT 2017, 0.330, 8, 5, 0.730, 7, 9, 93, 314, 37, 8, 26, 28, 4.460, 4.730
Wed May 17 15:08:26 EDT 2017, 0.450, 5, 4, 0.360, 4, 8, 59, 427, 71, 15, 7, 84, 74.263, 56.093
Wed May 17 15:08:31 EDT 2017, 0.950, 9, 9, 0.860, 9, 3, 14, 577, 26, 6, 32, 39, 3.953, 5.200
Wed May 17 15:08:33 EDT 2017, 0.700, 3, 6, 0.110, 6, 6, 36, 352, 93, 1, 19, 17, 1.213, 1.767
