# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, fibHeap_timing_secs
Mon Jan  9 15:16:58 EST 2017, 1816, 0.510, 7, 0.820, 460, 31, 19, 4, 31, 10.897, 8.667
Mon Jan  9 15:17:29 EST 2017, 2434, 0.450, 2, 0.510, 516, 25, 10, 26, 92, 28.183, 28.090
Mon Jan  9 15:17:33 EST 2017, 7384, 0.950, 6, 0.010, 366, 70, 1, 1, 47, 2.470, 3.060
Mon Jan  9 15:18:16 EST 2017, 9859, 0.200, 8, 0.760, 441, 48, 6, 39, 70, 42.597, 40.697
Mon Jan  9 15:19:01 EST 2017, 4909, 0.700, 4, 0.260, 591, 93, 15, 14, 25, 45.017, 39.177
Mon Jan  9 15:20:15 EST 2017, 3672, 0.070, 7, 0.630, 403, 82, 13, 7, 81, 71.847, 54.010
Mon Jan  9 15:20:23 EST 2017, 8622, 0.570, 3, 0.130, 553, 37, 3, 32, 36, 7.630, 7.640
Mon Jan  9 15:21:00 EST 2017, 6147, 0.320, 5, 0.880, 478, 59, 8, 20, 59, 37.397, 34.010
Mon Jan  9 15:21:06 EST 2017, 1197, 0.820, 9, 0.380, 328, 14, 17, 45, 14, 5.697, 5.317
Mon Jan  9 15:21:09 EST 2017, 887, 0.360, 6, 0.350, 413, 34, 3, 31, 16, 2.773, 2.773
Mon Jan  9 15:21:35 EST 2017, 5837, 0.860, 1, 0.850, 563, 79, 12, 6, 61, 25.387, 22.940
Mon Jan  9 15:21:50 EST 2017, 8312, 0.110, 4, 0.100, 488, 11, 17, 43, 39, 15.640, 15.003
Mon Jan  9 15:22:22 EST 2017, 3362, 0.610, 8, 0.600, 338, 56, 7, 18, 84, 31.487, 29.867
Mon Jan  9 15:22:26 EST 2017, 4600, 0.230, 2, 0.480, 450, 67, 5, 0, 28, 3.663, 3.503
Mon Jan  9 15:22:48 EST 2017, 9550, 0.730, 7, 0.980, 300, 22, 14, 25, 73, 21.263, 20.040
