# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, ladderQ_timing_secs
Sun Jul  2 10:45:13 EDT 2017, 0.140, 126, 22, 5, 19, 520, 8, 46, 28, 44, 98.440, 75.600
Sun Jul  2 10:45:34 EDT 2017, 0.640, 146, 27, 9, 8, 370, 18, 26, 13, 24, 20.693, 16.963
Sun Jul  2 10:45:49 EDT 2017, 0.890, 136, 25, 3, 14, 595, 13, 36, 20, 14, 15.310, 13.037
Sun Jul  2 10:45:51 EDT 2017, 0.390, 156, 20, 7, 25, 445, 4, 16, 5, 34, 1.470, 1.530
Sun Jul  2 10:45:53 EDT 2017, 0.260, 131, 29, 4, 17, 408, 6, 21, 24, 19, 1.527, 1.500
Sun Jul  2 10:49:00 EDT 2017, 0.760, 151, 24, 8, 28, 558, 16, 41, 9, 39, 186.923, 140.277
Sun Jul  2 10:49:10 EDT 2017, 0.510, 121, 21, 2, 22, 333, 11, 11, 17, 49, 9.637, 8.313
Sun Jul  2 10:49:11 EDT 2017, 0.010, 141, 26, 6, 11, 483, 1, 31, 2, 29, 0.463, 0.510
Sun Jul  2 10:55:43 EDT 2017, 0.020, 125, 21, 9, 26, 504, 16, 44, 19, 48, 391.450, 284.093
Sun Jul  2 10:55:47 EDT 2017, 0.520, 145, 26, 5, 15, 354, 7, 24, 4, 28, 4.467, 4.203
Sun Jul  2 10:55:48 EDT 2017, 0.770, 135, 29, 7, 9, 579, 2, 34, 26, 18, 0.840, 0.880
Sun Jul  2 10:55:57 EDT 2017, 0.270, 155, 24, 3, 20, 429, 11, 14, 11, 38, 8.340, 7.200
Sun Jul  2 10:56:07 EDT 2017, 0.400, 130, 25, 8, 12, 391, 18, 29, 15, 13, 9.547, 8.413
