# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 1 10', '--delay 1 10', '--selfEvents% 0 100', '--callIntervalMean 1 10', '--callDurationMean 1 10', '--maxChannels 10 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, ladderQ_timing_secs
Wed May 17 14:41:51 EDT 2017, 0.270, 6, 2, 0.050, 5, 2, 23, 433, 99, 3, 21, 83, 39.553, 40.397
Wed May 17 14:41:54 EDT 2017, 0.390, 1, 8, 0.920, 8, 3, 34, 321, 20, 15, 40, 27, 2.720, 2.637
Wed May 17 14:42:23 EDT 2017, 0.890, 5, 3, 0.420, 4, 7, 79, 471, 65, 5, 15, 72, 27.120, 28.197
Wed May 17 14:43:28 EDT 2017, 0.640, 3, 1, 0.670, 1, 5, 57, 396, 43, 10, 27, 95, 64.177, 63.417
Wed May 17 14:44:36 EDT 2017, 0.140, 7, 6, 0.170, 6, 9, 12, 546, 88, 19, 2, 50, 66.880, 66.173
Wed May 17 14:44:40 EDT 2017, 0.210, 2, 2, 0.490, 6, 9, 51, 377, 14, 6, 5, 33, 3.223, 3.107
Wed May 17 14:45:37 EDT 2017, 0.710, 7, 6, 0.990, 2, 4, 96, 527, 59, 16, 30, 78, 56.177, 56.040
Wed May 17 14:45:45 EDT 2017, 0.960, 5, 8, 0.240, 4, 7, 73, 302, 37, 11, 18, 55, 7.980, 7.860
Wed May 17 14:45:47 EDT 2017, 0.460, 9, 4, 0.740, 9, 2, 28, 452, 82, 2, 43, 10, 1.760, 1.763
Wed May 17 14:46:14 EDT 2017, 0.330, 4, 5, 0.360, 3, 1, 40, 564, 26, 13, 24, 89, 25.837, 25.780
Wed May 17 14:46:38 EDT 2017, 0.830, 8, 1, 0.860, 7, 5, 85, 414, 71, 4, 49, 44, 23.077, 22.123
Wed May 17 14:46:47 EDT 2017, 0.580, 1, 3, 0.110, 5, 3, 62, 489, 48, 9, 12, 21, 9.293, 9.220
Wed May 17 14:47:36 EDT 2017, 0.080, 6, 7, 0.610, 1, 8, 17, 339, 93, 18, 37, 66, 48.620, 47.400
Wed May 17 14:47:48 EDT 2017, 0.110, 2, 6, 0.640, 5, 5, 93, 424, 96, 5, 38, 36, 11.700, 11.833
Wed May 17 14:49:44 EDT 2017, 0.610, 6, 2, 0.140, 9, 1, 48, 574, 51, 14, 13, 81, 112.463, 115.080
Wed May 17 14:50:38 EDT 2017, 0.860, 4, 4, 0.890, 7, 7, 26, 349, 73, 19, 26, 58, 53.677, 53.090
Wed May 17 14:50:40 EDT 2017, 0.360, 8, 9, 0.390, 3, 3, 71, 499, 28, 9, 1, 13, 1.680, 1.647
Wed May 17 14:58:07 EDT 2017, 0.490, 5, 1, 0.520, 6, 4, 82, 536, 85, 16, 32, 92, 438.733, 443.413
Wed May 17 14:58:16 EDT 2017, 0.990, 9, 5, 0.020, 2, 9, 37, 386, 40, 7, 7, 47, 8.747, 8.943
Wed May 17 14:58:19 EDT 2017, 0.740, 3, 8, 0.770, 4, 2, 14, 461, 62, 2, 44, 24, 2.043, 2.030
Wed May 17 14:58:28 EDT 2017, 0.240, 7, 3, 0.270, 8, 6, 59, 311, 17, 12, 19, 69, 9.380, 9.017
Wed May 17 14:58:38 EDT 2017, 0.170, 3, 9, 0.080, 9, 7, 99, 480, 79, 3, 23, 64, 9.607, 9.700
Wed May 17 14:58:43 EDT 2017, 0.670, 8, 5, 0.580, 4, 2, 54, 330, 34, 13, 48, 19, 4.090, 4.120
Wed May 17 14:59:32 EDT 2017, 0.920, 1, 3, 0.330, 2, 9, 31, 555, 57, 18, 10, 41, 48.863, 48.363
Wed May 17 14:59:36 EDT 2017, 0.420, 5, 7, 0.830, 7, 5, 76, 405, 12, 8, 35, 86, 4.293, 4.227
Wed May 17 15:00:04 EDT 2017, 0.300, 2, 4, 0.210, 1, 4, 88, 367, 90, 15, 4, 30, 27.223, 26.610
Wed May 17 15:00:19 EDT 2017, 0.800, 7, 8, 0.710, 5, 8, 43, 517, 45, 6, 29, 75, 14.063, 14.077
