# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, fibHeap_timing_secs
Mon Jan  9 15:40:23 EST 2017, 5211, 0.110, 9, 0.290, 336, 97, 12, 26, 41, 57.720, 53.270
Mon Jan  9 15:40:33 EST 2017, 261, 0.610, 4, 0.790, 486, 52, 3, 1, 86, 8.800, 9.573
Mon Jan  9 15:41:00 EST 2017, 339, 0.210, 9, 0.660, 419, 36, 15, 18, 46, 27.020, 25.270
Mon Jan  9 15:42:43 EST 2017, 5289, 0.710, 4, 0.160, 569, 81, 5, 43, 91, 101.360, 100.300
Mon Jan  9 15:42:44 EST 2017, 7764, 0.460, 2, 0.910, 494, 13, 1, 5, 24, 0.300, 0.297
Mon Jan  9 15:43:38 EST 2017, 2814, 0.960, 7, 0.410, 344, 58, 10, 30, 69, 53.880, 51.163
Mon Jan  9 15:45:05 EST 2017, 4051, 0.330, 3, 0.530, 456, 69, 17, 49, 35, 85.077, 80.433
Mon Jan  9 15:45:21 EST 2017, 9001, 0.830, 8, 0.030, 306, 24, 8, 24, 80, 15.647, 15.023
Mon Jan  9 15:45:27 EST 2017, 6526, 0.080, 5, 0.780, 381, 92, 3, 37, 13, 6.030, 5.863
Mon Jan  9 15:45:46 EST 2017, 1576, 0.580, 1, 0.280, 531, 47, 13, 12, 58, 18.160, 17.783
Mon Jan  9 15:47:08 EST 2017, 2195, 0.390, 7, 0.090, 587, 52, 16, 33, 41, 82.623, 77.267
Mon Jan  9 15:47:54 EST 2017, 7145, 0.890, 3, 0.590, 437, 97, 7, 8, 86, 45.343, 39.263
Mon Jan  9 15:47:57 EST 2017, 9620, 0.140, 5, 0.340, 362, 30, 2, 46, 18, 2.310, 2.337
Mon Jan  9 15:49:21 EST 2017, 4670, 0.640, 9, 0.840, 512, 75, 11, 21, 63, 82.080, 74.860
Mon Jan  9 15:49:33 EST 2017, 3433, 0.020, 1, 0.220, 325, 64, 18, 2, 52, 12.453, 10.777
Mon Jan  9 15:50:01 EST 2017, 8383, 0.520, 6, 0.720, 475, 19, 9, 27, 97, 26.943, 25.527
Mon Jan  9 15:50:15 EST 2017, 5908, 0.270, 8, 0.470, 550, 86, 4, 15, 29, 14.237, 13.893
Mon Jan  9 15:51:27 EST 2017, 958, 0.770, 4, 0.970, 400, 41, 14, 40, 74, 70.527, 67.740
Mon Jan  9 15:51:33 EST 2017, 1267, 0.300, 2, 0.750, 353, 16, 6, 26, 66, 5.173, 4.987
Mon Jan  9 15:51:44 EST 2017, 6217, 0.800, 7, 0.250, 503, 61, 15, 1, 21, 11.267, 8.360
Mon Jan  9 15:53:48 EST 2017, 8692, 0.050, 9, 0.500, 578, 38, 11, 38, 89, 107.440, 97.350
Mon Jan  9 15:53:55 EST 2017, 3742, 0.550, 5, 0.000, 428, 83, 1, 13, 44, 4.577, 6.020
Mon Jan  9 15:54:37 EST 2017, 4979, 0.180, 6, 0.880, 540, 95, 8, 7, 55, 41.030, 33.930
Mon Jan  9 15:54:43 EST 2017, 9929, 0.680, 1, 0.380, 390, 50, 18, 32, 10, 5.730, 5.660
Mon Jan  9 15:55:40 EST 2017, 7454, 0.430, 3, 0.630, 315, 72, 13, 19, 77, 55.500, 48.983
Mon Jan  9 15:55:49 EST 2017, 2504, 0.930, 8, 0.130, 465, 27, 4, 44, 32, 8.463, 8.340
Mon Jan  9 15:56:03 EST 2017, 1886, 0.110, 4, 0.440, 522, 22, 7, 23, 60, 13.657, 12.843
Mon Jan  9 15:56:44 EST 2017, 6836, 0.610, 8, 0.940, 372, 67, 17, 48, 15, 33.573, 34.927
Mon Jan  9 15:57:27 EST 2017, 9311, 0.360, 6, 0.190, 447, 44, 12, 10, 83, 41.207, 35.273
Mon Jan  9 15:57:40 EST 2017, 4361, 0.860, 2, 0.690, 597, 89, 2, 35, 38, 12.787, 13.513
Mon Jan  9 15:59:36 EST 2017, 3123, 0.490, 7, 0.310, 409, 78, 10, 41, 72, 112.893, 107.740
Mon Jan  9 15:59:54 EST 2017, 8073, 0.990, 3, 0.810, 559, 33, 19, 16, 27, 18.220, 16.530
Mon Jan  9 16:00:53 EST 2017, 5598, 0.240, 1, 0.060, 484, 55, 14, 29, 94, 57.030, 56.483
Mon Jan  9 16:00:55 EST 2017, 648, 0.740, 5, 0.560, 334, 10, 5, 4, 49, 1.113, 0.987
Mon Jan  9 16:05:14 EST 2017, 493, 0.440, 5, 0.230, 545, 93, 10, 47, 98, 256.233, 249.303
