# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, fibHeap_timing_secs
Sun Jul  2 22:35:10 EDT 2017, 0.460, 158, 23, 7, 27, 353, 5, 30, 24, 12, 0.753, 0.590
Sun Jul  2 22:35:36 EDT 2017, 0.330, 133, 25, 4, 14, 316, 7, 45, 5, 37, 26.250, 3.050
Sun Jul  2 22:35:48 EDT 2017, 0.830, 153, 20, 8, 25, 466, 16, 25, 20, 17, 11.493, 1.873
Sun Jul  2 22:36:28 EDT 2017, 0.580, 123, 22, 2, 19, 391, 12, 35, 12, 27, 39.727, 4.767
Sun Jul  2 22:36:29 EDT 2017, 0.080, 143, 27, 6, 8, 541, 2, 15, 27, 47, 0.990, 0.970
Sun Jul  2 22:36:47 EDT 2017, 0.110, 124, 26, 7, 18, 457, 18, 26, 28, 18, 17.963, 2.117
Sun Jul  2 22:37:39 EDT 2017, 0.610, 144, 21, 3, 29, 307, 9, 46, 13, 38, 51.327, 3.943
Sun Jul  2 22:37:42 EDT 2017, 0.860, 134, 24, 9, 24, 532, 4, 16, 21, 48, 3.113, 1.473
Sun Jul  2 22:38:10 EDT 2017, 0.360, 154, 29, 5, 13, 382, 13, 36, 6, 28, 28.323, 2.980
Sun Jul  2 22:41:43 EDT 2017, 0.490, 139, 20, 6, 21, 419, 16, 41, 25, 43, 212.103, 8.013
Sun Jul  2 22:41:47 EDT 2017, 0.990, 159, 25, 2, 10, 569, 6, 21, 10, 23, 3.083, 1.590
Sun Jul  2 22:41:47 EDT 2017, 0.740, 129, 27, 8, 16, 344, 2, 31, 17, 13, 0.280, 0.373
Sun Jul  2 22:41:52 EDT 2017, 0.240, 149, 22, 4, 27, 494, 11, 11, 2, 33, 4.623, 1.557
Sun Jul  2 22:42:18 EDT 2017, 0.170, 132, 29, 2, 28, 513, 19, 34, 23, 15, 26.373, 2.943
Sun Jul  2 22:42:23 EDT 2017, 0.670, 152, 24, 6, 17, 363, 10, 14, 8, 35, 4.387, 1.367
Sun Jul  2 22:43:06 EDT 2017, 0.920, 122, 22, 4, 11, 588, 5, 44, 15, 45, 42.593, 5.397
Sun Jul  2 22:43:23 EDT 2017, 0.420, 142, 27, 8, 22, 438, 15, 24, 0, 25, 16.890, 2.510
Sun Jul  2 22:44:08 EDT 2017, 0.300, 127, 23, 3, 9, 400, 17, 19, 26, 40, 45.003, 3.400
Sun Jul  2 22:44:16 EDT 2017, 0.800, 147, 28, 7, 20, 550, 7, 39, 11, 20, 7.700, 2.150
Sun Jul  2 22:44:16 EDT 2017, 0.550, 137, 26, 5, 25, 325, 3, 29, 19, 10, 0.403, 0.543
Sun Jul  2 22:45:31 EDT 2017, 0.050, 157, 21, 9, 14, 475, 12, 49, 4, 30, 73.727, 5.607
Sun Jul  2 22:45:31 EDT 2017, 0.030, 125, 29, 4, 19, 442, 3, 14, 19, 22, 0.497, 0.607
Sun Jul  2 22:47:15 EDT 2017, 0.530, 145, 24, 8, 8, 592, 13, 34, 4, 42, 103.200, 7.147
Sun Jul  2 22:47:59 EDT 2017, 0.780, 135, 21, 2, 13, 367, 17, 24, 27, 32, 43.877, 3.367
Sun Jul  2 22:48:03 EDT 2017, 0.280, 155, 26, 6, 24, 517, 8, 44, 12, 12, 4.310, 1.537
Sun Jul  2 22:48:05 EDT 2017, 0.410, 130, 23, 5, 16, 480, 1, 39, 16, 37, 1.247, 1.180
Sun Jul  2 22:48:06 EDT 2017, 0.910, 150, 28, 9, 27, 330, 10, 19, 1, 17, 1.443, 0.640
Sun Jul  2 22:50:40 EDT 2017, 0.660, 120, 25, 3, 21, 555, 15, 49, 23, 27, 153.230, 7.390
Sun Jul  2 22:50:52 EDT 2017, 0.160, 140, 20, 7, 10, 405, 5, 29, 8, 47, 11.913, 2.687
Sun Jul  2 22:50:55 EDT 2017, 0.220, 137, 27, 9, 9, 386, 4, 47, 18, 20, 2.940, 1.353
Sun Jul  2 22:52:01 EDT 2017, 0.720, 157, 22, 5, 20, 536, 14, 27, 3, 40, 65.480, 5.250
Sun Jul  2 22:53:18 EDT 2017, 0.970, 127, 24, 7, 26, 311, 18, 37, 25, 30, 76.250, 3.783
Sun Jul  2 22:53:19 EDT 2017, 0.470, 147, 29, 3, 15, 461, 9, 17, 10, 10, 0.867, 0.683
Sun Jul  2 22:53:20 EDT 2017, 0.350, 122, 21, 8, 28, 499, 2, 22, 21, 35, 1.223, 0.997
Sun Jul  2 22:53:29 EDT 2017, 0.850, 142, 26, 4, 17, 349, 11, 42, 6, 15, 8.927, 1.853
Sun Jul  2 22:53:36 EDT 2017, 0.600, 132, 28, 6, 12, 574, 16, 12, 29, 25, 6.527, 1.677
Sun Jul  2 22:54:02 EDT 2017, 0.100, 152, 23, 2, 23, 424, 7, 32, 14, 45, 25.363, 3.607
Sun Jul  2 22:54:24 EDT 2017, 0.070, 134, 22, 3, 25, 339, 13, 40, 11, 19, 21.900, 2.643
Sun Jul  2 22:54:26 EDT 2017, 0.570, 154, 27, 7, 14, 489, 4, 20, 26, 39, 2.627, 1.500
Sun Jul  2 22:54:59 EDT 2017, 0.820, 124, 29, 5, 8, 414, 8, 30, 3, 49, 32.320, 3.500
Sun Jul  2 22:55:07 EDT 2017, 0.320, 144, 24, 9, 19, 564, 18, 10, 18, 29, 7.387, 1.707
Sun Jul  2 22:55:58 EDT 2017, 0.440, 129, 25, 2, 11, 527, 11, 25, 7, 44, 50.813, 4.457
Sun Jul  2 22:55:59 EDT 2017, 0.940, 149, 20, 6, 22, 377, 1, 45, 22, 24, 0.717, 0.723
Sun Jul  2 22:55:59 EDT 2017, 0.690, 139, 23, 4, 28, 452, 6, 15, 0, 14, 0.753, 0.687
Sun Jul  2 22:56:39 EDT 2017, 0.190, 159, 28, 8, 17, 302, 15, 35, 15, 34, 38.853, 3.087
Sun Jul  2 22:56:42 EDT 2017, 0.130, 121, 23, 6, 15, 321, 14, 18, 9, 16, 3.417, 1.000
Sun Jul  2 22:56:54 EDT 2017, 0.630, 141, 28, 2, 26, 471, 5, 38, 24, 36, 12.137, 2.763
Sun Jul  2 22:57:29 EDT 2017, 0.880, 131, 26, 8, 21, 396, 10, 28, 2, 46, 34.793, 3.363
Sun Jul  2 23:00:35 EDT 2017, 0.380, 151, 21, 4, 10, 546, 19, 48, 17, 26, 184.740, 8.307
Sun Jul  2 23:01:53 EDT 2017, 0.250, 136, 27, 7, 23, 583, 12, 33, 13, 41, 78.533, 5.830
Sun Jul  2 23:01:54 EDT 2017, 0.750, 156, 22, 3, 12, 433, 2, 13, 28, 21, 0.353, 0.467
Sun Jul  2 23:01:58 EDT 2017, 0.500, 126, 20, 9, 18, 508, 7, 43, 5, 11, 3.823, 1.523
Sun Jul  2 23:02:24 EDT 2017, 0.000, 146, 25, 5, 29, 358, 17, 23, 20, 31, 26.280, 2.503
Sun Jul  2 23:02:39 EDT 2017, 0.010, 133, 27, 9, 18, 425, 9, 29, 21, 32, 14.843, 2.463
Sun Jul  2 23:03:17 EDT 2017, 0.510, 153, 22, 5, 29, 575, 19, 49, 6, 12, 37.713, 4.010
Sun Jul  2 23:03:26 EDT 2017, 0.760, 123, 20, 7, 23, 350, 14, 19, 29, 22, 8.230, 1.583
Sun Jul  2 23:03:46 EDT 2017, 0.260, 143, 25, 3, 12, 500, 5, 39, 14, 42, 19.557, 3.620
Sun Jul  2 23:04:04 EDT 2017, 0.380, 128, 24, 8, 20, 462, 7, 44, 18, 27, 18.710, 2.873
Sun Jul  2 23:04:53 EDT 2017, 0.880, 148, 29, 4, 9, 312, 16, 24, 3, 47, 48.110, 3.243
Sun Jul  2 23:05:59 EDT 2017, 0.630, 138, 26, 6, 15, 537, 12, 34, 25, 37, 65.597, 5.130
Sun Jul  2 23:05:59 EDT 2017, 0.130, 158, 21, 2, 26, 387, 2, 14, 10, 17, 0.300, 0.340
Sun Jul  2 23:06:15 EDT 2017, 0.190, 120, 25, 4, 27, 406, 8, 32, 16, 30, 16.207, 2.543
Sun Jul  2 23:06:17 EDT 2017, 0.690, 140, 20, 8, 16, 556, 18, 12, 1, 10, 1.697, 0.840
Sun Jul  2 23:06:44 EDT 2017, 0.940, 130, 23, 2, 11, 331, 13, 42, 23, 20, 26.787, 2.810
Sun Jul  2 23:06:46 EDT 2017, 0.440, 150, 28, 6, 22, 481, 3, 22, 8, 40, 1.943, 1.247
Sun Jul  2 23:06:49 EDT 2017, 0.320, 135, 22, 5, 8, 519, 6, 17, 20, 25, 2.280, 1.160
Sun Jul  2 23:08:26 EDT 2017, 0.820, 155, 27, 9, 19, 369, 15, 37, 5, 45, 97.367, 5.260
Sun Jul  2 23:09:04 EDT 2017, 0.570, 125, 29, 3, 25, 594, 11, 27, 27, 35, 37.683, 4.230
Sun Jul  2 23:09:05 EDT 2017, 0.070, 145, 24, 7, 14, 444, 1, 47, 12, 15, 0.377, 0.533
Sun Jul  2 23:13:43 EDT 2017, 0.100, 127, 20, 6, 13, 359, 19, 35, 13, 49, 277.493, 7.753
Sun Jul  2 23:13:49 EDT 2017, 0.600, 147, 25, 2, 24, 509, 10, 15, 28, 29, 5.533, 1.720
Sun Jul  2 23:13:53 EDT 2017, 0.850, 137, 28, 8, 29, 434, 5, 45, 5, 19, 4.133, 1.403
Sun Jul  2 23:15:00 EDT 2017, 0.350, 157, 23, 4, 18, 584, 15, 25, 20, 39, 66.673, 5.490
Sun Jul  2 23:15:02 EDT 2017, 0.480, 132, 26, 7, 27, 547, 17, 10, 9, 14, 1.853, 0.930
Sun Jul  2 23:15:19 EDT 2017, 0.980, 152, 21, 3, 16, 397, 8, 30, 24, 34, 16.517, 2.693
Sun Jul  2 23:15:21 EDT 2017, 0.730, 122, 24, 9, 10, 472, 3, 20, 2, 44, 2.353, 1.293
Sun Jul  2 23:15:42 EDT 2017, 0.230, 142, 29, 5, 21, 322, 12, 40, 17, 24, 20.350, 2.363
Sun Jul  2 23:16:55 EDT 2017, 0.160, 139, 22, 3, 23, 303, 18, 23, 7, 46, 72.773, 3.663
Sun Jul  2 23:17:15 EDT 2017, 0.660, 159, 27, 7, 12, 453, 9, 43, 22, 26, 19.587, 3.033
Sun Jul  2 23:17:15 EDT 2017, 0.910, 129, 25, 5, 17, 378, 4, 13, 0, 16, 0.273, 0.420
Sun Jul  2 23:18:23 EDT 2017, 0.410, 149, 20, 9, 28, 528, 13, 33, 15, 36, 67.787, 5.477
Sun Jul  2 23:18:47 EDT 2017, 0.290, 124, 28, 2, 14, 566, 16, 48, 11, 11, 24.027, 2.993
Sun Jul  2 23:18:54 EDT 2017, 0.790, 144, 23, 6, 25, 416, 6, 28, 26, 31, 6.593, 1.763
Sun Jul  2 23:18:58 EDT 2017, 0.540, 134, 21, 4, 20, 491, 2, 38, 4, 41, 3.767, 1.893
Sun Jul  2 23:19:01 EDT 2017, 0.040, 154, 26, 8, 9, 341, 11, 18, 19, 21, 2.650, 0.993
Sun Jul  2 23:19:14 EDT 2017, 0.050, 122, 23, 5, 24, 542, 4, 42, 5, 34, 12.690, 2.930
Sun Jul  2 23:19:17 EDT 2017, 0.550, 142, 28, 9, 13, 392, 14, 22, 20, 14, 3.263, 1.097
Sun Jul  2 23:20:18 EDT 2017, 0.800, 132, 25, 3, 8, 467, 19, 32, 13, 24, 60.457, 3.990
Sun Jul  2 23:20:23 EDT 2017, 0.300, 152, 20, 7, 19, 317, 9, 12, 28, 44, 4.270, 1.410
Sun Jul  2 23:20:24 EDT 2017, 0.430, 137, 29, 4, 11, 355, 2, 27, 1, 29, 0.800, 0.647
Sun Jul  2 23:23:00 EDT 2017, 0.930, 157, 24, 8, 22, 505, 11, 47, 16, 49, 156.430, 8.450
Sun Jul  2 23:23:36 EDT 2017, 0.680, 127, 22, 2, 27, 430, 16, 17, 9, 39, 35.137, 3.177
Sun Jul  2 23:23:42 EDT 2017, 0.180, 147, 27, 6, 16, 580, 7, 37, 24, 19, 6.610, 1.930
Sun Jul  2 23:23:44 EDT 2017, 0.240, 130, 20, 8, 15, 598, 3, 15, 3, 32, 1.153, 0.980
Sun Jul  2 23:23:51 EDT 2017, 0.740, 150, 25, 4, 26, 448, 13, 35, 18, 12, 7.240, 1.607
Sun Jul  2 23:24:18 EDT 2017, 0.990, 120, 27, 6, 20, 523, 17, 25, 11, 22, 26.223, 2.810
Sun Jul  2 23:25:15 EDT 2017, 0.490, 140, 22, 2, 9, 373, 8, 45, 26, 42, 57.177, 4.797
Sun Jul  2 23:25:15 EDT 2017, 0.370, 125, 26, 9, 23, 336, 1, 30, 7, 27, 0.300, 0.410
