# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 1 10', '--delay 1 10', '--selfEvents% 0 100', '--callIntervalMean 1 10', '--callDurationMean 1 10', '--maxChannels 10 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, heap_timing_secs
Mon Jun 26 18:58:01 EDT 2017, 0.640, 7, 8, 0.910, 1, 3, 92, 422, 49, 7, 26, 83, 13.730, 13.230
Mon Jun 26 18:58:13 EDT 2017, 0.890, 4, 5, 0.160, 3, 9, 70, 497, 72, 3, 13, 61, 11.743, 11.120
Mon Jun 26 18:58:20 EDT 2017, 0.390, 9, 1, 0.660, 8, 5, 25, 347, 27, 12, 38, 16, 6.147, 5.410
Mon Jun 26 18:58:36 EDT 2017, 0.260, 3, 9, 0.290, 4, 4, 36, 385, 83, 5, 20, 94, 16.307, 16.010
Mon Jun 26 18:59:01 EDT 2017, 0.760, 8, 4, 0.790, 9, 8, 81, 535, 38, 15, 45, 49, 23.243, 22.837
Mon Jun 26 18:59:26 EDT 2017, 0.510, 1, 2, 0.040, 6, 1, 59, 310, 61, 19, 7, 27, 23.790, 20.863
Mon Jun 26 18:59:32 EDT 2017, 0.010, 5, 6, 0.540, 2, 6, 14, 460, 16, 10, 32, 72, 6.443, 5.657
Mon Jun 26 19:03:59 EDT 2017, 0.020, 2, 2, 0.900, 8, 7, 83, 561, 67, 19, 13, 94, 262.627, 263.877
Mon Jun 26 19:04:04 EDT 2017, 0.520, 6, 7, 0.400, 3, 2, 38, 411, 22, 9, 38, 49, 4.687, 4.157
Mon Jun 26 19:04:11 EDT 2017, 0.770, 4, 9, 0.650, 1, 9, 16, 486, 90, 4, 0, 26, 5.720, 5.743
Mon Jun 26 19:04:37 EDT 2017, 0.270, 9, 4, 0.150, 6, 4, 61, 336, 45, 14, 25, 71, 25.423, 23.223
Mon Jun 26 19:04:41 EDT 2017, 0.400, 3, 6, 0.780, 2, 3, 94, 448, 56, 2, 7, 37, 3.510, 3.563
Mon Jun 26 19:05:03 EDT 2017, 0.900, 7, 1, 0.280, 7, 8, 49, 598, 11, 12, 32, 82, 21.847, 19.707
Mon Jun 26 19:05:57 EDT 2017, 0.650, 1, 3, 0.530, 9, 1, 27, 373, 78, 16, 19, 60, 52.663, 53.203
Mon Jun 26 19:05:59 EDT 2017, 0.150, 5, 8, 0.030, 5, 6, 72, 523, 33, 7, 44, 15, 1.923, 1.763
Mon Jun 26 19:06:15 EDT 2017, 0.210, 5, 5, 0.340, 3, 6, 78, 354, 61, 17, 47, 32, 15.400, 14.713
Mon Jun 26 19:06:20 EDT 2017, 0.710, 9, 9, 0.840, 7, 2, 33, 504, 16, 8, 22, 77, 4.613, 4.353
Mon Jun 26 19:06:36 EDT 2017, 0.960, 2, 7, 0.090, 5, 8, 10, 429, 84, 3, 35, 99, 15.300, 14.773
Mon Jun 26 19:07:05 EDT 2017, 0.460, 7, 3, 0.590, 1, 4, 55, 579, 39, 13, 10, 54, 28.530, 28.810
Mon Jun 26 19:07:09 EDT 2017, 0.330, 1, 8, 0.470, 6, 5, 89, 467, 73, 1, 29, 65, 3.600, 3.620
Mon Jun 26 19:07:12 EDT 2017, 0.830, 6, 4, 0.970, 2, 9, 44, 317, 28, 10, 4, 20, 2.920, 2.543
Mon Jun 26 19:08:57 EDT 2017, 0.580, 4, 2, 0.220, 4, 3, 21, 542, 95, 15, 41, 43, 103.027, 93.683
Mon Jun 26 19:09:12 EDT 2017, 0.080, 8, 6, 0.720, 8, 7, 66, 392, 50, 6, 16, 88, 15.550, 14.547
Mon Jun 26 19:09:17 EDT 2017, 0.120, 4, 9, 0.500, 6, 9, 41, 307, 47, 12, 8, 29, 4.397, 4.133
Mon Jun 26 19:09:34 EDT 2017, 0.620, 8, 5, 0.000, 1, 5, 86, 457, 92, 3, 33, 74, 16.913, 16.160
Mon Jun 26 19:09:52 EDT 2017, 0.870, 2, 2, 0.750, 4, 7, 64, 382, 25, 7, 21, 96, 16.940, 14.950
Mon Jun 26 19:10:27 EDT 2017, 0.370, 6, 7, 0.250, 8, 2, 19, 532, 70, 17, 46, 51, 34.257, 33.277
Mon Jun 26 19:10:46 EDT 2017, 0.490, 3, 4, 0.620, 5, 1, 52, 495, 36, 10, 14, 63, 18.300, 17.237
Mon Jun 26 19:10:55 EDT 2017, 0.990, 7, 8, 0.120, 9, 6, 97, 345, 81, 19, 39, 18, 9.023, 8.103
Mon Jun 26 19:11:00 EDT 2017, 0.740, 5, 6, 0.870, 7, 4, 75, 570, 14, 14, 2, 40, 5.047, 4.517
Mon Jun 26 19:11:42 EDT 2017, 0.240, 9, 1, 0.370, 3, 8, 30, 420, 59, 5, 27, 85, 41.267, 38.553
Mon Jun 26 19:12:13 EDT 2017, 0.180, 1, 6, 0.190, 1, 7, 35, 589, 42, 11, 30, 91, 31.537, 30.790
Mon Jun 26 19:12:21 EDT 2017, 0.680, 6, 2, 0.690, 5, 3, 80, 439, 87, 1, 5, 46, 7.233, 6.300
Mon Jun 26 19:12:23 EDT 2017, 0.930, 3, 4, 0.440, 8, 5, 58, 514, 19, 6, 43, 23, 2.200, 1.970
Mon Jun 26 19:12:46 EDT 2017, 0.430, 8, 9, 0.940, 3, 1, 13, 364, 64, 16, 18, 68, 22.333, 22.070
Mon Jun 26 19:13:10 EDT 2017, 0.300, 4, 1, 0.060, 9, 2, 47, 401, 53, 9, 49, 35, 23.317, 20.780
Mon Jun 26 19:15:29 EDT 2017, 0.800, 9, 5, 0.560, 4, 6, 92, 551, 98, 18, 24, 80, 138.240, 136.620
Mon Jun 26 19:15:37 EDT 2017, 0.550, 2, 7, 0.310, 2, 4, 69, 326, 31, 13, 36, 57, 7.690, 7.653
Mon Jun 26 19:15:41 EDT 2017, 0.050, 7, 3, 0.810, 7, 9, 24, 476, 76, 4, 11, 12, 4.080, 3.810
Mon Jun 26 19:16:01 EDT 2017, 0.040, 4, 7, 0.480, 4, 1, 62, 434, 29, 19, 22, 81, 19.617, 18.970
Mon Jun 26 19:16:41 EDT 2017, 0.540, 8, 2, 0.980, 9, 5, 17, 584, 74, 9, 47, 36, 38.597, 33.363
Mon Jun 26 19:16:43 EDT 2017, 0.790, 2, 5, 0.230, 6, 3, 40, 359, 52, 5, 9, 13, 1.967, 1.773
Mon Jun 26 19:17:22 EDT 2017, 0.290, 6, 9, 0.730, 2, 8, 85, 509, 97, 14, 34, 58, 38.297, 36.727
Mon Jun 26 19:17:26 EDT 2017, 0.410, 1, 1, 0.360, 5, 9, 73, 546, 18, 2, 3, 47, 3.903, 3.223
Mon Jun 26 19:18:02 EDT 2017, 0.910, 5, 6, 0.860, 1, 4, 28, 396, 63, 12, 28, 92, 35.213, 33.750
Mon Jun 26 19:18:24 EDT 2017, 0.660, 3, 8, 0.110, 3, 6, 51, 471, 40, 17, 15, 70, 20.853, 21.213
Mon Jun 26 19:18:34 EDT 2017, 0.160, 7, 3, 0.610, 8, 2, 96, 321, 85, 7, 40, 25, 9.727, 9.337
Mon Jun 26 19:18:36 EDT 2017, 0.220, 2, 8, 0.790, 9, 3, 57, 453, 12, 18, 37, 19, 1.553, 1.510
Mon Jun 26 19:18:52 EDT 2017, 0.720, 7, 4, 0.290, 5, 7, 12, 303, 57, 8, 12, 64, 15.560, 14.503
Mon Jun 26 19:19:08 EDT 2017, 0.970, 5, 2, 0.540, 2, 5, 34, 528, 35, 3, 25, 87, 15.607, 13.263
Mon Jun 26 19:19:29 EDT 2017, 0.470, 9, 6, 0.040, 7, 9, 79, 378, 80, 13, 0, 42, 20.857, 20.290
Mon Jun 26 19:19:31 EDT 2017, 0.350, 3, 3, 0.920, 1, 8, 68, 340, 23, 1, 31, 75, 1.817, 1.697
Mon Jun 26 19:19:44 EDT 2017, 0.850, 8, 7, 0.420, 6, 4, 23, 490, 68, 11, 6, 30, 12.090, 11.567
Mon Jun 26 19:20:04 EDT 2017, 0.600, 1, 5, 0.670, 8, 6, 45, 415, 46, 15, 43, 53, 20.133, 18.727
Mon Jun 26 19:22:52 EDT 2017, 0.100, 6, 1, 0.170, 4, 1, 90, 565, 91, 6, 18, 98, 158.543, 162.933
Mon Jun 26 19:23:13 EDT 2017, 0.070, 1, 4, 0.080, 2, 3, 20, 500, 99, 11, 4, 16, 14.113, 17.470
Mon Jun 26 19:23:16 EDT 2017, 0.570, 6, 9, 0.580, 7, 8, 65, 350, 54, 2, 29, 61, 3.043, 2.980
Mon Jun 26 19:23:45 EDT 2017, 0.820, 4, 7, 0.330, 9, 1, 87, 575, 77, 6, 17, 84, 27.693, 26.930
Mon Jun 26 19:24:07 EDT 2017, 0.320, 8, 2, 0.830, 4, 6, 42, 425, 32, 16, 42, 39, 21.867, 18.303
Mon Jun 26 19:24:27 EDT 2017, 0.440, 5, 8, 0.200, 8, 7, 31, 312, 88, 9, 23, 73, 20.217, 19.763
Mon Jun 26 19:24:46 EDT 2017, 0.940, 9, 3, 0.700, 3, 2, 76, 462, 43, 18, 48, 28, 18.527, 17.947
Mon Jun 26 19:25:49 EDT 2017, 0.690, 3, 1, 0.450, 1, 9, 99, 387, 66, 14, 11, 50, 60.147, 62.537
Mon Jun 26 19:25:57 EDT 2017, 0.190, 7, 5, 0.950, 6, 5, 54, 537, 21, 4, 36, 95, 7.540, 7.053
Mon Jun 26 19:26:51 EDT 2017, 0.130, 3, 3, 0.640, 7, 4, 14, 406, 83, 10, 32, 78, 53.523, 51.573
Mon Jun 26 19:26:53 EDT 2017, 0.630, 8, 7, 0.140, 3, 8, 59, 556, 38, 1, 7, 33, 1.360, 1.270
Mon Jun 26 19:26:54 EDT 2017, 0.880, 1, 9, 0.890, 5, 2, 82, 331, 60, 5, 45, 11, 1.170, 1.077
Mon Jun 26 19:27:02 EDT 2017, 0.380, 5, 5, 0.390, 9, 6, 37, 481, 15, 15, 20, 56, 7.553, 7.013
Mon Jun 26 19:27:28 EDT 2017, 0.260, 2, 6, 0.510, 4, 5, 26, 593, 94, 8, 39, 44, 25.847, 23.523
Mon Jun 26 19:30:14 EDT 2017, 0.760, 6, 1, 0.010, 8, 1, 71, 443, 49, 17, 14, 89, 157.877, 165.803
Mon Jun 26 19:31:06 EDT 2017, 0.510, 4, 4, 0.760, 6, 7, 93, 518, 71, 12, 26, 67, 49.973, 47.280
Mon Jun 26 19:31:08 EDT 2017, 0.010, 9, 8, 0.260, 2, 3, 48, 368, 26, 3, 1, 22, 1.337, 1.063
Mon Jun 26 19:31:10 EDT 2017, 0.010, 1, 6, 0.840, 6, 1, 77, 320, 23, 5, 24, 33, 2.003, 1.887
Mon Jun 26 19:34:21 EDT 2017, 0.510, 6, 1, 0.340, 1, 6, 32, 470, 68, 14, 49, 78, 186.083, 189.743
Mon Jun 26 19:34:52 EDT 2017, 0.760, 3, 4, 0.590, 3, 4, 10, 395, 46, 19, 11, 55, 29.483, 28.090
Mon Jun 26 19:34:56 EDT 2017, 0.260, 8, 8, 0.090, 8, 8, 55, 545, 91, 9, 36, 10, 4.373, 4.040
Mon Jun 26 19:35:20 EDT 2017, 0.380, 5, 2, 0.960, 5, 9, 89, 508, 12, 17, 5, 89, 22.187, 20.420
Mon Jun 26 19:35:27 EDT 2017, 0.880, 9, 7, 0.460, 9, 5, 44, 358, 57, 7, 30, 44, 7.610, 7.283
Mon Jun 26 19:35:29 EDT 2017, 0.630, 2, 9, 0.710, 7, 7, 21, 583, 34, 2, 17, 22, 1.693, 1.680
Mon Jun 26 19:36:10 EDT 2017, 0.130, 7, 5, 0.210, 2, 3, 66, 433, 79, 12, 42, 67, 40.777, 37.850
Mon Jun 26 19:36:13 EDT 2017, 0.200, 3, 7, 0.400, 1, 2, 83, 564, 17, 4, 39, 61, 2.760, 2.550
Mon Jun 26 19:36:23 EDT 2017, 0.700, 7, 3, 0.900, 5, 7, 38, 414, 62, 13, 14, 16, 9.730, 9.127
Mon Jun 26 19:37:07 EDT 2017, 0.950, 1, 1, 0.150, 7, 4, 15, 489, 40, 18, 27, 38, 43.070, 40.280
Mon Jun 26 19:37:38 EDT 2017, 0.450, 5, 5, 0.650, 3, 9, 60, 339, 85, 8, 2, 83, 30.180, 29.440
Mon Jun 26 19:37:44 EDT 2017, 0.320, 2, 4, 0.280, 8, 8, 94, 377, 29, 15, 33, 27, 6.380, 5.843
Mon Jun 26 19:38:02 EDT 2017, 0.820, 6, 9, 0.780, 4, 3, 49, 527, 74, 6, 8, 72, 17.780, 16.653
Mon Jun 26 19:38:06 EDT 2017, 0.570, 4, 6, 0.030, 2, 5, 27, 302, 51, 1, 46, 95, 3.017, 3.013
Mon Jun 26 19:39:14 EDT 2017, 0.070, 9, 2, 0.530, 6, 1, 72, 452, 96, 11, 21, 50, 67.540, 60.623
Mon Jun 26 19:40:01 EDT 2017, 0.100, 4, 3, 0.740, 8, 3, 35, 536, 93, 7, 3, 64, 47.003, 43.943
Mon Jun 26 19:40:06 EDT 2017, 0.600, 9, 8, 0.240, 4, 7, 80, 386, 48, 16, 28, 19, 5.183, 4.917
Mon Jun 26 19:40:27 EDT 2017, 0.850, 2, 5, 0.990, 1, 1, 58, 461, 71, 11, 16, 41, 20.177, 19.167
Mon Jun 26 19:40:34 EDT 2017, 0.350, 7, 1, 0.490, 6, 5, 13, 311, 26, 2, 41, 86, 6.550, 5.607
Mon Jun 26 19:40:47 EDT 2017, 0.480, 1, 9, 0.620, 3, 6, 46, 423, 82, 14, 22, 30, 12.327, 11.997
Mon Jun 26 19:40:59 EDT 2017, 0.980, 5, 4, 0.120, 7, 2, 91, 573, 37, 4, 47, 75, 11.860, 11.500
Mon Jun 26 19:41:51 EDT 2017, 0.730, 3, 2, 0.870, 9, 8, 69, 348, 60, 9, 10, 97, 50.667, 46.843
Mon Jun 26 19:41:58 EDT 2017, 0.230, 8, 7, 0.370, 5, 4, 24, 498, 15, 18, 35, 52, 7.443, 7.177
Mon Jun 26 19:42:16 EDT 2017, 0.170, 3, 2, 0.060, 3, 5, 41, 367, 88, 5, 31, 36, 16.920, 14.330
Mon Jun 26 19:42:51 EDT 2017, 0.670, 7, 6, 0.560, 8, 9, 86, 517, 43, 15, 6, 81, 34.547, 32.787
Mon Jun 26 19:43:08 EDT 2017, 0.920, 5, 8, 0.310, 5, 2, 63, 442, 65, 10, 44, 58, 17.040, 16.610
Mon Jun 26 19:43:09 EDT 2017, 0.420, 9, 4, 0.810, 1, 7, 18, 592, 20, 1, 19, 13, 0.707, 0.683
Mon Jun 26 19:44:13 EDT 2017, 0.290, 4, 7, 0.180, 6, 6, 52, 480, 99, 12, 38, 92, 61.757, 59.403
Mon Jun 26 19:44:22 EDT 2017, 0.790, 8, 3, 0.680, 2, 1, 97, 330, 54, 3, 13, 47, 7.833, 6.890
Mon Jun 26 19:44:34 EDT 2017, 0.540, 2, 5, 0.430, 4, 8, 74, 555, 77, 8, 25, 24, 11.467, 10.820
Mon Jun 26 19:44:47 EDT 2017, 0.040, 6, 9, 0.930, 9, 3, 29, 405, 32, 17, 0, 69, 13.003, 12.463
Mon Jun 26 19:45:13 EDT 2017, 0.060, 3, 1, 0.260, 2, 7, 56, 522, 72, 4, 15, 45, 26.363, 24.323
Mon Jun 26 19:45:31 EDT 2017, 0.560, 8, 5, 0.760, 6, 3, 11, 372, 27, 14, 40, 90, 17.740, 17.300
Mon Jun 26 19:46:46 EDT 2017, 0.810, 1, 8, 0.010, 9, 9, 34, 597, 95, 19, 3, 68, 71.633, 70.667
Mon Jun 26 19:46:55 EDT 2017, 0.310, 6, 3, 0.510, 4, 5, 79, 447, 50, 9, 28, 23, 8.890, 8.197
Mon Jun 26 19:47:28 EDT 2017, 0.430, 2, 6, 0.380, 7, 4, 67, 334, 61, 16, 9, 79, 31.507, 30.093
Mon Jun 26 19:47:33 EDT 2017, 0.930, 7, 2, 0.880, 3, 8, 22, 484, 16, 7, 34, 34, 4.823, 3.997
Mon Jun 26 19:47:35 EDT 2017, 0.680, 4, 4, 0.130, 1, 2, 45, 409, 84, 2, 21, 12, 1.720, 1.557
Mon Jun 26 19:47:49 EDT 2017, 0.180, 9, 9, 0.630, 5, 6, 90, 559, 39, 12, 46, 57, 13.427, 13.360
Mon Jun 26 19:47:59 EDT 2017, 0.240, 1, 4, 0.950, 7, 6, 62, 391, 55, 3, 49, 74, 10.213, 9.657
Mon Jun 26 19:48:01 EDT 2017, 0.740, 5, 8, 0.450, 2, 1, 17, 541, 10, 13, 24, 29, 1.823, 1.643
Mon Jun 26 19:48:30 EDT 2017, 0.990, 3, 6, 0.700, 5, 8, 39, 316, 78, 18, 37, 51, 28.683, 25.450
Mon Jun 26 19:49:13 EDT 2017, 0.490, 7, 1, 0.200, 9, 3, 84, 466, 33, 8, 12, 96, 42.990, 38.683
Mon Jun 26 19:49:24 EDT 2017, 0.370, 4, 9, 0.820, 4, 4, 73, 578, 67, 15, 31, 17, 9.160, 9.553
Mon Jun 26 19:49:29 EDT 2017, 0.870, 8, 5, 0.320, 8, 9, 28, 428, 22, 6, 6, 62, 5.337, 4.933
Mon Jun 26 19:49:41 EDT 2017, 0.620, 2, 3, 0.570, 6, 2, 51, 503, 89, 1, 43, 85, 11.653, 10.980
Mon Jun 26 19:49:48 EDT 2017, 0.120, 6, 7, 0.070, 1, 7, 96, 353, 44, 10, 18, 40, 6.987, 6.657
Mon Jun 26 19:50:01 EDT 2017, 0.090, 2, 8, 0.170, 4, 9, 14, 419, 53, 7, 7, 76, 12.747, 12.457
