# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, heap_timing_secs
Mon Jul  3 11:05:42 EDT 2017, 0.010, 133, 27, 9, 18, 425, 9, 29, 21, 32, 14.727, 1.760
Mon Jul  3 11:06:20 EDT 2017, 0.510, 153, 22, 5, 29, 575, 19, 49, 6, 12, 37.887, 2.823
Mon Jul  3 11:06:29 EDT 2017, 0.760, 123, 20, 7, 23, 350, 14, 19, 29, 22, 8.340, 1.317
Mon Jul  3 11:06:48 EDT 2017, 0.260, 143, 25, 3, 12, 500, 5, 39, 14, 42, 19.343, 2.383
Mon Jul  3 11:07:07 EDT 2017, 0.380, 128, 24, 8, 20, 462, 7, 44, 18, 27, 18.600, 1.917
Mon Jul  3 11:07:56 EDT 2017, 0.880, 148, 29, 4, 9, 312, 16, 24, 3, 47, 48.297, 2.297
Mon Jul  3 11:09:02 EDT 2017, 0.630, 138, 26, 6, 15, 537, 12, 34, 25, 37, 65.547, 3.687
Mon Jul  3 11:09:02 EDT 2017, 0.130, 158, 21, 2, 26, 387, 2, 14, 10, 17, 0.247, 0.297
Mon Jul  3 11:09:18 EDT 2017, 0.190, 120, 25, 4, 27, 406, 8, 32, 16, 30, 16.310, 1.823
Mon Jul  3 11:09:20 EDT 2017, 0.690, 140, 20, 8, 16, 556, 18, 12, 1, 10, 1.643, 0.657
Mon Jul  3 11:09:47 EDT 2017, 0.940, 130, 23, 2, 11, 331, 13, 42, 23, 20, 26.640, 1.953
Mon Jul  3 11:09:49 EDT 2017, 0.440, 150, 28, 6, 22, 481, 3, 22, 8, 40, 1.977, 0.853
Mon Jul  3 11:09:52 EDT 2017, 0.320, 135, 22, 5, 8, 519, 6, 17, 20, 25, 2.583, 1.193
Mon Jul  3 11:11:30 EDT 2017, 0.820, 155, 27, 9, 19, 369, 15, 37, 5, 45, 97.747, 3.673
Mon Jul  3 11:12:08 EDT 2017, 0.570, 125, 29, 3, 25, 594, 11, 27, 27, 35, 37.380, 2.813
Mon Jul  3 11:12:08 EDT 2017, 0.070, 145, 24, 7, 14, 444, 1, 47, 12, 15, 0.470, 0.480
Mon Jul  3 11:16:47 EDT 2017, 0.100, 127, 20, 6, 13, 359, 19, 35, 13, 49, 277.590, 5.880
Mon Jul  3 11:16:53 EDT 2017, 0.600, 147, 25, 2, 24, 509, 10, 15, 28, 29, 5.733, 1.483
Mon Jul  3 11:16:58 EDT 2017, 0.850, 137, 28, 8, 29, 434, 5, 45, 5, 19, 4.273, 1.033
Mon Jul  3 11:18:05 EDT 2017, 0.350, 157, 23, 4, 18, 584, 15, 25, 20, 39, 66.677, 3.943
Mon Jul  3 11:18:07 EDT 2017, 0.480, 132, 26, 7, 27, 547, 17, 10, 9, 14, 1.843, 0.800
Mon Jul  3 11:18:23 EDT 2017, 0.980, 152, 21, 3, 16, 397, 8, 30, 24, 34, 16.343, 1.813
