# runtime_mean for different queues & configs manually aggregated,,,,,,,,,,,,,,,,,,,,,
# phold,param,param,param,heap,heap,heap,2tHeap,2tHeap,2tHeap,fibHeap,fibHeap,fibHeap,3tHeap,3tHeap,3tHeap,2tLadderQ,2tLadderQ,2tLadderQ,ladderQ,ladderQ,ladderQ
#config,--delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_ci, runtime_ci, runtime_mean, runtime_ci, runtime_ci, runtime_mean, runtime_ci, runtime_ci, runtime_mean, runtime_ci, runtime_ci, runtime_mean, runtime_ci, runtime_ci, runtime_mean, runtime_ci, runtime_ci
ph3,1,0,20,44.817,42.2167,47.4173,29.322,26.7233,31.9207,37.72,36.705,38.735,29.229,28.1683,30.2897,36.304,33.9648,38.6432,34.911,32.3586,37.4634
ph3,2,0,20,64.186,60.1708,68.2012,38.448,35.4708,41.4252,44.727,42.729,46.725,38.452,37.5635,39.3405,59.504,55.6575,63.3505,62.121,59.7475,64.4945
ph3,5,0,20,96.04,89.3949,102.685,62.271,58.2811,66.2609,63.902,58.0708,69.7332,50.064,45.6029,54.5251,86.589,78.8509,94.3271,83.742,77.8306,89.6534
ph3,10,0,20,100.67,97.528,103.812,61.757,60.4093,63.1047,59.788,55.21,64.366,49.941,46.2762,53.6058,91.227,87.5359,94.9181,96.652,92.1989,101.105
ph3,1,0.25,20,45.389,44.8881,45.8899,35.297,34.4739,36.1201,31.403,29.7199,33.0861,27.291,24.939,29.643,36.572,34.399,38.745,35.784,33.5935,37.9745
ph3,2,0.25,20,65.096,62.2307,67.9613,40.559,37.3515,43.7665,41.914,38.0149,45.8131,38.014,35.4618,40.5662,60.706,59.3992,62.0128,58.74,55.5105,61.9695
ph3,5,0.25,20,95.679,89.8845,101.473,62.616,57.3529,67.8791,54.599,50.535,58.663,47.441,42.9151,51.9669,82.414,77.211,87.617,87.801,86.7604,88.8416
ph3,10,0.25,20,100.906,95.1615,106.651,63.813,61.8346,65.7914,59.646,54.9717,64.3203,50.879,46.4994,55.2586,86.607,79.8655,93.3485,85.849,80.7041,90.9939
ph4,1,0,1,5.215,5.11342,5.31658,6.373,5.95492,6.79108,7.686,7.49658,7.87542,6.888,6.75278,7.02322,5.026,4.98816,5.06384,4.882,4.78232,4.98168
ph4,2,0,1,7.079,6.92706,7.23094,8.678,8.3137,9.0423,10.794,10.7447,10.8433,9.77,9.74958,9.79042,6.798,6.68941,6.90659,6.726,6.64109,6.81091
ph4,5,0,1,9.416,8.70247,10.1295,12.301,11.7712,12.8308,14.501,13.6351,15.3669,12.727,12.1324,13.3216,9.045,8.94756,9.14244,8.899,8.77695,9.02105
ph4,10,0,1,10.055,9.70197,10.408,12.892,12.8426,12.9414,14.969,14.5462,15.3918,13.969,13.8679,14.0701,9.759,9.70984,9.80816,9.543,9.3232,9.7628
ph4,1,0.25,1,5.029,4.68066,5.37734,6.364,6.23396,6.49404,7.557,7.54752,7.56648,6.897,6.78596,7.00804,4.927,4.7822,5.0718,4.783,4.62373,4.94227
ph4,2,0.25,1,7.156,6.93315,7.37885,8.69,8.37005,9.00995,10.401,10.2668,10.5352,9.464,9.40657,9.52143,6.954,6.9265,6.9815,6.503,6.26761,6.73839
ph4,5,0.25,1,9.467,9.42905,9.50495,11.074,10.7037,11.4443,13.494,13.2376,13.7504,12.18,12.0757,12.2843,8.714,8.29352,9.13448,8.447,8.22143,8.67257
ph4,10,0.25,1,9.972,9.93155,10.0124,11.756,11.4931,12.0189,14.171,13.9163,14.4257,12.608,12.302,12.914,9.193,8.76293,9.62307,9.298,9.10851,9.48749
ph4,1,0,2,8.871,8.77174,8.97026,10.339,10.1777,10.5003,12.108,11.6898,12.5262,11.014,10.8319,11.1961,8.015,7.92875,8.10125,7.952,7.88947,8.01453
ph4,2,0,2,12.091,11.7374,12.4446,13.808,13.1841,14.4319,16.409,16.1362,16.6818,14.72,14.1612,15.2788,11.188,10.9461,11.4299,11.117,10.855,11.379
ph4,5,0,2,15.174,14.393,15.955,17.32,16.896,17.744,20.67,20.3384,21.0016,18.534,17.8369,19.2311,14.331,14.0794,14.5826,13.912,13.2566,14.5674
ph4,10,0,2,16.34,15.8507,16.8293,18,17.6387,18.3613,22.117,21.6311,22.6029,18.972,18.5037,19.4403,14.794,14.6065,14.9815,14.845,14.6217,15.0683
ph4,1,0.25,2,8.742,8.57771,8.90629,10.186,10.1546,10.2174,12.008,11.914,12.102,10.544,10.3499,10.7381,8.115,8.02248,8.20752,7.923,7.84653,7.99947
ph4,2,0.25,2,12.42,12.3765,12.4635,12.929,12.3043,13.5537,15.879,15.5546,16.2034,14.606,14.5213,14.6907,11.317,11.2878,11.3462,11.234,11.173,11.295
ph4,5,0.25,2,16.002,15.9632,16.0408,16.358,16.0557,16.6603,19.416,19.0906,19.7414,17.5,17.2218,17.7782,14.227,14.0195,14.4345,14.246,14.0708,14.4212
ph4,10,0.25,2,16.24,15.8928,16.5872,16.95,16.6502,17.2498,20.439,20.1187,20.7593,18.375,17.9113,18.8387,14.967,14.9291,15.0049,14.667,14.4614,14.8726
ph4,1,0,5,18.733,18.469,18.997,17.548,17.0559,18.0401,20.845,20.0973,21.5927,19.238,18.9169,19.5591,15.613,15.3983,15.8277,16.313,16.2125,16.4135
ph4,2,0,5,25.971,25.0835,26.8585,22.082,21.1797,22.9843,27.285,26.4784,28.0916,23.398,21.9927,24.8033,23.104,21.7504,24.4576,22.982,22.4704,23.4936
ph4,5,0,5,32.359,31.0888,33.6292,28.068,27.6165,28.5195,32.401,31.5186,33.2834,27.572,26.9393,28.2047,30.48,28.8989,32.0611,30.373,29.1402,31.6058
