# Timestamp, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max
Fri Dec 30 20:04:45 EST 2016, 1, 0.250, 2, 1.019, 0.173346, 0.896868, 1.14113, 0.77, 0.92, 1.075, 1.26, 1.30, 37124.8, 7.33212, 37119.6, 37130, 37120, 37120, 37120, 37136, 37136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 288361, 0, 288361, 288361, 288361, 288361, 288361, 288361, 288361, 392383, 0, 392383, 392383, 392383, 392383, 392383, 392383, 392383
Fri Dec 30 20:05:46 EST 2016, 2, 0.250, 2, 1.013, 0.185259, 0.882475, 1.14353, 0.82, 0.86, 0.98, 1.35, 1.37, 37592, 10.7331, 37584.4, 37599.6, 37584, 37584, 37592, 37600, 37616, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 387036, 0, 387036, 387036, 387036, 387036, 387036, 387036, 387036, 630902, 0, 630902, 630902, 630902, 630902, 630902, 630902, 630902
Fri Dec 30 20:06:47 EST 2016, 4, 0.250, 2, 1.381, 0.159966, 1.2683, 1.4937, 1.15, 1.19, 1.47, 1.55, 1.61, 38067.2, 6.4, 38062.7, 38071.7, 38064, 38064, 38064, 38080, 38080, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 447769, 0, 447769, 447769, 447769, 447769, 447769, 447769, 447769, 862016, 0, 862016, 862016, 862016, 862016, 862016, 862016, 862016
Fri Dec 30 20:07:49 EST 2016, 8, 0.250, 2, 1.636, 0.1628, 1.5213, 1.7507, 1.34, 1.51, 1.715, 1.80, 1.85, 38328, 10.7331, 38320.4, 38335.6, 38320, 38320, 38328, 38336, 38352, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 469395, 0, 469395, 469395, 469395, 469395, 469395, 469395, 469395, 978011, 0, 978011, 978011, 978011, 978011, 978011, 978011, 978011
Fri Dec 30 20:08:50 EST 2016, 0, 0.500, 2, 1.26, 0.184065, 1.13032, 1.38968, 0.96, 1.10, 1.34, 1.46, 1.50, 37523.2, 18.659, 37510.1, 37536.3, 37472, 37520, 37536, 37536, 37536, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 465645, 0, 465645, 465645, 465645, 465645, 465645, 465645, 465645, 996000, 0, 996000, 996000, 996000, 996000, 996000, 996000, 996000
Fri Dec 30 20:09:51 EST 2016, 1, 0.500, 2, 0.847, 0.125144, 0.758829, 0.935171, 0.69, 0.70, 0.85, 1.01, 1.05, 36804.8, 7.33212, 36799.6, 36810, 36800, 36800, 36800, 36816, 36816, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 287539, 0, 287539, 287539, 287539, 287539, 287539, 287539, 287539, 392219, 0, 392219, 392219, 392219, 392219, 392219, 392219, 392219
Fri Dec 30 20:10:58 EST 2016, 2, 0.500, 2, 1.137, 0.130847, 1.04481, 1.22919, 1.04, 1.04, 1.085, 1.34, 1.36, 37192, 8, 37186.4, 37197.6, 37184, 37184, 37200, 37200, 37200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 385314, 0, 385314, 385314, 385314, 385314, 385314, 385314, 385314, 630940, 0, 630940, 630940, 630940, 630940, 630940, 630940, 630940
Fri Dec 30 20:11:58 EST 2016, 4, 0.500, 2, 1.225, 0.13071, 1.13291, 1.31709, 0.97, 1.17, 1.195, 1.40, 1.42, 37544, 10.7331, 37536.4, 37551.6, 37536, 37536, 37544, 37552, 37568, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 443537, 0, 443537, 443537, 443537, 443537, 443537, 443537, 443537, 862014, 0, 862014, 862014, 862014, 862014, 862014, 862014, 862014
Fri Dec 30 20:13:00 EST 2016, 8, 0.500, 2, 1.354, 0.137637, 1.25703, 1.45097, 1.06, 1.29, 1.35, 1.52, 1.55, 37752, 8, 37746.4, 37757.6, 37744, 37744, 37760, 37760, 37760, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 463010, 0, 463010, 463010, 463010, 463010, 463010, 463010, 463010, 978021, 0, 978021, 978021, 978021, 978021, 978021, 978021, 978021
Fri Dec 30 20:14:01 EST 2016, 0, 0.000, 4, 1.892, 0.110616, 1.81406, 1.96994, 1.75, 1.86, 1.88, 1.98, 2.17, 42376, 10.7331, 42368.4, 42383.6, 42368, 42368, 42376, 42384, 42400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 499000, 0, 499000, 499000, 499000, 499000, 499000, 499000, 499000, 1992000, 0, 1992000, 1992000, 1992000, 1992000, 1992000, 1992000, 1992000
