# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, heap_timing_secs
Mon Jan  9 13:20:31 EST 2017, 3029, 0.360, 7, 0.180, 499, 61, 9, 30, 99, 131.980, 128.037
Mon Jan  9 13:20:40 EST 2017, 7979, 0.860, 3, 0.680, 349, 16, 19, 5, 54, 7.567, 8.020
Mon Jan  9 13:24:53 EST 2017, 5504, 0.110, 5, 0.430, 424, 84, 14, 42, 77, 229.300, 232.603
Mon Jan  9 13:25:08 EST 2017, 554, 0.610, 9, 0.930, 574, 39, 5, 17, 32, 13.873, 11.430
Mon Jan  9 13:25:57 EST 2017, 709, 0.310, 1, 0.260, 344, 77, 10, 37, 72, 44.337, 44.860
Mon Jan  9 13:25:59 EST 2017, 5659, 0.810, 5, 0.760, 494, 32, 1, 12, 27, 1.153, 1.000
Mon Jan  9 13:30:30 EST 2017, 8134, 0.060, 8, 0.010, 569, 99, 6, 49, 95, 214.437, 260.627
Mon Jan  9 13:31:36 EST 2017, 3184, 0.560, 3, 0.510, 419, 54, 15, 24, 50, 56.033, 64.780
Mon Jan  9 13:32:23 EST 2017, 4421, 0.190, 6, 0.380, 532, 43, 13, 5, 61, 41.000, 41.240
Mon Jan  9 13:32:29 EST 2017, 9371, 0.690, 2, 0.880, 382, 88, 3, 30, 16, 5.667, 5.720
Mon Jan  9 13:32:45 EST 2017, 6896, 0.440, 4, 0.130, 307, 20, 8, 18, 84, 13.303, 13.083
Mon Jan  9 13:34:50 EST 2017, 1946, 0.940, 9, 0.630, 457, 65, 17, 43, 39, 115.520, 118.400
Mon Jan  9 13:35:53 EST 2017, 2565, 0.000, 4, 0.950, 513, 60, 12, 15, 55, 58.360, 58.390
Mon Jan  9 13:35:55 EST 2017, 7515, 0.500, 8, 0.450, 363, 15, 2, 40, 10, 1.243, 1.130
Mon Jan  9 13:36:46 EST 2017, 9990, 0.250, 6, 0.700, 438, 82, 7, 2, 78, 37.553, 45.387
Mon Jan  9 13:37:11 EST 2017, 5040, 0.750, 1, 0.200, 588, 37, 16, 27, 33, 20.887, 23.433
Mon Jan  9 13:39:29 EST 2017, 3802, 0.370, 9, 0.820, 401, 49, 14, 46, 67, 125.460, 125.937
Mon Jan  9 13:39:49 EST 2017, 8752, 0.870, 5, 0.320, 551, 94, 4, 21, 22, 17.727, 16.943
Mon Jan  9 13:40:35 EST 2017, 6277, 0.120, 3, 0.570, 476, 26, 9, 33, 89, 39.197, 42.323
Mon Jan  9 13:41:28 EST 2017, 1327, 0.620, 7, 0.070, 326, 71, 19, 8, 44, 48.923, 47.870
Mon Jan  9 13:41:39 EST 2017, 1018, 0.160, 8, 0.170, 429, 91, 1, 19, 53, 10.373, 9.617
Mon Jan  9 13:44:18 EST 2017, 5968, 0.660, 3, 0.670, 579, 46, 11, 44, 98, 147.943, 153.660
Mon Jan  9 13:44:39 EST 2017, 8443, 0.410, 1, 0.420, 504, 68, 16, 7, 30, 17.957, 16.773
Mon Jan  9 13:45:00 EST 2017, 3493, 0.910, 6, 0.920, 354, 23, 6, 32, 75, 17.767, 18.960
Mon Jan  9 13:45:05 EST 2017, 4730, 0.280, 4, 0.040, 466, 12, 4, 38, 41, 4.227, 5.227
Mon Jan  9 13:46:25 EST 2017, 9680, 0.780, 9, 0.540, 316, 57, 13, 13, 86, 62.123, 74.583
Mon Jan  9 13:46:47 EST 2017, 7205, 0.030, 7, 0.290, 391, 35, 18, 26, 19, 17.480, 19.397
Mon Jan  9 13:47:17 EST 2017, 2255, 0.530, 2, 0.790, 541, 80, 9, 1, 64, 27.350, 29.043
Mon Jan  9 13:47:46 EST 2017, 1637, 0.470, 5, 0.600, 597, 85, 3, 29, 36, 26.010, 26.770
Mon Jan  9 13:48:05 EST 2017, 6587, 0.970, 1, 0.100, 447, 40, 12, 4, 81, 16.283, 17.967
Mon Jan  9 13:48:33 EST 2017, 9062, 0.220, 3, 0.850, 372, 63, 17, 41, 13, 22.700, 27.033
Mon Jan  9 13:48:46 EST 2017, 4112, 0.720, 7, 0.350, 522, 18, 7, 16, 58, 11.510, 11.250
Mon Jan  9 13:48:51 EST 2017, 2874, 0.090, 2, 0.730, 335, 29, 5, 10, 47, 4.273, 3.917
Mon Jan  9 13:54:06 EST 2017, 7824, 0.590, 6, 0.230, 485, 74, 15, 35, 92, 263.960, 293.517
Mon Jan  9 13:55:06 EST 2017, 5349, 0.340, 8, 0.980, 560, 51, 19, 22, 25, 54.753, 52.970
Mon Jan  9 13:58:16 EST 2017, 399, 0.840, 4, 0.480, 410, 96, 10, 47, 70, 159.350, 178.387
Mon Jan  9 13:59:05 EST 2017, 322, 0.450, 9, 0.100, 492, 79, 13, 31, 18, 40.710, 48.330
Mon Jan  9 13:59:09 EST 2017, 5272, 0.950, 4, 0.600, 342, 34, 3, 6, 63, 4.210, 4.047
Mon Jan  9 13:59:53 EST 2017, 7747, 0.200, 2, 0.350, 417, 56, 8, 44, 41, 37.207, 37.383
Mon Jan  9 14:00:29 EST 2017, 2797, 0.700, 6, 0.850, 567, 11, 18, 19, 86, 28.787, 34.820
Mon Jan  9 14:00:32 EST 2017, 4034, 0.070, 3, 0.220, 379, 23, 11, 0, 29, 3.123, 2.713
