# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 0 12', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, 3tHeap_timing_secs
Tue Jan 10 17:54:53 EST 2017, 8150, 0.870, 10, 0.460, 491, 78, 2, 11, 79, 9.210, 9.920
Tue Jan 10 17:55:48 EST 2017, 5675, 0.120, 7, 0.710, 566, 11, 7, 49, 12, 1.177, 1.137
Tue Jan 10 17:58:09 EST 2017, 726, 0.620, 1, 0.210, 416, 56, 17, 24, 57, 22.973, 23.077
Tue Jan 10 18:00:55 EST 2017, 1035, 0.150, 3, 0.050, 332, 81, 4, 10, 65, 4.513, 5.180
Tue Jan 10 18:03:05 EST 2017, 5985, 0.650, 9, 0.550, 482, 36, 14, 35, 20, 9.717, 9.543
Tue Jan 10 18:08:12 EST 2017, 8460, 0.400, 6, 0.300, 557, 59, 18, 22, 88, 73.670, 63.930
Tue Jan 10 18:13:14 EST 2017, 3510, 0.900, 0, 0.800, 407, 14, 9, 47, 43, 6.383, 6.260
Tue Jan 10 18:15:15 EST 2017, 4747, 0.280, 10, 0.180, 594, 25, 2, 28, 77, 3.880, 4.240
Tue Jan 10 18:19:21 EST 2017, 9697, 0.780, 4, 0.680, 444, 70, 11, 3, 32, 7.177, 6.310
Tue Jan 10 18:21:37 EST 2017, 7222, 0.030, 1, 0.430, 369, 48, 16, 41, 99, 16.577, 15.487
Tue Jan 10 18:22:40 EST 2017, 2272, 0.530, 7, 0.930, 519, 93, 6, 16, 54, 16.467, 14.983
Tue Jan 10 18:24:51 EST 2017, 1654, 0.460, 0, 0.740, 463, 98, 5, 38, 71, 29.450, 28.890
Tue Jan 10 18:25:37 EST 2017, 6604, 0.960, 6, 0.240, 313, 53, 15, 13, 26, 0.113, 9.940
Tue Jan 10 18:28:22 EST 2017, 9079, 0.210, 9, 0.990, 388, 76, 19, 25, 93, 55.603, 44.913
Tue Jan 10 18:29:33 EST 2017, 4129, 0.710, 3, 0.490, 538, 31, 10, 0, 48, 5.077, 5.007
Tue Jan 10 18:30:33 EST 2017, 2891, 0.090, 8, 0.620, 426, 19, 3, 19, 60, 1.483, 1.590
Tue Jan 10 18:31:59 EST 2017, 7841, 0.590, 2, 0.120, 576, 64, 12, 44, 15, 27.140, 19.443
Tue Jan 10 18:34:51 EST 2017, 5366, 0.340, 5, 0.870, 501, 42, 17, 7, 82, 16.617, 13.837
Tue Jan 10 18:35:57 EST 2017, 416, 0.840, 11, 0.370, 351, 87, 8, 32, 37, 19.187, 19.420
Tue Jan 10 18:37:53 EST 2017, 571, 0.070, 0, 0.950, 571, 26, 17, 12, 78, 11.087, 9.250
Tue Jan 10 18:40:04 EST 2017, 5521, 0.570, 6, 0.450, 421, 71, 8, 37, 33, 15.150, 15.350
Tue Jan 10 18:42:24 EST 2017, 7996, 0.320, 9, 0.700, 346, 49, 3, 0, 55, 1.427, 1.543
Tue Jan 10 18:44:21 EST 2017, 3046, 0.820, 3, 0.200, 496, 94, 13, 25, 10, 23.047, 14.467
Tue Jan 10 18:47:07 EST 2017, 4283, 0.450, 7, 0.820, 308, 83, 15, 43, 89, 64.303, 58.287
Tue Jan 10 18:48:08 EST 2017, 9233, 0.950, 1, 0.320, 458, 38, 6, 18, 44, 4.637, 5.607
Tue Jan 10 18:50:09 EST 2017, 6758, 0.200, 4, 0.570, 533, 60, 1, 31, 67, 2.887, 3.183
Tue Jan 10 18:52:09 EST 2017, 1808, 0.700, 10, 0.070, 383, 15, 10, 6, 22, 0.217, 1.837
Tue Jan 10 18:53:20 EST 2017, 2427, 0.260, 3, 0.260, 440, 10, 19, 34, 95, 12.017, 11.340
Tue Jan 10 18:54:26 EST 2017, 7377, 0.760, 9, 0.760, 590, 55, 9, 9, 50, 14.053, 12.677
Tue Jan 10 18:55:21 EST 2017, 9852, 0.010, 6, 0.010, 515, 32, 4, 46, 72, 7.263, 7.260
Tue Jan 10 18:56:27 EST 2017, 4902, 0.510, 0, 0.510, 365, 77, 14, 21, 27, 13.093, 12.200
Tue Jan 10 18:57:47 EST 2017, 3665, 0.140, 11, 0.380, 477, 88, 16, 3, 84, 30.287, 22.563
Tue Jan 10 19:00:18 EST 2017, 8615, 0.640, 5, 0.880, 327, 43, 7, 28, 39, 5.833, 5.480
