# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--recvr-range 1 10000', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', heap_timing_secs, binomHeap_timing_secs
Sun Apr 30 10:06:55 EDT 2017, 7384, 0.950, 6196, 1, 0.220, 502, 11, 1, 21, 52, 0.580, 0.610
Sun Apr 30 10:07:25 EDT 2017, 9859, 0.200, 8696, 7, 0.470, 427, 33, 15, 33, 29, 25.120, 30.223
Sun Apr 30 10:08:06 EDT 2017, 4909, 0.700, 3696, 3, 0.970, 577, 78, 6, 8, 74, 36.473, 40.003
Sun Apr 30 10:08:17 EDT 2017, 3672, 0.070, 7446, 6, 0.340, 540, 67, 3, 39, 18, 9.240, 10.627
Sun Apr 30 10:08:32 EDT 2017, 8622, 0.570, 2447, 2, 0.840, 390, 22, 13, 14, 63, 11.313, 14.627
Sun Apr 30 10:09:39 EDT 2017, 6147, 0.320, 4946, 9, 0.590, 465, 45, 8, 27, 85, 56.710, 66.010
Sun Apr 30 10:10:34 EDT 2017, 1197, 0.820, 9946, 4, 0.090, 315, 90, 18, 2, 40, 35.910, 53.347
Sun Apr 30 10:10:45 EDT 2017, 887, 0.360, 5884, 4, 0.370, 380, 19, 12, 3, 60, 6.727, 10.573
Sun Apr 30 10:10:52 EDT 2017, 5837, 0.860, 884, 8, 0.870, 530, 64, 3, 28, 15, 5.727, 6.760
Sun Apr 30 10:11:21 EDT 2017, 8312, 0.110, 3384, 1, 0.620, 305, 87, 17, 16, 38, 22.547, 28.440
Sun Apr 30 10:12:39 EDT 2017, 3362, 0.610, 8383, 6, 0.120, 455, 42, 8, 41, 83, 66.167, 76.747
Sun Apr 30 10:12:41 EDT 2017, 4600, 0.230, 2134, 5, 0.500, 493, 30, 1, 10, 49, 1.773, 2.340
Sun Apr 30 10:15:15 EDT 2017, 9550, 0.730, 7134, 9, 0.000, 343, 75, 10, 35, 94, 127.240, 150.090
Sun Apr 30 10:16:32 EDT 2017, 7075, 0.480, 9633, 3, 0.250, 568, 98, 5, 22, 71, 63.227, 76.570
Sun Apr 30 10:17:25 EDT 2017, 2125, 0.980, 4634, 7, 0.750, 418, 53, 15, 47, 26, 46.547, 52.630
Sun Apr 30 10:17:30 EDT 2017, 1506, 0.040, 7759, 9, 0.930, 436, 14, 6, 7, 66, 3.877, 4.850
Sun Apr 30 10:18:22 EDT 2017, 6456, 0.540, 2759, 4, 0.430, 586, 59, 16, 32, 21, 42.653, 51.813
Sun Apr 30 10:18:33 EDT 2017, 8931, 0.290, 259, 7, 0.180, 361, 81, 2, 19, 43, 8.057, 10.507
Sun Apr 30 10:19:46 EDT 2017, 3981, 0.790, 5259, 2, 0.680, 511, 36, 11, 44, 88, 63.177, 72.590
Sun Apr 30 10:20:14 EDT 2017, 2744, 0.420, 4009, 8, 0.060, 474, 25, 18, 0, 54, 15.497, 26.697
Sun Apr 30 10:21:34 EDT 2017, 7694, 0.920, 9008, 3, 0.560, 324, 70, 9, 25, 99, 66.450, 78.313
Sun Apr 30 10:24:25 EDT 2017, 5219, 0.170, 6509, 5, 0.810, 549, 92, 14, 13, 77, 145.223, 169.367
Sun Apr 30 10:24:31 EDT 2017, 269, 0.670, 1509, 1, 0.310, 399, 47, 4, 38, 32, 4.807, 5.800
Sun Apr 30 10:25:38 EDT 2017, 346, 0.020, 6274, 4, 0.660, 420, 72, 8, 22, 73, 55.910, 65.923
Sun Apr 30 10:26:28 EDT 2017, 5296, 0.520, 1275, 9, 0.160, 570, 27, 18, 47, 28, 42.597, 49.813
