# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 0 12', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, 3tHeap_timing_secs
Tue Jan 10 19:29:52 EST 2017, 8946, 0.420, 6, 0.160, 385, 98, 13, 32, 72, 62.710, 57.630
Tue Jan 10 19:32:13 EST 2017, 3996, 0.920, 0, 0.660, 535, 53, 4, 7, 27, 0.090, 3.343
Tue Jan 10 19:35:24 EST 2017, 2758, 0.290, 10, 0.290, 423, 42, 6, 14, 83, 8.653, 9.283
Tue Jan 10 19:37:20 EST 2017, 7708, 0.790, 4, 0.790, 573, 87, 16, 39, 38, 59.877, 56.300
Tue Jan 10 19:40:26 EST 2017, 5233, 0.040, 1, 0.040, 498, 19, 11, 1, 61, 1.633, 2.013
Tue Jan 10 19:42:27 EST 2017, 283, 0.540, 7, 0.540, 348, 64, 1, 26, 16, 0.850, 0.893
Tue Jan 10 19:45:08 EST 2017, 361, 0.140, 2, 0.900, 547, 71, 16, 43, 67, 40.097, 37.533
Tue Jan 10 19:48:34 EST 2017, 5311, 0.640, 8, 0.400, 397, 26, 7, 18, 22, 2.473, 2.417
Tue Jan 10 19:50:45 EST 2017, 7786, 0.390, 11, 0.650, 322, 93, 2, 31, 90, 9.123, 9.500
Tue Jan 10 19:54:52 EST 2017, 2836, 0.890, 5, 0.150, 472, 48, 11, 6, 45, 0.283, 14.780
Tue Jan 10 19:56:58 EST 2017, 4073, 0.270, 6, 0.780, 360, 37, 18, 24, 56, 14.643, 13.460
Tue Jan 10 19:58:59 EST 2017, 9023, 0.770, 0, 0.280, 510, 82, 9, 49, 11, 11.007, 11.030
Tue Jan 10 19:59:50 EST 2017, 6548, 0.020, 3, 0.530, 585, 15, 4, 12, 78, 1.830, 1.897
Tue Jan 10 20:01:15 EST 2017, 1598, 0.520, 9, 0.030, 435, 60, 14, 37, 33, 24.357, 23.837
Tue Jan 10 20:03:12 EST 2017, 2217, 0.460, 5, 0.340, 378, 65, 15, 9, 61, 20.113, 18.720
Tue Jan 10 20:05:53 EST 2017, 7167, 0.960, 11, 0.840, 528, 20, 5, 34, 16, 0.080, 2.053
Tue Jan 10 20:07:59 EST 2017, 9642, 0.210, 8, 0.090, 453, 88, 1, 21, 84, 4.527, 5.527
Tue Jan 10 20:10:00 EST 2017, 4692, 0.710, 2, 0.590, 303, 43, 10, 46, 39, 8.993, 8.827
Tue Jan 10 20:13:26 EST 2017, 3454, 0.080, 10, 0.470, 491, 54, 17, 27, 73, 34.073, 31.770
Tue Jan 10 20:15:52 EST 2017, 8404, 0.580, 4, 0.970, 341, 99, 8, 2, 28, 3.497, 2.843
Tue Jan 10 20:16:57 EST 2017, 5929, 0.330, 1, 0.220, 416, 31, 3, 40, 95, 3.337, 3.590
Tue Jan 10 20:19:34 EST 2017, 979, 0.830, 7, 0.720, 566, 76, 13, 15, 50, 35.567, 32.267
Tue Jan 10 20:23:10 EST 2017, 1289, 0.360, 11, 0.500, 481, 96, 7, 1, 47, 7.737, 8.427
Tue Jan 10 20:28:17 EST 2017, 6239, 0.860, 5, 0.000, 331, 51, 17, 26, 92, 72.307, 55.110
Tue Jan 10 20:30:17 EST 2017, 8714, 0.110, 2, 0.750, 406, 74, 12, 13, 25, 4.040, 3.757
Tue Jan 10 20:32:23 EST 2017, 3764, 0.610, 8, 0.250, 556, 29, 2, 38, 70, 5.457, 5.803
Tue Jan 10 20:35:25 EST 2017, 5001, 0.240, 4, 0.620, 444, 17, 10, 32, 36, 3.637, 3.623
Tue Jan 10 20:39:31 EST 2017, 9951, 0.740, 10, 0.120, 594, 62, 19, 7, 81, 68.203, 51.613
Tue Jan 10 21:42:42 EST 2017, 7476, 0.490, 7, 0.870, 519, 40, 14, 45, 14, 7.997, 7.587
Tue Jan 10 21:44:43 EST 2017, 2526, 0.990, 1, 0.370, 369, 85, 5, 20, 59, 0.130, 10.037
Tue Jan 10 21:47:44 EST 2017, 1907, 0.050, 7, 0.190, 313, 79, 6, 48, 42, 9.717, 9.803
Tue Jan 10 21:51:50 EST 2017, 6857, 0.550, 1, 0.690, 463, 34, 15, 23, 87, 12.693, 12.207
Tue Jan 10 21:56:01 EST 2017, 9332, 0.300, 4, 0.440, 538, 57, 11, 35, 19, 11.400, 9.917
Tue Jan 10 21:59:47 EST 2017, 4382, 0.800, 10, 0.940, 388, 12, 1, 10, 64, 0.517, 0.513
Tue Jan 10 22:00:58 EST 2017, 3145, 0.430, 0, 0.060, 575, 23, 8, 16, 53, 7.150, 7.467
