# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 1 10', '--delay 1 10', '--selfEvents% 0 100', '--callIntervalMean 1 10', '--callDurationMean 1 10', '--maxChannels 10 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, 3tHeap_timing_secs
Tue May 16 13:50:44 EDT 2017, 0.260, 1, 7, 0.420, 5, 2, 98, 342, 36, 11, 27, 59, 9.710, 7.620
Tue May 16 13:50:48 EDT 2017, 0.760, 5, 2, 0.920, 1, 7, 53, 492, 81, 2, 2, 14, 4.297, 3.673
Tue May 16 13:50:51 EDT 2017, 0.510, 3, 5, 0.170, 3, 4, 31, 417, 14, 7, 39, 36, 2.587, 2.177
Tue May 16 13:51:37 EDT 2017, 0.010, 8, 9, 0.670, 8, 9, 76, 567, 59, 16, 14, 81, 44.900, 36.123
Tue May 16 13:51:48 EDT 2017, 0.020, 4, 5, 0.800, 2, 8, 45, 508, 31, 7, 33, 61, 11.420, 9.723
Tue May 16 13:51:56 EDT 2017, 0.520, 9, 9, 0.300, 7, 4, 90, 358, 76, 17, 8, 16, 7.153, 5.583
Tue May 16 13:52:13 EDT 2017, 0.770, 2, 7, 0.550, 9, 6, 68, 583, 54, 12, 46, 38, 17.260, 13.690
Tue May 16 13:52:53 EDT 2017, 0.270, 6, 2, 0.050, 5, 2, 23, 433, 99, 3, 21, 83, 39.663, 35.717
Tue May 16 13:52:56 EDT 2017, 0.390, 1, 8, 0.920, 8, 3, 34, 321, 20, 15, 40, 27, 2.670, 1.990
Tue May 16 13:53:24 EDT 2017, 0.890, 5, 3, 0.420, 4, 7, 79, 471, 65, 5, 15, 72, 27.153, 23.280
Tue May 16 13:54:28 EDT 2017, 0.640, 3, 1, 0.670, 1, 5, 57, 396, 43, 10, 27, 95, 63.650, 33.760
Tue May 16 13:55:34 EDT 2017, 0.140, 7, 6, 0.170, 6, 9, 12, 546, 88, 19, 2, 50, 65.543, 42.313
Tue May 16 13:55:37 EDT 2017, 0.210, 2, 2, 0.490, 6, 9, 51, 377, 14, 6, 5, 33, 3.183, 2.080
Tue May 16 13:56:33 EDT 2017, 0.710, 7, 6, 0.990, 2, 4, 96, 527, 59, 16, 30, 78, 54.620, 35.853
Tue May 16 13:56:41 EDT 2017, 0.960, 5, 8, 0.240, 4, 7, 73, 302, 37, 11, 18, 55, 7.750, 6.403
Tue May 16 13:56:43 EDT 2017, 0.460, 9, 4, 0.740, 9, 2, 28, 452, 82, 2, 43, 10, 1.783, 1.787
Tue May 16 13:57:09 EDT 2017, 0.330, 4, 5, 0.360, 3, 1, 40, 564, 26, 13, 24, 89, 25.490, 17.583
Tue May 16 13:57:33 EDT 2017, 0.830, 8, 1, 0.860, 7, 5, 85, 414, 71, 4, 49, 44, 23.330, 16.050
Tue May 16 13:57:43 EDT 2017, 0.580, 1, 3, 0.110, 5, 3, 62, 489, 48, 9, 12, 21, 9.093, 5.893
Tue May 16 13:58:32 EDT 2017, 0.080, 6, 7, 0.610, 1, 8, 17, 339, 93, 18, 37, 66, 48.767, 31.563
Tue May 16 13:58:44 EDT 2017, 0.110, 2, 6, 0.640, 5, 5, 93, 424, 96, 5, 38, 36, 12.140, 11.620
Tue May 16 14:00:25 EDT 2017, 0.610, 6, 2, 0.140, 9, 1, 48, 574, 51, 14, 13, 81, 99.993, 51.227
Tue May 16 14:01:19 EDT 2017, 0.860, 4, 4, 0.890, 7, 7, 26, 349, 73, 19, 26, 58, 52.640, 30.210
Tue May 16 14:01:21 EDT 2017, 0.360, 8, 9, 0.390, 3, 3, 71, 499, 28, 9, 1, 13, 1.773, 1.510
Tue May 16 14:15:32 EDT 2017, 0.490, 5, 1, 0.520, 6, 4, 82, 536, 85, 16, 32, 92, 531.280, 841.830
Tue May 16 14:15:42 EDT 2017, 0.990, 9, 5, 0.020, 2, 9, 37, 386, 40, 7, 7, 47, 10.043, 8.540
Tue May 16 14:15:44 EDT 2017, 0.740, 3, 8, 0.770, 4, 2, 14, 461, 62, 2, 44, 24, 2.103, 2.213
Tue May 16 14:15:54 EDT 2017, 0.240, 7, 3, 0.270, 8, 6, 59, 311, 17, 12, 19, 69, 9.263, 5.750
Tue May 16 14:16:05 EDT 2017, 0.170, 3, 9, 0.080, 9, 7, 99, 480, 79, 3, 23, 64, 9.500, 10.777
Tue May 16 14:16:09 EDT 2017, 0.670, 8, 5, 0.580, 4, 2, 54, 330, 34, 13, 48, 19, 4.097, 2.813
Tue May 16 14:16:57 EDT 2017, 0.920, 1, 3, 0.330, 2, 9, 31, 555, 57, 18, 10, 41, 47.513, 26.557
Tue May 16 14:17:02 EDT 2017, 0.420, 5, 7, 0.830, 7, 5, 76, 405, 12, 8, 35, 86, 4.150, 3.600
Tue May 16 14:17:29 EDT 2017, 0.300, 2, 4, 0.210, 1, 4, 88, 367, 90, 15, 4, 30, 26.823, 16.070
Tue May 16 14:17:43 EDT 2017, 0.800, 7, 8, 0.710, 5, 8, 43, 517, 45, 6, 29, 75, 13.510, 13.023
Tue May 16 14:17:51 EDT 2017, 0.550, 4, 6, 0.460, 8, 1, 20, 442, 68, 1, 16, 97, 6.580, 7.613
Tue May 16 14:18:19 EDT 2017, 0.050, 9, 1, 0.960, 3, 6, 65, 592, 23, 10, 41, 52, 27.750, 14.620
Tue May 16 14:18:32 EDT 2017, 0.030, 2, 9, 0.350, 5, 5, 21, 335, 69, 7, 30, 73, 13.473, 12.853
Tue May 16 14:18:42 EDT 2017, 0.530, 6, 4, 0.850, 1, 9, 66, 485, 24, 16, 5, 28, 8.997, 5.320
Tue May 16 14:19:49 EDT 2017, 0.780, 4, 2, 0.100, 3, 3, 89, 410, 92, 11, 42, 51, 65.870, 35.423
Tue May 16 14:20:00 EDT 2017, 0.280, 8, 7, 0.600, 7, 7, 44, 560, 47, 2, 17, 96, 9.220, 10.450
Tue May 16 14:20:14 EDT 2017, 0.410, 3, 3, 0.470, 4, 6, 10, 522, 58, 14, 48, 17, 14.443, 8.493
Tue May 16 14:20:16 EDT 2017, 0.910, 7, 8, 0.970, 8, 1, 55, 372, 13, 4, 23, 62, 1.580, 1.543
Tue May 16 14:21:20 EDT 2017, 0.660, 1, 5, 0.220, 6, 8, 78, 597, 81, 9, 36, 85, 62.867, 48.677
Tue May 16 14:22:03 EDT 2017, 0.160, 5, 1, 0.720, 2, 4, 33, 447, 36, 18, 11, 40, 43.417, 20.667
Tue May 16 14:22:15 EDT 2017, 0.220, 5, 7, 0.910, 1, 3, 27, 578, 64, 5, 8, 45, 11.730, 11.173
Tue May 16 14:22:39 EDT 2017, 0.720, 9, 3, 0.410, 6, 8, 72, 428, 19, 15, 33, 90, 23.280, 14.123
Tue May 16 14:23:28 EDT 2017, 0.970, 2, 5, 0.660, 8, 1, 95, 503, 86, 10, 20, 68, 48.107, 36.073
Tue May 16 14:23:29 EDT 2017, 0.470, 7, 9, 0.160, 3, 5, 50, 353, 41, 1, 45, 23, 0.620, 0.717
Tue May 16 14:25:01 EDT 2017, 0.350, 1, 2, 0.780, 9, 6, 16, 391, 75, 13, 14, 79, 90.360, 46.807
Tue May 16 14:25:04 EDT 2017, 0.850, 6, 6, 0.280, 5, 2, 61, 541, 30, 3, 39, 34, 2.740, 2.673
Tue May 16 14:25:07 EDT 2017, 0.600, 3, 8, 0.530, 2, 9, 83, 316, 97, 8, 1, 12, 3.573, 3.163
Tue May 16 14:25:51 EDT 2017, 0.100, 8, 4, 0.030, 7, 4, 38, 466, 52, 17, 26, 57, 42.980, 25.227
Tue May 16 14:26:09 EDT 2017, 0.070, 4, 2, 0.190, 8, 2, 69, 532, 44, 5, 47, 48, 17.653, 12.143
Tue May 16 14:27:10 EDT 2017, 0.570, 8, 7, 0.690, 3, 6, 24, 382, 89, 14, 22, 93, 59.647, 41.677
Tue May 16 14:27:22 EDT 2017, 0.820, 1, 9, 0.440, 1, 4, 47, 457, 21, 19, 34, 71, 11.923, 8.837
Tue May 16 14:27:31 EDT 2017, 0.320, 6, 5, 0.940, 5, 8, 92, 307, 66, 10, 9, 26, 8.607, 6.400
Tue May 16 14:27:57 EDT 2017, 0.440, 3, 6, 0.070, 2, 7, 58, 419, 33, 17, 28, 82, 26.187, 17.560
Tue May 16 14:28:44 EDT 2017, 0.940, 7, 1, 0.570, 6, 3, 13, 569, 78, 7, 3, 37, 46.553, 26.823
Tue May 16 14:28:45 EDT 2017, 0.690, 5, 4, 0.320, 9, 5, 36, 344, 10, 2, 41, 14, 0.360, 0.323
Tue May 16 14:29:07 EDT 2017, 0.190, 9, 8, 0.820, 4, 1, 81, 494, 55, 12, 16, 59, 21.817, 17.497
Tue May 16 14:29:16 EDT 2017, 0.130, 1, 4, 0.500, 4, 1, 75, 363, 38, 4, 12, 76, 9.027, 8.200
Tue May 16 14:29:33 EDT 2017, 0.630, 5, 9, 0.000, 8, 6, 30, 513, 83, 13, 37, 31, 17.293, 14.410
Tue May 16 14:29:42 EDT 2017, 0.880, 3, 6, 0.750, 6, 3, 52, 438, 16, 18, 0, 54, 8.413, 5.387
Tue May 16 14:31:19 EDT 2017, 0.380, 8, 2, 0.250, 1, 8, 97, 588, 61, 8, 25, 99, 96.440, 53.637
Tue May 16 14:31:28 EDT 2017, 0.250, 4, 7, 0.630, 7, 9, 64, 475, 50, 15, 6, 20, 8.417, 6.100
Tue May 16 14:31:58 EDT 2017, 0.750, 9, 3, 0.130, 3, 5, 19, 325, 95, 6, 31, 65, 29.543, 23.193
Tue May 16 14:32:06 EDT 2017, 0.500, 2, 1, 0.880, 5, 7, 41, 550, 27, 1, 19, 88, 7.507, 7.687
Tue May 16 14:32:29 EDT 2017, 0.000, 6, 5, 0.380, 9, 2, 86, 400, 72, 11, 44, 43, 21.897, 15.687
Tue May 16 14:32:43 EDT 2017, 0.010, 3, 8, 0.940, 5, 4, 51, 446, 75, 11, 28, 32, 13.503, 11.563
Tue May 16 14:32:51 EDT 2017, 0.510, 8, 3, 0.440, 9, 9, 96, 596, 30, 2, 3, 77, 8.070, 8.103
Tue May 16 14:35:24 EDT 2017, 0.760, 1, 1, 0.690, 7, 2, 74, 371, 98, 7, 40, 99, 140.977, 118.383
Tue May 16 14:36:02 EDT 2017, 0.260, 6, 5, 0.190, 2, 7, 29, 521, 53, 16, 15, 54, 37.717, 24.700
Tue May 16 14:36:43 EDT 2017, 0.380, 2, 4, 0.810, 6, 5, 40, 558, 64, 9, 47, 65, 39.827, 28.640
Tue May 16 14:36:46 EDT 2017, 0.880, 7, 9, 0.310, 1, 1, 85, 408, 19, 19, 22, 20, 2.803, 2.033
Tue May 16 14:37:21 EDT 2017, 0.630, 5, 6, 0.560, 4, 8, 63, 483, 86, 14, 34, 43, 35.277, 24.623
Tue May 16 14:37:38 EDT 2017, 0.130, 9, 2, 0.060, 8, 3, 18, 333, 41, 4, 9, 88, 16.457, 12.380
Tue May 16 14:38:15 EDT 2017, 0.190, 1, 6, 0.250, 9, 4, 46, 465, 58, 10, 6, 94, 36.467, 28.557
Tue May 16 14:38:16 EDT 2017, 0.690, 5, 1, 0.750, 4, 8, 91, 315, 13, 1, 31, 49, 1.383, 1.380
