# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, ladderQ_timing_secs
Sun Jul  2 10:40:35 EDT 2017, 0.270, 145, 21, 2, 18, 335, 3, 27, 29, 14, 0.650, 0.760
Sun Jul  2 10:40:37 EDT 2017, 0.390, 120, 28, 9, 26, 372, 6, 12, 3, 39, 1.990, 2.047
Sun Jul  2 10:41:03 EDT 2017, 0.890, 140, 23, 5, 15, 522, 15, 32, 18, 19, 25.630, 20.907
Sun Jul  2 10:41:15 EDT 2017, 0.640, 130, 20, 7, 9, 447, 10, 22, 11, 29, 12.023, 10.223
Sun Jul  2 10:41:18 EDT 2017, 0.140, 150, 25, 3, 20, 597, 1, 42, 26, 49, 2.227, 2.400
Sun Jul  2 10:41:24 EDT 2017, 0.210, 128, 21, 5, 22, 578, 9, 20, 1, 22, 6.473, 5.910
Sun Jul  2 10:44:58 EDT 2017, 0.710, 148, 26, 9, 11, 428, 19, 40, 16, 42, 213.167, 154.697
Sun Jul  2 10:45:04 EDT 2017, 0.960, 138, 28, 3, 16, 503, 14, 10, 9, 32, 5.550, 5.387
Sun Jul  2 10:45:05 EDT 2017, 0.460, 158, 23, 7, 27, 353, 5, 30, 24, 12, 0.800, 0.983
Sun Jul  2 10:45:32 EDT 2017, 0.330, 133, 25, 4, 14, 316, 7, 45, 5, 37, 27.103, 21.610
Sun Jul  2 10:45:44 EDT 2017, 0.830, 153, 20, 8, 25, 466, 16, 25, 20, 17, 11.530, 9.757
Sun Jul  2 10:46:24 EDT 2017, 0.580, 123, 22, 2, 19, 391, 12, 35, 12, 27, 39.843, 30.193
Sun Jul  2 10:46:25 EDT 2017, 0.080, 143, 27, 6, 8, 541, 2, 15, 27, 47, 1.117, 1.200
Sun Jul  2 10:46:44 EDT 2017, 0.110, 124, 26, 7, 18, 457, 18, 26, 28, 18, 18.783, 15.957
Sun Jul  2 10:47:38 EDT 2017, 0.610, 144, 21, 3, 29, 307, 9, 46, 13, 38, 53.283, 40.450
Sun Jul  2 10:47:41 EDT 2017, 0.860, 134, 24, 9, 24, 532, 4, 16, 21, 48, 3.110, 3.100
