# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, 2tHeap_timing_secs
Sun Jul  2 18:25:01 EDT 2017, 0.900, 121, 26, 3, 19, 469, 11, 39, 29, 23, 32.110, 2.707
Sun Jul  2 18:25:02 EDT 2017, 0.400, 141, 21, 7, 8, 319, 2, 19, 14, 43, 1.020, 0.743
Sun Jul  2 18:25:10 EDT 2017, 0.280, 126, 29, 4, 22, 357, 9, 24, 17, 28, 7.900, 1.280
Sun Jul  2 18:32:04 EDT 2017, 0.780, 146, 24, 8, 11, 507, 18, 44, 2, 48, 412.370, 9.970
Sun Jul  2 18:32:21 EDT 2017, 0.530, 136, 22, 2, 16, 432, 14, 14, 25, 38, 17.013, 2.173
Sun Jul  2 18:32:24 EDT 2017, 0.030, 156, 27, 6, 27, 582, 4, 34, 10, 18, 1.990, 1.123
Sun Jul  2 18:33:14 EDT 2017, 0.040, 125, 23, 3, 11, 333, 11, 28, 25, 46, 50.600, 3.040
Sun Jul  2 18:33:17 EDT 2017, 0.540, 145, 28, 7, 22, 483, 2, 48, 10, 26, 1.960, 1.197
Sun Jul  2 18:33:18 EDT 2017, 0.790, 135, 25, 5, 27, 408, 7, 18, 18, 16, 1.183, 0.580
Sun Jul  2 18:35:51 EDT 2017, 0.290, 155, 20, 9, 16, 558, 16, 38, 3, 36, 151.793, 6.450
Sun Jul  2 18:36:06 EDT 2017, 0.420, 130, 29, 2, 25, 596, 14, 43, 29, 11, 15.397, 2.210
Sun Jul  2 18:36:09 EDT 2017, 0.920, 150, 24, 6, 14, 446, 4, 23, 14, 31, 2.453, 1.030
Sun Jul  2 18:37:12 EDT 2017, 0.670, 120, 21, 4, 8, 521, 9, 33, 22, 41, 62.727, 4.250
Sun Jul  2 18:37:17 EDT 2017, 0.170, 140, 26, 8, 19, 371, 19, 13, 7, 21, 4.920, 1.050
Sun Jul  2 18:38:07 EDT 2017, 0.230, 138, 21, 6, 23, 352, 10, 31, 27, 48, 49.477, 3.347
Sun Jul  2 18:38:07 EDT 2017, 0.730, 158, 26, 2, 12, 502, 1, 11, 12, 28, 0.213, 0.267
Sun Jul  2 18:38:12 EDT 2017, 0.980, 128, 28, 8, 18, 427, 6, 41, 20, 18, 4.817, 1.313
Sun Jul  2 18:39:01 EDT 2017, 0.480, 148, 23, 4, 29, 577, 15, 21, 5, 38, 48.270, 3.833
Sun Jul  2 18:39:03 EDT 2017, 0.360, 123, 27, 7, 15, 540, 13, 16, 23, 13, 2.307, 0.870
Sun Jul  2 18:39:07 EDT 2017, 0.860, 143, 22, 3, 26, 390, 3, 36, 8, 33, 3.773, 1.257
Sun Jul  2 18:39:28 EDT 2017, 0.610, 133, 24, 9, 21, 465, 8, 26, 16, 43, 21.043, 2.487
Sun Jul  2 18:40:17 EDT 2017, 0.110, 153, 29, 5, 10, 315, 17, 46, 1, 23, 48.463, 2.873
Sun Jul  2 18:40:20 EDT 2017, 0.070, 134, 25, 4, 16, 380, 3, 35, 2, 32, 3.177, 1.100
