# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--recvr-range 1 10000', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, 3tHeap_timing_secs
Wed Apr 19 11:49:35 EDT 2017, 2961, 0.880, 6797, 6, 0.750, 517, 44, 17, 20, 16, 4.723, 4.500
Wed Apr 19 11:49:41 EDT 2017, 4199, 0.250, 3047, 5, 0.380, 480, 10, 15, 26, 72, 5.393, 5.220
Wed Apr 19 11:49:42 EDT 2017, 9149, 0.750, 8047, 9, 0.880, 330, 55, 5, 1, 27, 0.843, 0.930
Wed Apr 19 11:51:08 EDT 2017, 6674, 0.000, 5547, 3, 0.630, 555, 78, 19, 39, 50, 82.727, 76.840
Wed Apr 19 11:51:17 EDT 2017, 1724, 0.500, 547, 7, 0.130, 405, 33, 10, 14, 95, 8.297, 8.537
Wed Apr 19 11:51:22 EDT 2017, 2342, 0.440, 7422, 9, 0.070, 386, 27, 18, 30, 33, 4.663, 4.557
Wed Apr 19 11:51:41 EDT 2017, 7292, 0.940, 2422, 4, 0.570, 536, 72, 9, 5, 78, 18.247, 17.453
Wed Apr 19 11:52:10 EDT 2017, 9767, 0.190, 4922, 6, 0.820, 311, 95, 13, 42, 55, 28.287, 27.687
Wed Apr 19 11:52:11 EDT 2017, 4817, 0.690, 9921, 2, 0.320, 461, 50, 4, 17, 10, 1.670, 1.647
Wed Apr 19 11:52:15 EDT 2017, 3580, 0.070, 1172, 8, 0.940, 499, 16, 6, 36, 66, 2.987, 3.110
Wed Apr 19 11:52:21 EDT 2017, 8530, 0.570, 6172, 3, 0.440, 349, 61, 16, 11, 21, 6.287, 5.787
Wed Apr 19 11:52:30 EDT 2017, 6055, 0.320, 8672, 5, 0.190, 574, 83, 2, 48, 44, 7.620, 8.423
Wed Apr 19 11:53:07 EDT 2017, 1105, 0.820, 3672, 1, 0.690, 424, 38, 11, 23, 89, 35.883, 31.800
Wed Apr 19 11:53:23 EDT 2017, 796, 0.350, 2110, 2, 0.780, 339, 69, 15, 19, 30, 15.563, 13.727
Wed Apr 19 11:53:30 EDT 2017, 5746, 0.850, 7109, 7, 0.280, 489, 24, 6, 44, 75, 6.670, 6.980
Wed Apr 19 11:53:42 EDT 2017, 8221, 0.100, 9609, 5, 0.030, 414, 47, 10, 6, 97, 11.510, 11.927
Wed Apr 19 11:53:46 EDT 2017, 3271, 0.600, 4609, 9, 0.530, 564, 92, 1, 31, 52, 2.777, 3.120
Wed Apr 19 11:54:25 EDT 2017, 4508, 0.220, 5859, 1, 0.160, 527, 58, 8, 12, 86, 38.123, 32.967
Wed Apr 19 11:54:29 EDT 2017, 9458, 0.720, 860, 6, 0.660, 377, 13, 18, 37, 41, 4.563, 4.327
Wed Apr 19 11:54:30 EDT 2017, 6983, 0.470, 3360, 3, 0.910, 452, 36, 3, 0, 19, 0.463, 0.483
Wed Apr 19 11:54:47 EDT 2017, 2033, 0.970, 8359, 8, 0.410, 302, 81, 13, 25, 64, 16.340, 16.483
Wed Apr 19 11:54:50 EDT 2017, 1414, 0.030, 3984, 5, 0.350, 321, 75, 5, 16, 24, 2.750, 2.927
Wed Apr 19 11:55:35 EDT 2017, 6364, 0.530, 8984, 1, 0.850, 471, 30, 14, 41, 69, 44.650, 41.997
Wed Apr 19 11:55:43 EDT 2017, 8839, 0.280, 6484, 7, 0.600, 396, 52, 9, 3, 92, 7.417, 7.627
Wed Apr 19 11:57:04 EDT 2017, 3889, 0.780, 1485, 3, 0.100, 546, 97, 19, 28, 47, 78.880, 76.207
Wed Apr 19 11:57:37 EDT 2017, 2652, 0.410, 7734, 6, 0.720, 583, 64, 12, 22, 81, 32.567, 31.593
Wed Apr 19 11:57:39 EDT 2017, 7602, 0.910, 2735, 2, 0.220, 433, 19, 2, 47, 36, 2.010, 2.010
Wed Apr 19 11:57:41 EDT 2017, 5127, 0.160, 235, 8, 0.470, 508, 41, 16, 9, 13, 1.793, 1.737
Wed Apr 19 11:58:02 EDT 2017, 177, 0.660, 5234, 4, 0.970, 358, 86, 7, 34, 58, 19.273, 20.283
Wed Apr 19 11:58:15 EDT 2017, 216, 0.330, 7851, 9, 0.460, 425, 51, 10, 36, 61, 12.117, 12.880
Wed Apr 19 11:58:28 EDT 2017, 5166, 0.830, 2852, 4, 0.960, 575, 96, 19, 11, 16, 12.453, 10.463
Wed Apr 19 11:58:36 EDT 2017, 7641, 0.080, 352, 7, 0.710, 350, 74, 5, 49, 39, 7.057, 7.393
Wed Apr 19 11:59:09 EDT 2017, 2691, 0.580, 5352, 2, 0.210, 500, 29, 15, 24, 84, 32.737, 29.993
Wed Apr 19 11:59:22 EDT 2017, 3928, 0.200, 4102, 8, 0.580, 462, 40, 17, 30, 50, 13.370, 13.177
Wed Apr 19 11:59:39 EDT 2017, 8878, 0.700, 9101, 3, 0.080, 312, 85, 7, 5, 95, 16.337, 16.013
Wed Apr 19 12:00:20 EDT 2017, 6403, 0.450, 6601, 6, 0.330, 537, 63, 12, 42, 72, 40.657, 40.407
Wed Apr 19 12:00:21 EDT 2017, 1453, 0.950, 1602, 1, 0.830, 387, 18, 3, 17, 27, 1.183, 1.130
Wed Apr 19 12:00:40 EDT 2017, 2072, 0.010, 5976, 3, 0.900, 406, 46, 11, 27, 56, 17.987, 16.757
Wed Apr 19 12:00:40 EDT 2017, 7022, 0.510, 977, 7, 0.400, 556, 91, 1, 2, 11, 0.300, 0.367
Wed Apr 19 12:01:20 EDT 2017, 9497, 0.260, 3477, 1, 0.150, 331, 68, 16, 39, 33, 39.190, 36.377
Wed Apr 19 12:01:24 EDT 2017, 4547, 0.760, 8476, 5, 0.650, 481, 23, 6, 14, 78, 4.173, 4.270
Wed Apr 19 12:01:29 EDT 2017, 3309, 0.390, 2227, 4, 0.020, 519, 34, 4, 33, 44, 4.873, 5.163
Wed Apr 19 12:01:46 EDT 2017, 8259, 0.890, 7226, 8, 0.520, 369, 79, 13, 8, 89, 16.560, 16.667
Wed Apr 19 12:02:43 EDT 2017, 5784, 0.140, 9726, 2, 0.770, 594, 57, 9, 45, 67, 56.573, 53.917
Wed Apr 19 12:02:45 EDT 2017, 834, 0.640, 4727, 6, 0.270, 444, 12, 18, 20, 22, 1.610, 1.627
Wed Apr 19 12:03:28 EDT 2017, 1144, 0.170, 664, 6, 0.240, 359, 99, 13, 22, 98, 42.230, 42.027
Wed Apr 19 12:03:46 EDT 2017, 6094, 0.670, 5664, 1, 0.740, 509, 54, 3, 47, 53, 17.717, 17.990
Wed Apr 19 12:03:49 EDT 2017, 8569, 0.420, 8164, 8, 0.990, 434, 32, 17, 9, 30, 3.077, 2.873
Wed Apr 19 12:04:33 EDT 2017, 3619, 0.920, 3164, 4, 0.490, 584, 77, 8, 34, 75, 43.453, 43.350
Wed Apr 19 12:04:34 EDT 2017, 4856, 0.300, 6914, 7, 0.870, 547, 88, 1, 16, 19, 0.747, 0.847
Wed Apr 19 12:04:57 EDT 2017, 9806, 0.800, 1914, 3, 0.370, 397, 43, 10, 41, 64, 22.930, 22.150
Wed Apr 19 12:04:59 EDT 2017, 7331, 0.050, 4414, 9, 0.120, 472, 20, 6, 3, 86, 1.650, 1.957
Wed Apr 19 12:05:15 EDT 2017, 2381, 0.550, 9414, 5, 0.620, 322, 65, 15, 28, 41, 15.187, 14.527
Wed Apr 19 12:05:40 EDT 2017, 1762, 0.480, 2539, 2, 0.680, 303, 94, 7, 13, 92, 24.997, 23.453
Wed Apr 19 12:06:03 EDT 2017, 6712, 0.980, 7539, 6, 0.180, 453, 49, 16, 38, 47, 21.657, 20.997
Wed Apr 19 12:06:03 EDT 2017, 9187, 0.230, 5039, 4, 0.430, 378, 26, 2, 0, 25, 0.353, 0.393
Wed Apr 19 12:06:28 EDT 2017, 4237, 0.730, 40, 9, 0.930, 528, 71, 12, 25, 70, 23.763, 22.593
Wed Apr 19 12:06:51 EDT 2017, 3000, 0.110, 8789, 1, 0.300, 566, 82, 19, 19, 13, 22.267, 19.713
Wed Apr 19 12:07:04 EDT 2017, 7950, 0.610, 3789, 5, 0.800, 416, 37, 9, 44, 58, 13.007, 12.770
Wed Apr 19 12:07:11 EDT 2017, 5475, 0.360, 1289, 3, 0.550, 491, 15, 14, 6, 81, 6.087, 4.963
Wed Apr 19 12:07:14 EDT 2017, 525, 0.860, 6289, 8, 0.050, 341, 60, 4, 31, 36, 2.750, 3.370
Wed Apr 19 12:07:25 EDT 2017, 680, 0.060, 3320, 4, 0.760, 542, 27, 16, 9, 65, 10.293, 9.303
Wed Apr 19 12:07:29 EDT 2017, 5630, 0.560, 8320, 9, 0.260, 392, 72, 7, 34, 20, 3.600, 3.750
Wed Apr 19 12:08:07 EDT 2017, 8105, 0.310, 5820, 2, 0.010, 467, 95, 11, 21, 43, 37.410, 35.287
Wed Apr 19 12:08:12 EDT 2017, 3155, 0.810, 821, 6, 0.510, 317, 50, 2, 46, 88, 4.627, 5.053
