# Timestamp, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max
Fri Dec 30 20:10:56 EST 2016, 8, 0.500, 2, 0.957, 0.099101, 0.887178, 1.02682, 0.88, 0.90, 0.905, 1.14, 1.15, 36150.4, 7.83837, 36144.9, 36155.9, 36144, 36144, 36152, 36160, 36160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 463010, 0, 463010, 463010, 463010, 463010, 463010, 463010, 463010, 978021, 0, 978021, 978021, 978021, 978021, 978021, 978021, 978021
Fri Dec 30 20:11:58 EST 2016, 0, 0.000, 4, 1.83, 0.226318, 1.67055, 1.98945, 1.53, 1.64, 1.825, 2.21, 2.24, 48105.6, 7.83837, 48100.1, 48111.1, 48096, 48096, 48112, 48112, 48112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 499000, 0, 499000, 499000, 499000, 499000, 499000, 499000, 499000, 1992000, 0, 1992000, 1992000, 1992000, 1992000, 1992000, 1992000, 1992000
Fri Dec 30 20:12:59 EST 2016, 1, 0.000, 4, 1.095, 0.114913, 1.01404, 1.17596, 0.95, 0.97, 1.18, 1.21, 1.25, 37628.8, 19.984, 37614.7, 37642.9, 37584, 37632, 37632, 37648, 37648, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 413569, 0, 413569, 413569, 413569, 413569, 413569, 413569, 413569, 786497, 0, 786497, 786497, 786497, 786497, 786497, 786497, 786497
Fri Dec 30 20:14:00 EST 2016, 2, 0.000, 4, 1.537, 0.261077, 1.35306, 1.72094, 1.25, 1.36, 1.545, 1.88, 2.09, 38956.8, 15.6767, 38945.8, 38967.8, 38928, 38960, 38960, 38976, 38976, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 478222, 0, 478222, 478222, 478222, 478222, 478222, 478222, 478222, 1261482, 0, 1261482, 1261482, 1261482, 1261482, 1261482, 1261482, 1261482
Fri Dec 30 20:15:01 EST 2016, 4, 0.000, 4, 1.552, 0.0758683, 1.49855, 1.60545, 1.45, 1.47, 1.61, 1.63, 1.64, 40632, 8, 40626.4, 40637.6, 40624, 40624, 40640, 40640, 40640, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 497252, 0, 497252, 497252, 497252, 497252, 497252, 497252, 497252, 1724273, 0, 1724273, 1724273, 1724273, 1724273, 1724273, 1724273, 1724273
Fri Dec 30 20:16:02 EST 2016, 8, 0.000, 4, 1.741, 0.0717565, 1.69044, 1.79156, 1.61, 1.74, 1.77, 1.79, 1.85, 45113.6, 7.83837, 45108.1, 45119.1, 45104, 45104, 45120, 45120, 45120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 498990, 0, 498990, 498990, 498990, 498990, 498990, 498990, 498990, 1956135, 0, 1956135, 1956135, 1956135, 1956135, 1956135, 1956135, 1956135
Fri Dec 30 20:17:08 EST 2016, 0, 0.250, 4, 1.424, 0.038, 1.39723, 1.45077, 1.37, 1.40, 1.43, 1.47, 1.48, 39062.4, 7.83837, 39056.9, 39067.9, 39056, 39056, 39064, 39072, 39072, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 498478, 0, 498478, 498478, 498478, 498478, 498478, 498478, 498478, 1992000, 0, 1992000, 1992000, 1992000, 1992000, 1992000, 1992000, 1992000
Fri Dec 30 20:18:09 EST 2016, 1, 0.250, 4, 1.1, 0.113666, 1.01992, 1.18008, 0.95, 0.98, 1.17, 1.21, 1.27, 36864, 22.6274, 36848.1, 36879.9, 36816, 36864, 36872, 36880, 36896, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 412834, 0, 412834, 412834, 412834, 412834, 412834, 412834, 412834, 786198, 0, 786198, 786198, 786198, 786198, 786198, 786198, 786198
Fri Dec 30 20:19:10 EST 2016, 2, 0.250, 4, 1.491, 0.21253, 1.34126, 1.64074, 1.21, 1.42, 1.525, 1.57, 2.01, 37808, 17.5271, 37795.7, 37820.3, 37776, 37808, 37816, 37824, 37824, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 476407, 0, 476407, 476407, 476407, 476407, 476407, 476407, 476407, 1261486, 0, 1261486, 1261486, 1261486, 1261486, 1261486, 1261486, 1261486
Fri Dec 30 20:20:11 EST 2016, 4, 0.250, 4, 1.813, 0.172977, 1.69113, 1.93487, 1.49, 1.76, 1.915, 1.98, 2.02, 38777.6, 17.8168, 38765, 38790.2, 38736, 38784, 38784, 38784, 38800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 495459, 0, 495459, 495459, 495459, 495459, 495459, 495459, 495459, 1724246, 0, 1724246, 1724246, 1724246, 1724246, 1724246, 1724246, 1724246
Fri Dec 30 20:21:18 EST 2016, 8, 0.250, 4, 2.057, 0.149, 1.95202, 2.16198, 1.77, 2.05, 2.13, 2.16, 2.23, 39257.6, 21.7035, 39242.3, 39272.9, 39216, 39264, 39264, 39280, 39280, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 498276, 0, 498276, 498276, 498276, 498276, 498276, 498276, 498276, 1956141, 0, 1956141, 1956141, 1956141, 1956141, 1956141, 1956141, 1956141
Fri Dec 30 20:22:19 EST 2016, 0, 0.500, 4, 1.797, 0.0778524, 1.74215, 1.85185, 1.67, 1.72, 1.835, 1.87, 1.89, 38422.4, 7.83837, 38416.9, 38427.9, 38416, 38416, 38424, 38432, 38432, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 497644, 0, 497644, 497644, 497644, 497644, 497644, 497644, 497644, 1992000, 0, 1992000, 1992000, 1992000, 1992000, 1992000, 1992000, 1992000
