# Timestamp, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max
Fri Dec 30 16:19:31 EST 2016, 0, 0.250, 2, 18.257, 1.72524, 17.0415, 19.4725, 16.65, 17.12, 17.65, 19.93, 22.21, 201090, 15.0944, 201079, 201101, 201056, 201088, 201088, 201104, 201120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4723118, 0, 4723118, 4723118, 4723118, 4723118, 4723118, 4723118, 4723118, 9960000, 0, 9960000, 9960000, 9960000, 9960000, 9960000, 9960000, 9960000
Fri Dec 30 16:20:22 EST 2016, 1, 0.250, 2, 10.909, 0.832964, 10.3221, 11.4959, 10.26, 10.52, 10.66, 11.29, 13.28, 189541, 7.33212, 189536, 189546, 189536, 189536, 189536, 189552, 189552, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2878203, 0, 2878203, 2878203, 2878203, 2878203, 2878203, 2878203, 2878203, 3915208, 0, 3915208, 3915208, 3915208, 3915208, 3915208, 3915208, 3915208
Fri Dec 30 16:21:28 EST 2016, 2, 0.250, 2, 13.452, 0.970513, 12.7682, 14.1358, 11.82, 13.15, 13.43, 13.57, 15.99, 193910, 7.83837, 193904, 193916, 193904, 193904, 193912, 193920, 193920, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3865420, 0, 3865420, 3865420, 3865420, 3865420, 3865420, 3865420, 3865420, 6296184, 0, 6296184, 6296184, 6296184, 6296184, 6296184, 6296184, 6296184
Fri Dec 30 16:22:34 EST 2016, 4, 0.250, 2, 17.374, 1.38189, 16.4004, 18.3476, 15.47, 16.61, 17.155, 19.50, 20.37, 198685, 9.6, 198678, 198692, 198672, 198672, 198688, 198688, 198704, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4475926, 0, 4475926, 4475926, 4475926, 4475926, 4475926, 4475926, 4475926, 8612556, 0, 8612556, 8612556, 8612556, 8612556, 8612556, 8612556, 8612556
Fri Dec 30 16:23:35 EST 2016, 8, 0.250, 2, 18.098, 0.423221, 17.7998, 18.3962, 17.64, 17.65, 18.225, 18.50, 18.97, 201224, 8, 201218, 201230, 201216, 201216, 201232, 201232, 201232, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4692800, 0, 4692800, 4692800, 4692800, 4692800, 4692800, 4692800, 4692800, 9777869, 0, 9777869, 9777869, 9777869, 9777869, 9777869, 9777869, 9777869
Fri Dec 30 16:24:36 EST 2016, 0, 0.500, 2, 16.083, 0.184989, 15.9527, 16.2133, 15.57, 16.06, 16.15, 16.23, 16.25, 195403, 12.4964, 195394, 195412, 195392, 195392, 195408, 195424, 195424, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4656005, 0, 4656005, 4656005, 4656005, 4656005, 4656005, 4656005, 4656005, 9960000, 0, 9960000, 9960000, 9960000, 9960000, 9960000, 9960000, 9960000
Fri Dec 30 16:25:32 EST 2016, 1, 0.500, 2, 10.564, 0.951002, 9.89397, 11.234, 9.93, 9.96, 10.34, 10.83, 13.26, 186218, 7.83837, 186212, 186224, 186208, 186208, 186224, 186224, 186224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2873983, 0, 2873983, 2873983, 2873983, 2873983, 2873983, 2873983, 2873983, 3914992, 0, 3914992, 3914992, 3914992, 3914992, 3914992, 3914992, 3914992
Fri Dec 30 16:26:38 EST 2016, 2, 0.500, 2, 13.59, 0.887344, 12.9648, 14.2152, 12.71, 13.04, 13.34, 14.28, 15.80, 189626, 10.6132, 189619, 189633, 189616, 189616, 189632, 189632, 189648, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3846984, 0, 3846984, 3846984, 3846984, 3846984, 3846984, 3846984, 3846984, 6296175, 0, 6296175, 6296175, 6296175, 6296175, 6296175, 6296175, 6296175
Fri Dec 30 16:27:44 EST 2016, 4, 0.500, 2, 16.274, 1.35726, 15.3177, 17.2303, 14.98, 15.69, 16.145, 16.47, 20.06, 193333, 7.33212, 193328, 193338, 193328, 193328, 193328, 193344, 193344, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4433455, 0, 4433455, 4433455, 4433455, 4433455, 4433455, 4433455, 4433455, 8612623, 0, 8612623, 8612623, 8612623, 8612623, 8612623, 8612623, 8612623
Fri Dec 30 16:28:50 EST 2016, 8, 0.500, 2, 18.116, 1.20453, 17.2673, 18.9647, 17.20, 17.23, 17.98, 18.55, 21.48, 195464, 10.7331, 195456, 195472, 195456, 195456, 195464, 195472, 195488, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4629936, 0, 4629936, 4629936, 4629936, 4629936, 4629936, 4629936, 4629936, 9777793, 0, 9777793, 9777793, 9777793, 9777793, 9777793, 9777793, 9777793
