# Timestamp, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max
Fri Dec 30 16:15:12 EST 2016, 0, 0.250, 2, 21.295, 2.41961, 19.5903, 22.9997, 19.24, 20.10, 20.66, 23.19, 27.91, 209395, 6.4, 209390, 209400, 209392, 209392, 209392, 209408, 209408, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4723118, 0, 4723118, 4723118, 4723118, 4723118, 4723118, 4723118, 4723118, 9960000, 0, 9960000, 9960000, 9960000, 9960000, 9960000, 9960000, 9960000
Fri Dec 30 16:15:58 EST 2016, 1, 0.250, 2, 12.322, 1.02211, 11.6019, 13.0421, 10.96, 11.72, 12.235, 13.44, 14.69, 197624, 8, 197618, 197630, 197616, 197616, 197632, 197632, 197632, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2878203, 0, 2878203, 2878203, 2878203, 2878203, 2878203, 2878203, 2878203, 3915208, 0, 3915208, 3915208, 3915208, 3915208, 3915208, 3915208, 3915208
Fri Dec 30 16:17:09 EST 2016, 2, 0.250, 2, 17.37, 1.38484, 16.3943, 18.3457, 16.70, 16.75, 17.055, 17.21, 21.49, 202107, 7.33212, 202102, 202112, 202096, 202096, 202112, 202112, 202112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3865420, 0, 3865420, 3865420, 3865420, 3865420, 3865420, 3865420, 3865420, 6296184, 0, 6296184, 6296184, 6296184, 6296184, 6296184, 6296184, 6296184
Fri Dec 30 16:18:15 EST 2016, 4, 0.250, 2, 20.715, 1.87074, 19.397, 22.033, 18.96, 19.44, 20.605, 22.04, 25.65, 206920, 8, 206914, 206926, 206912, 206912, 206928, 206928, 206928, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4475926, 0, 4475926, 4475926, 4475926, 4475926, 4475926, 4475926, 4475926, 8612556, 0, 8612556, 8612556, 8612556, 8612556, 8612556, 8612556, 8612556
Fri Dec 30 16:19:31 EST 2016, 8, 0.250, 2, 21.505, 0.867713, 20.8936, 22.1164, 20.24, 20.86, 21.69, 22.01, 23.45, 209546, 7.83837, 209540, 209552, 209536, 209536, 209552, 209552, 209552, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4692800, 0, 4692800, 4692800, 4692800, 4692800, 4692800, 4692800, 4692800, 9777869, 0, 9777869, 9777869, 9777869, 9777869, 9777869, 9777869, 9777869
Fri Dec 30 16:20:32 EST 2016, 0, 0.500, 2, 18.591, 0.310401, 18.3723, 18.8097, 18.01, 18.40, 18.65, 18.98, 18.99, 203686, 14.6642, 203676, 203696, 203664, 203680, 203680, 203712, 203712, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4656005, 0, 4656005, 4656005, 4656005, 4656005, 4656005, 4656005, 4656005, 9960000, 0, 9960000, 9960000, 9960000, 9960000, 9960000, 9960000, 9960000
Fri Dec 30 16:21:28 EST 2016, 1, 0.500, 2, 12.609, 1.24475, 11.732, 13.486, 11.52, 11.76, 12.26, 14.62, 15.30, 194456, 8, 194450, 194462, 194448, 194448, 194464, 194464, 194464, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2873983, 0, 2873983, 2873983, 2873983, 2873983, 2873983, 2873983, 2873983, 3914992, 0, 3914992, 3914992, 3914992, 3914992, 3914992, 3914992, 3914992
Fri Dec 30 16:22:34 EST 2016, 2, 0.500, 2, 16.093, 0.314072, 15.8717, 16.3143, 15.49, 16.01, 16.25, 16.40, 16.46, 197910, 10.6132, 197903, 197917, 197904, 197904, 197904, 197920, 197936, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3846984, 0, 3846984, 3846984, 3846984, 3846984, 3846984, 3846984, 3846984, 6296175, 0, 6296175, 6296175, 6296175, 6296175, 6296175, 6296175, 6296175
Fri Dec 30 16:23:40 EST 2016, 4, 0.500, 2, 21.112, 2.12663, 19.6137, 22.6103, 18.80, 20.09, 20.685, 24.70, 25.57, 201654, 7.83837, 201648, 201660, 201648, 201648, 201656, 201664, 201664, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4433455, 0, 4433455, 4433455, 4433455, 4433455, 4433455, 4433455, 4433455, 8612623, 0, 8612623, 8612623, 8612623, 8612623, 8612623, 8612623, 8612623
Fri Dec 30 16:24:46 EST 2016, 8, 0.500, 2, 21.557, 1.59158, 20.4356, 22.6784, 20.48, 20.55, 21.315, 22.53, 25.95, 203800, 8, 203794, 203806, 203792, 203792, 203808, 203808, 203808, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4629936, 0, 4629936, 4629936, 4629936, 4629936, 4629936, 4629936, 4629936, 9777793, 0, 9777793, 9777793, 9777793, 9777793, 9777793, 9777793, 9777793
