# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 0 12', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', ladderQ_timing_secs, heap2tQ_timing_secs
Thu Dec 29 15:28:39 EST 2016, 4051, .33000000000000000000, 3, .53000000000000000000, 456, 69, 17, 49, 35, 37.757, 34.103
Thu Dec 29 15:29:25 EST 2016, 9001, .83000000000000000000, 9, .03000000000000000000, 306, 24, 8, 24, 80, 19.677, 12.060
Thu Dec 29 15:30:05 EST 2016, 6526, .08000000000000000000, 6, .78000000000000000000, 381, 92, 3, 37, 13, 1.993, 1.960
Thu Dec 29 15:31:06 EST 2016, 1576, .58000000000000000000, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.053, 0.057
Thu Dec 29 15:32:57 EST 2016, 2195, .39000000000000000000, 8, .09000000000000000000, 587, 52, 16, 33, 41, 46.713, 35.640
Thu Dec 29 15:38:33 EST 2016, 7145, .89000000000000000000, 2, .59000000000000000000, 437, 97, 7, 8, 86, 300.000, 21.733
Thu Dec 29 15:39:14 EST 2016, 9620, .14000000000000000000, 5, .34000000000000000000, 362, 30, 2, 46, 18, 0.807, 0.910
Thu Dec 29 15:41:05 EST 2016, 4670, .64000000000000000000, 11, .84000000000000000000, 512, 75, 11, 21, 63, 45.310, 31.157
Thu Dec 29 15:46:36 EST 2016, 3433, .02000000000000000000, 1, .22000000000000000000, 325, 64, 18, 2, 52, 300.000, 7.240
Thu Dec 29 15:47:37 EST 2016, 8383, .52000000000000000000, 7, .72000000000000000000, 475, 19, 9, 27, 97, 15.573, 12.000
Thu Dec 29 15:48:32 EST 2016, 5908, .27000000000000000000, 10, .47000000000000000000, 550, 86, 4, 15, 29, 5.637, 5.213
Thu Dec 29 15:49:58 EST 2016, 958, .77000000000000000000, 4, .97000000000000000000, 400, 41, 14, 40, 74, 32.723, 29.100
Thu Dec 29 15:50:28 EST 2016, 1267, .30000000000000000000, 2, .75000000000000000000, 353, 16, 6, 26, 66, 2.173, 2.100
Thu Dec 29 15:57:10 EST 2016, 6217, .80000000000000000000, 8, .25000000000000000000, 503, 61, 15, 1, 21, 257.540, 7.313
Thu Dec 29 16:03:02 EST 2016, 8692, .05000000000000000000, 11, .50000000000000000000, 578, 38, 11, 38, 89, 160.890, 27.327
Thu Dec 29 16:03:37 EST 2016, 3742, .55000000000000000000, 5, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.063, 0.063
Thu Dec 29 16:04:53 EST 2016, 4979, .18000000000000000000, 6, .88000000000000000000, 540, 95, 8, 7, 55, 12.357, 10.147
Thu Dec 29 16:05:43 EST 2016, 9929, .68000000000000000000, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.053, 0.057
Thu Dec 29 16:12:15 EST 2016, 7454, .43000000000000000000, 3, .63000000000000000000, 315, 72, 13, 19, 77, 118.930, 20.340
Thu Dec 29 16:12:56 EST 2016, 2504, .93000000000000000000, 9, .13000000000000000000, 465, 27, 4, 44, 32, 6.087, 6.347
Thu Dec 29 16:13:56 EST 2016, 1886, .11000000000000000000, 4, .44000000000000000000, 522, 22, 7, 23, 60, 4.793, 4.773
Thu Dec 29 16:15:07 EST 2016, 6836, .61000000000000000000, 10, .94000000000000000000, 372, 67, 17, 48, 15, 14.663, 13.347
Thu Dec 29 16:21:29 EST 2016, 9311, .36000000000000000000, 7, .19000000000000000000, 447, 44, 12, 10, 83, 300.000, 19.420
Thu Dec 29 16:22:04 EST 2016, 4361, .86000000000000000000, 1, .69000000000000000000, 597, 89, 2, 35, 38, 4.153, 4.893
Thu Dec 29 16:28:21 EST 2016, 3123, .49000000000000000000, 9, .31000000000000000000, 409, 78, 10, 41, 72, 223.847, 48.553
Thu Dec 29 16:29:22 EST 2016, 8073, .99000000000000000000, 3, .81000000000000000000, 559, 33, 19, 16, 27, 13.957, 10.387
Thu Dec 29 16:30:07 EST 2016, 5598, .24000000000000000000, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.050, 0.050
Thu Dec 29 16:31:08 EST 2016, 648, .74000000000000000000, 6, .56000000000000000000, 334, 10, 5, 4, 49, 1.537, 1.417
Thu Dec 29 16:37:50 EST 2016, 493, .44000000000000000000, 5, .23000000000000000000, 545, 93, 10, 47, 98, 300.000, 116.530
Thu Dec 29 16:38:20 EST 2016, 5443, .94000000000000000000, 11, .73000000000000000000, 395, 48, 1, 22, 53, 2.390, 2.353
Thu Dec 29 16:39:36 EST 2016, 7918, .19000000000000000000, 8, .48000000000000000000, 320, 71, 6, 34, 76, 15.923, 14.400
Thu Dec 29 16:40:21 EST 2016, 2968, .69000000000000000000, 2, .98000000000000000000, 470, 26, 15, 9, 31, 3.050, 2.507
Thu Dec 29 16:41:37 EST 2016, 4206, .07000000000000000000, 10, .11000000000000000000, 358, 14, 13, 16, 87, 13.320, 6.010
Thu Dec 29 16:42:27 EST 2016, 9156, .57000000000000000000, 4, .61000000000000000000, 508, 59, 3, 41, 42, 7.937, 7.503
Thu Dec 29 16:43:23 EST 2016, 6681, .32000000000000000000, 1, .36000000000000000000, 583, 37, 8, 3, 65, 4.373, 4.210
Thu Dec 29 16:44:49 EST 2016, 1731, .82000000000000000000, 7, .86000000000000000000, 433, 82, 18, 28, 20, 25.220, 19.297
Thu Dec 29 16:45:25 EST 2016, 2350, .13000000000000000000, 1, .55000000000000000000, 376, 88, 12, --cols, , 0.053, 0.050
Thu Dec 29 16:46:25 EST 2016, 7300, .63000000000000000000, 7, .05000000000000000000, 526, 43, 2, 25, 37, 3.597, 3.680
Thu Dec 29 16:47:36 EST 2016, 9775, .38000000000000000000, 10, .80000000000000000000, 451, 65, 7, 12, 59, 11.443, 9.337
Thu Dec 29 16:48:31 EST 2016, 4825, .88000000000000000000, 4, .30000000000000000000, 301, 20, 16, 37, 14, 5.537, 4.197
Thu Dec 29 16:49:57 EST 2016, 3587, .25000000000000000000, 6, .67000000000000000000, 489, 31, 14, 31, 93, 29.407, 24.367
Thu Dec 29 16:50:27 EST 2016, 8537, .75000000000000000000, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.053, 0.057
Thu Dec 29 16:51:28 EST 2016, 6062, --delay, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.057, 0.057
Thu Dec 29 16:53:39 EST 2016, 1112, .50000000000000000000, 9, .42000000000000000000, 564, 99, 19, 19, 25, 50.550, 29.037
Thu Dec 29 16:54:34 EST 2016, 803, .04000000000000000000, 8, .33000000000000000000, 479, 74, 2, 8, 28, 1.920, 1.563
Thu Dec 29 16:55:45 EST 2016, 5753, .54000000000000000000, 2, .83000000000000000000, 329, 29, 11, 33, 73, 10.090, 8.253
Thu Dec 29 17:02:02 EST 2016, 8228, .29000000000000000000, 5, .08000000000000000000, 404, 96, 16, 20, 51, 300.000, 34.013
Thu Dec 29 17:03:47 EST 2016, 3278, .79000000000000000000, 11, .58000000000000000000, 554, 51, 6, 45, 96, 64.547, 42.917
Thu Dec 29 17:04:43 EST 2016, 4515, .41000000000000000000, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.060, 0.060
Thu Dec 29 17:10:50 EST 2016, 9465, .91000000000000000000, 6, .95000000000000000000, 592, 85, 13, 1, 62, 214.690, 17.633
Thu Dec 29 17:12:00 EST 2016, 6990, .16000000000000000000, 9, .20000000000000000000, 517, 17, 18, 39, 39, 10.427, 10.440
