# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 0 12', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', ladderQ_timing_secs, heap2tQ_timing_secs
Thu Dec 29 01:24:04 EST 2016, 7679, .54000000000000000000, 2, .92000000000000000000, 314, 70, 10, 32, 81, 20.550, 17.780
Thu Dec 29 01:24:45 EST 2016, 5204, .29000000000000000000, 5, .17000000000000000000, 389, 47, 5, 19, 14, 1.713, 1.743
Thu Dec 29 01:28:31 EST 2016, 254, .79000000000000000000, 11, .67000000000000000000, 539, 92, 14, 44, 59, 160.407, 97.607
Thu Dec 29 01:29:01 EST 2016, 332, .39000000000000000000, 5, .80000000000000000000, 363, 88, 8, 34, 31, 12.173, 10.893
Thu Dec 29 01:45:24 EST 2016, 5282, .89000000000000000000, 11, .30000000000000000000, 513, 43, 18, 9, 76, 0.000, 37.877
Thu Dec 29 01:46:40 EST 2016, 7757, .14000000000000000000, 8, .55000000000000000000, 588, 65, 13, 47, 54, 47.263, 43.517
Thu Dec 29 01:46:55 EST 2016, 2807, .64000000000000000000, 2, .05000000000000000000, 438, 20, 3, 22, 99, 4.717, 4.210
Thu Dec 29 01:47:50 EST 2016, 4044, .02000000000000000000, 9, .92000000000000000000, 550, 31, 6, 3, 20, 0.980, 0.833
Thu Dec 29 02:04:29 EST 2016, 8994, .52000000000000000000, 3, .42000000000000000000, 400, 76, 15, 28, 65, 0.000, 44.627
Thu Dec 29 02:04:54 EST 2016, 6519, .27000000000000000000, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.063, 0.063
Thu Dec 29 02:06:09 EST 2016, 1569, .77000000000000000000, 6, .17000000000000000000, 475, 99, 1, 41, 88, 13.200, 12.847
Thu Dec 29 02:07:00 EST 2016, 2188, .21000000000000000000, 1, .49000000000000000000, 494, 93, 9, 12, 14, 2.147, 2.227
Thu Dec 29 02:08:35 EST 2016, 7138, .71000000000000000000, 7, .99000000000000000000, 344, 48, 19, 37, 59, 35.710, 31.350
Thu Dec 29 02:09:00 EST 2016, 9613, .46000000000000000000, 10, .24000000000000000000, 419, 71, 14, --cols, , 0.057, 0.060
Thu Dec 29 02:10:11 EST 2016, 4663, .96000000000000000000, 4, .74000000000000000000, 569, 26, 5, 25, 82, 13.543, 10.757
Thu Dec 29 02:11:01 EST 2016, 3425, .33000000000000000000, 6, .36000000000000000000, 382, 14, 7, 44, 26, 2.453, 2.353
Thu Dec 29 02:12:02 EST 2016, 8375, .83000000000000000000, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.073, 0.073
Thu Dec 29 02:13:17 EST 2016, 5900, .08000000000000000000, 3, .11000000000000000000, 457, 37, 12, 31, 48, 11.043, 10.960
Thu Dec 29 02:14:13 EST 2016, 950, .58000000000000000000, 9, .61000000000000000000, 307, 82, 2, 6, 93, 6.340, 6.073
Thu Dec 29 02:30:46 EST 2016, 1260, .11000000000000000000, 7, .64000000000000000000, 447, 57, 18, 20, 96, 0.000, 37.387
Thu Dec 29 02:31:32 EST 2016, 6210, .61000000000000000000, 1, .14000000000000000000, 597, 12, 9, 45, 51, 12.183, 6.867
Thu Dec 29 02:32:27 EST 2016, 8685, .36000000000000000000, 4, .89000000000000000000, 522, 79, 4, 8, 73, 8.593, 7.863
Thu Dec 29 02:33:32 EST 2016, 3735, .86000000000000000000, 10, .39000000000000000000, 372, 34, 13, 33, 28, 13.910, 10.800
Thu Dec 29 02:34:18 EST 2016, 4972, .49000000000000000000, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.057, 0.057
Thu Dec 29 02:35:38 EST 2016, 9922, .99000000000000000000, 6, .02000000000000000000, 335, 90, 6, 14, 40, 19.113, 15.187
Thu Dec 29 02:36:23 EST 2016, 7447, .24000000000000000000, 9, .77000000000000000000, 410, 23, 2, 26, 62, 1.737, 1.760
Thu Dec 29 02:41:45 EST 2016, 2497, .74000000000000000000, 3, .27000000000000000000, 560, 68, 11, 1, 17, 94.253, 8.013
Thu Dec 29 02:58:18 EST 2016, 1878, .30000000000000000000, 11, .08000000000000000000, 578, 73, 19, 30, 79, 0.000, 100.340
Thu Dec 29 02:58:54 EST 2016, 6828, .80000000000000000000, 5, .58000000000000000000, 428, 28, 10, 5, 34, 7.867, 4.077
Thu Dec 29 02:59:54 EST 2016, 9303, .05000000000000000000, 2, .33000000000000000000, 353, 96, 5, 42, 57, 9.717, 9.650
Thu Dec 29 03:00:50 EST 2016, 4353, .55000000000000000000, 8, .83000000000000000000, 503, 51, 15, 17, 12, 5.263, 4.463
Thu Dec 29 03:17:15 EST 2016, 3116, .17000000000000000000, 4, .21000000000000000000, 316, 40, 17, 11, 90, 0.000, 14.387
Thu Dec 29 03:18:30 EST 2016, 8066, .67000000000000000000, 10, .71000000000000000000, 466, 85, 7, 36, 45, 30.597, 24.810
Thu Dec 29 03:19:01 EST 2016, 5591, .42000000000000000000, 7, .46000000000000000000, 541, 17, 3, 23, 68, 3.433, 3.190
Thu Dec 29 03:20:06 EST 2016, 641, .92000000000000000000, 1, .96000000000000000000, 391, 62, 12, 48, 23, 7.320, 7.263
Thu Dec 29 03:21:07 EST 2016, 486, .13000000000000000000, 11, .35000000000000000000, 452, 52, 3, 5, 69, 3.210, 3.413
Thu Dec 29 03:22:17 EST 2016, 5436, .63000000000000000000, 5, .85000000000000000000, 302, 97, 13, 30, 24, 16.100, 14.693
Thu Dec 29 03:38:37 EST 2016, 7911, .38000000000000000000, 2, .10000000000000000000, 377, 30, 17, 18, 92, 0.000, 20.167
Thu Dec 29 03:40:08 EST 2016, 2961, .88000000000000000000, 8, .60000000000000000000, 527, 75, 8, 43, 47, 60.913, 42.530
Thu Dec 29 03:41:08 EST 2016, 4199, .25000000000000000000, 3, .47000000000000000000, 414, 64, 1, 37, 58, 2.423, 2.483
Thu Dec 29 03:42:09 EST 2016, 9149, .75000000000000000000, 9, .97000000000000000000, 564, 19, 10, 12, 13, 1.620, 1.400
Thu Dec 29 03:43:09 EST 2016, 6674, --delay, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.073, 0.067
Thu Dec 29 03:44:10 EST 2016, 1724, .50000000000000000000, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.073, 0.070
Thu Dec 29 03:45:21 EST 2016, 2342, .44000000000000000000, 8, .91000000000000000000, 321, 36, 4, 46, 64, 6.767, 6.347
Thu Dec 29 03:46:46 EST 2016, 7292, .94000000000000000000, 2, .41000000000000000000, 471, 81, 14, 21, 19, 32.427, 19.883
Thu Dec 29 03:47:27 EST 2016, 9767, .19000000000000000000, 5, .66000000000000000000, 546, 13, 18, 33, 86, 15.497, 13.887
Thu Dec 29 03:48:32 EST 2016, 4817, .69000000000000000000, 11, .16000000000000000000, 396, 58, 9, 8, 41, 16.180, 9.433
Thu Dec 29 03:49:18 EST 2016, 3580, .07000000000000000000, 1, .78000000000000000000, 583, 69, 2, 15, 75, 2.243, 2.363
Thu Dec 29 03:50:29 EST 2016, 8530, .57000000000000000000, 7, .28000000000000000000, 433, 24, 11, 40, 30, 10.160, 8.443
Thu Dec 29 04:06:53 EST 2016, 6055, .32000000000000000000, 10, .53000000000000000000, 358, 92, 16, 2, 97, 0.000, 22.833
Thu Dec 29 04:08:04 EST 2016, 1105, .82000000000000000000, 4, .03000000000000000000, 508, 47, 7, 27, 52, 45.553, 30.073
Thu Dec 29 04:08:34 EST 2016, 796, .35000000000000000000, 2, .19000000000000000000, 536, 21, 13, 38, 44, 15.303, 11.433
Thu Dec 29 04:09:45 EST 2016, 5746, .85000000000000000000, 8, .69000000000000000000, 386, 66, 4, 13, 89, 21.653, 12.377
Thu Dec 29 04:10:26 EST 2016, 8221, .10000000000000000000, 11, .44000000000000000000, 311, 44, 8, 26, 21, 2.777, 2.940
Thu Dec 29 04:11:57 EST 2016, 3271, .60000000000000000000, 5, .94000000000000000000, 461, 89, 18, 1, 66, 31.783, 16.527
Thu Dec 29 04:12:37 EST 2016, 4508, .22000000000000000000, 7, .07000000000000000000, 349, 78, 11, 19, 33, 11.377, 10.077
Thu Dec 29 04:13:28 EST 2016, 9458, .72000000000000000000, 1, .57000000000000000000, 499, 33, 1, 44, 78, 1.697, 1.790
Thu Dec 29 04:14:28 EST 2016, 6983, .47000000000000000000, 4, .32000000000000000000, 574, 55, 6, 7, 10, 1.877, 2.007
Thu Dec 29 04:15:39 EST 2016, 2033, .97000000000000000000, 10, .82000000000000000000, 424, 10, 15, 32, 55, 8.610, 8.877
Thu Dec 29 04:16:30 EST 2016, 1414, .03000000000000000000, 4, .50000000000000000000, 405, 16, 14, 10, 38, 2.423, 2.237
Thu Dec 29 04:17:30 EST 2016, 6364, .53000000000000000000, 10, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.070, 0.070
Thu Dec 29 04:18:36 EST 2016, 8839, .28000000000000000000, 7, .75000000000000000000, 480, 38, 10, 23, 16, 3.813, 3.527
Thu Dec 29 04:20:42 EST 2016, 3889, .78000000000000000000, 1, .25000000000000000000, 330, 83, 19, 48, 61, 66.053, 51.067
Thu Dec 29 04:22:32 EST 2016, 2652, .41000000000000000000, 9, .63000000000000000000, 517, 95, 12, 29, 50, 57.170, 40.207
Thu Dec 29 04:23:43 EST 2016, 7602, .91000000000000000000, 3, .13000000000000000000, 367, 50, 2, 4, 95, 6.537, 5.480
Thu Dec 29 04:24:39 EST 2016, 5127, .16000000000000000000, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.057, 0.060
Thu Dec 29 04:37:32 EST 2016, 177, .66000000000000000000, 6, .38000000000000000000, 592, 27, 17, 16, 72, 463.697, 31.477
Thu Dec 29 04:38:53 EST 2016, 216, .33000000000000000000, 9, .94000000000000000000, 439, 47, 9, 24, 75, 16.363, 15.020
Thu Dec 29 04:42:34 EST 2016, 5166, .83000000000000000000, 3, .44000000000000000000, 589, 92, 19, 49, 30, 172.673, 106.540
Thu Dec 29 04:42:44 EST 2016, 7641, .08000000000000000000, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.063, 0.063
Thu Dec 29 04:44:05 EST 2016, 2691, .58000000000000000000, 6, .19000000000000000000, 364, 70, 5, 36, 53, 17.203, 14.450
Thu Dec 29 04:45:06 EST 2016, 3928, .20000000000000000000, 4, .81000000000000000000, 476, 58, 7, 43, 64, 17.823, 16.323
Thu Dec 29 04:45:51 EST 2016, 8878, .70000000000000000000, 10, .31000000000000000000, 326, 13, 16, 18, 19, 3.107, 2.473
Thu Dec 29 05:02:26 EST 2016, 6403, .45000000000000000000, 7, .56000000000000000000, 401, 81, 12, 30, 86, 0.000, 49.293
Thu Dec 29 05:02:56 EST 2016, 1453, .95000000000000000000, 1, .06000000000000000000, 551, 36, 2, 5, 41, 1.763, 1.673
Thu Dec 29 05:04:07 EST 2016, 2072, .01000000000000000000, 7, .25000000000000000000, 570, 41, 8, 27, 58, 12.553, 12.080
