# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--recvr-range 1 10000', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, 3tHeap_timing_secs
Wed Apr 19 14:23:52 EDT 2017, 9620, 0.140, 4817, 4, 0.200, 368, 16, 18, 4, 77, 4.590, 3.980
Wed Apr 19 14:24:01 EDT 2017, 4670, 0.640, 9816, 8, 0.700, 518, 61, 9, 29, 32, 7.557, 7.860
Wed Apr 19 14:24:17 EDT 2017, 3433, 0.020, 1067, 3, 0.080, 480, 95, 2, 23, 89, 13.853, 15.910
Wed Apr 19 14:24:28 EDT 2017, 8383, 0.520, 6067, 7, 0.580, 330, 50, 11, 48, 44, 10.720, 10.670
Wed Apr 19 14:24:29 EDT 2017, 5908, 0.270, 8567, 5, 0.830, 555, 27, 6, 11, 21, 1.367, 1.280
Wed Apr 19 14:25:01 EDT 2017, 958, 0.770, 3567, 9, 0.330, 405, 72, 16, 36, 66, 27.713, 29.863
Wed Apr 19 14:25:07 EDT 2017, 1267, 0.300, 2005, 7, 0.170, 321, 35, 10, 31, 52, 5.920, 6.063
Wed Apr 19 14:25:12 EDT 2017, 6217, 0.800, 7004, 3, 0.670, 471, 80, 1, 6, 97, 4.183, 5.120
Wed Apr 19 14:25:53 EDT 2017, 8692, 0.050, 9504, 5, 0.920, 396, 58, 15, 43, 75, 39.970, 38.643
Wed Apr 19 14:25:55 EDT 2017, 3742, 0.550, 4504, 1, 0.420, 546, 13, 6, 18, 30, 2.430, 2.353
Wed Apr 19 14:26:00 EDT 2017, 4979, 0.180, 5754, 8, 0.800, 583, 47, 3, 25, 63, 4.420, 4.820
Wed Apr 19 14:26:05 EDT 2017, 9929, 0.680, 755, 4, 0.300, 433, 92, 13, 0, 18, 4.277, 3.663
Wed Apr 19 14:26:20 EDT 2017, 7454, 0.430, 3255, 6, 0.050, 508, 69, 8, 37, 41, 14.787, 15.140
Wed Apr 19 14:26:36 EDT 2017, 2504, 0.930, 8254, 2, 0.550, 358, 24, 18, 12, 86, 15.470, 13.220
Wed Apr 19 14:26:44 EDT 2017, 1886, 0.110, 3880, 4, 0.740, 340, 41, 9, 28, 46, 7.683, 7.627
Wed Apr 19 14:27:13 EDT 2017, 6836, 0.610, 8879, 9, 0.240, 490, 86, 19, 3, 91, 27.717, 26.563
Wed Apr 19 14:27:39 EDT 2017, 9311, 0.360, 6379, 2, 0.490, 415, 64, 5, 40, 69, 25.173, 24.620
Wed Apr 19 14:27:41 EDT 2017, 4361, 0.860, 1380, 7, 0.990, 565, 19, 14, 15, 24, 2.130, 2.013
Wed Apr 19 14:28:29 EDT 2017, 3123, 0.490, 7629, 3, 0.360, 527, 52, 16, 34, 58, 47.217, 44.073
Wed Apr 19 14:28:31 EDT 2017, 8073, 0.990, 2630, 8, 0.860, 377, 97, 7, 9, 13, 1.683, 1.790
Wed Apr 19 14:29:27 EDT 2017, 5598, 0.240, 130, 1, 0.610, 452, 75, 12, 47, 35, 54.583, 50.030
Wed Apr 19 14:29:29 EDT 2017, 648, 0.740, 5129, 6, 0.110, 302, 30, 2, 22, 80, 1.777, 1.953
Wed Apr 19 14:30:02 EDT 2017, 493, 0.440, 4661, 3, 0.810, 579, 57, 18, 49, 20, 29.073, 25.817
Wed Apr 19 14:30:05 EDT 2017, 5443, 0.940, 9660, 7, 0.310, 429, 12, 9, 24, 65, 2.663, 2.653
Wed Apr 19 14:30:35 EDT 2017, 7918, 0.190, 7160, 5, 0.060, 504, 34, 14, 36, 87, 28.883, 28.940
Wed Apr 19 14:30:38 EDT 2017, 2968, 0.690, 2161, 9, 0.560, 354, 79, 4, 11, 42, 2.660, 3.047
Wed Apr 19 14:31:21 EDT 2017, 4206, 0.070, 8410, 2, 0.190, 316, 68, 7, 43, 99, 42.030, 41.313
Wed Apr 19 14:31:27 EDT 2017, 9156, 0.570, 3411, 6, 0.690, 466, 23, 16, 18, 54, 6.780, 6.483
Wed Apr 19 14:31:29 EDT 2017, 6681, 0.320, 911, 4, 0.940, 391, 45, 2, 30, 31, 1.633, 1.743
Wed Apr 19 14:31:50 EDT 2017, 1731, 0.820, 5911, 8, 0.440, 541, 90, 11, 5, 76, 18.213, 19.347
Wed Apr 19 14:31:51 EDT 2017, 2350, 0.130, 1536, 5, 0.250, 560, 62, 1, 40, 14, 0.997, 1.100
Wed Apr 19 14:31:58 EDT 2017, 7300, 0.630, 6535, 1, 0.750, 410, 17, 10, 15, 59, 6.910, 6.090
