# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, 2tHeap_timing_secs
Mon Jan  9 11:37:17 EST 2017, 9023, 0.770, 1, 0.280, 510, 82, 9, 49, 11, 9.687, 9.487
Mon Jan  9 11:37:22 EST 2017, 6548, 0.020, 3, 0.530, 585, 15, 4, 12, 78, 5.003, 4.817
Mon Jan  9 11:38:17 EST 2017, 1598, 0.520, 8, 0.030, 435, 60, 14, 37, 33, 54.327, 51.263
Mon Jan  9 11:39:03 EST 2017, 2217, 0.460, 5, 0.340, 378, 65, 15, 9, 61, 44.640, 35.300
Mon Jan  9 11:39:06 EST 2017, 7167, 0.960, 9, 0.840, 528, 20, 5, 34, 16, 3.667, 3.430
Mon Jan  9 11:39:21 EST 2017, 9642, 0.210, 7, 0.090, 453, 88, 1, 21, 84, 12.750, 14.363
Mon Jan  9 11:39:43 EST 2017, 4692, 0.710, 3, 0.590, 303, 43, 10, 46, 39, 21.640, 20.797
Mon Jan  9 11:41:47 EST 2017, 3454, 0.080, 8, 0.470, 491, 54, 17, 27, 73, 123.487, 108.987
Mon Jan  9 11:41:56 EST 2017, 8404, 0.580, 4, 0.970, 341, 99, 8, 2, 28, 8.623, 6.770
Mon Jan  9 11:42:08 EST 2017, 5929, 0.330, 2, 0.220, 416, 31, 3, 40, 95, 12.560, 12.667
Mon Jan  9 11:43:17 EST 2017, 979, 0.830, 6, 0.720, 566, 76, 13, 15, 50, 66.093, 59.137
Mon Jan  9 11:43:37 EST 2017, 1289, 0.360, 9, 0.500, 481, 96, 7, 1, 47, 19.260, 16.997
Mon Jan  9 11:45:11 EST 2017, 6239, 0.860, 5, 0.000, 331, 51, 17, 26, 92, 93.530, 80.803
Mon Jan  9 11:45:25 EST 2017, 8714, 0.110, 2, 0.750, 406, 74, 12, 13, 25, 13.663, 12.220
Mon Jan  9 11:45:37 EST 2017, 3764, 0.610, 7, 0.250, 556, 29, 2, 38, 70, 10.913, 11.203
Mon Jan  9 11:45:46 EST 2017, 5001, 0.240, 4, 0.620, 444, 17, 10, 32, 36, 9.583, 9.043
Mon Jan  9 11:47:52 EST 2017, 9951, 0.740, 8, 0.120, 594, 62, 19, 7, 81, 123.320, 90.400
Mon Jan  9 11:48:12 EST 2017, 7476, 0.490, 6, 0.870, 519, 40, 14, 45, 14, 19.803, 19.053
Mon Jan  9 11:48:26 EST 2017, 2526, 0.990, 1, 0.370, 369, 85, 5, 20, 59, 13.010, 13.387
Mon Jan  9 11:49:00 EST 2017, 1907, 0.050, 6, 0.190, 313, 79, 6, 48, 42, 33.863, 33.053
Mon Jan  9 11:49:44 EST 2017, 6857, 0.550, 2, 0.690, 463, 34, 15, 23, 87, 43.873, 39.767
Mon Jan  9 11:50:08 EST 2017, 9332, 0.300, 4, 0.440, 538, 57, 11, 35, 19, 24.193, 22.927
Mon Jan  9 11:50:09 EST 2017, 4382, 0.800, 9, 0.940, 388, 12, 1, 10, 64, 0.910, 0.900
Mon Jan  9 11:50:16 EST 2017, 3145, 0.430, 1, 0.060, 575, 23, 8, 16, 53, 6.153, 5.970
Mon Jan  9 11:54:28 EST 2017, 8095, 0.930, 5, 0.560, 425, 68, 18, 41, 98, 249.233, 220.950
