# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 0 12', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, ladderQ_timing_secs
Tue Jan 10 21:02:43 EST 2017, 3580, 0.070, 1, 0.780, 583, 69, 2, 15, 75, 2.257, 2.257
Tue Jan 10 21:04:54 EST 2017, 8530, 0.570, 7, 0.280, 433, 24, 11, 40, 30, 8.380, 8.527
Tue Jan 10 21:12:01 EST 2017, 6055, 0.320, 10, 0.530, 358, 92, 16, 2, 97, 31.467, 0.000
Tue Jan 10 21:13:32 EST 2017, 1105, 0.820, 4, 0.030, 508, 47, 7, 27, 52, 33.277, 29.750
Tue Jan 10 21:17:14 EST 2017, 796, 0.350, 2, 0.190, 536, 21, 13, 38, 44, 13.973, 12.120
Tue Jan 10 21:21:16 EST 2017, 5746, 0.850, 8, 0.690, 386, 66, 4, 13, 89, 12.087, 12.400
Tue Jan 10 21:23:12 EST 2017, 8221, 0.100, 11, 0.440, 311, 44, 8, 26, 21, 2.567, 2.627
Tue Jan 10 21:27:38 EST 2017, 3271, 0.600, 5, 0.940, 461, 89, 18, 1, 66, 26.433, 25.603
Tue Jan 10 21:30:29 EST 2017, 4508, 0.220, 7, 0.070, 349, 78, 11, 19, 33, 10.077, 9.890
Tue Jan 10 21:32:25 EST 2017, 9458, 0.720, 1, 0.570, 499, 33, 1, 44, 78, 1.520, 1.643
Tue Jan 10 21:36:26 EST 2017, 6983, 0.470, 4, 0.320, 574, 55, 6, 7, 10, 1.497, 1.533
Tue Jan 10 21:38:32 EST 2017, 2033, 0.970, 10, 0.820, 424, 10, 15, 32, 55, 2.080, 1.017
Tue Jan 10 21:40:33 EST 2017, 1414, 0.030, 4, 0.500, 405, 16, 14, 10, 38, 1.997, 2.067
Tue Jan 10 21:43:04 EST 2017, 6364, 0.530, 10, 0.000, 555, 61, 5, 35, 83, 27.713, 29.147
Tue Jan 10 21:45:34 EST 2017, 8839, 0.280, 7, 0.750, 480, 38, 10, 23, 16, 3.183, 3.083
Tue Jan 10 21:50:36 EST 2017, 3889, 0.780, 1, 0.250, 330, 83, 19, 48, 61, 53.973, 54.713
Tue Jan 10 21:54:27 EST 2017, 2652, 0.410, 9, 0.630, 517, 95, 12, 29, 50, 42.710, 43.947
Tue Jan 10 21:57:48 EST 2017, 7602, 0.910, 3, 0.130, 367, 50, 2, 4, 95, 0.097, 0.097
Tue Jan 10 21:59:59 EST 2017, 5127, 0.160, 0, 0.880, 442, 72, 7, 41, 27, 8.727, 8.450
Tue Jan 10 22:03:30 EST 2017, 177, 0.660, 6, 0.380, 592, 27, 17, 16, 72, 33.010, 35.487
Tue Jan 10 22:06:07 EST 2017, 216, 0.330, 9, 0.940, 439, 47, 9, 24, 75, 15.897, 15.927
Tue Jan 10 22:09:53 EST 2017, 5166, 0.830, 3, 0.440, 589, 92, 19, 49, 30, 174.150, 125.873
Tue Jan 10 22:13:09 EST 2017, 7641, 0.080, 0, 0.690, 514, 25, 14, 11, 98, 11.167, 57.230
Tue Jan 10 23:16:28 EST 2017, 2691, 0.580, 6, 0.190, 364, 70, 5, 36, 53, 13.327, 13.243
Tue Jan 10 23:20:30 EST 2017, 3928, 0.200, 4, 0.810, 476, 58, 7, 43, 64, 17.163, 17.097
Tue Jan 10 23:23:21 EST 2017, 8878, 0.700, 10, 0.310, 326, 13, 16, 18, 19, 0.250, 0.390
Tue Jan 10 23:26:27 EST 2017, 6403, 0.450, 7, 0.560, 401, 81, 12, 30, 86, 52.190, 99.047
Tue Jan 10 23:28:28 EST 2017, 1453, 0.950, 1, 0.060, 551, 36, 2, 5, 41, 0.083, 0.083
Tue Jan 10 23:30:19 EST 2017, 2072, 0.010, 7, 0.250, 570, 41, 8, 27, 58, 11.037, 11.370
Tue Jan 10 23:33:30 EST 2017, 7022, 0.510, 1, 0.750, 420, 86, 18, 2, 13, 2.073, 2.003
Tue Jan 10 23:35:45 EST 2017, 9497, 0.260, 4, 0.000, 345, 19, 13, 40, 81, 13.520, 14.340
Tue Jan 10 23:39:37 EST 2017, 4547, 0.760, 10, 0.500, 495, 64, 3, 15, 36, 4.693, 4.760
Tue Jan 10 23:41:42 EST 2017, 3309, 0.390, 2, 0.370, 308, 75, 6, 8, 70, 5.700, 5.850
Tue Jan 10 23:43:54 EST 2017, 8259, 0.890, 8, 0.870, 458, 30, 15, 33, 25, 10.840, 10.997
Tue Jan 10 23:50:30 EST 2017, 5784, 0.140, 11, 0.120, 533, 98, 11, 21, 92, 51.627, 114.730
Tue Jan 10 23:52:57 EST 2017, 834, 0.640, 5, 0.620, 383, 53, 1, 46, 47, 2.440, 2.490
Tue Jan 10 23:55:07 EST 2017, 1144, 0.170, 0, 0.590, 373, 27, 19, 32, 50, 12.023, 12.670
Wed Jan 11 00:02:40 EST 2017, 6094, 0.670, 6, 0.090, 523, 72, 10, 7, 95, 47.463, 0.000
Wed Jan 11 00:05:15 EST 2017, 8569, 0.420, 9, 0.840, 598, 50, 5, 44, 27, 7.757, 7.900
Wed Jan 11 00:12:38 EST 2017, 3619, 0.920, 3, 0.340, 448, 95, 15, 19, 72, 129.347, 0.000
Wed Jan 11 00:17:14 EST 2017, 4856, 0.300, 8, 0.720, 561, 84, 17, 0, 39, 12.467, 120.560
Wed Jan 11 00:19:45 EST 2017, 9806, 0.800, 2, 0.220, 411, 39, 8, 25, 84, 23.197, 27.413
Wed Jan 11 00:22:21 EST 2017, 7331, 0.050, 5, 0.970, 336, 61, 3, 13, 16, 0.757, 0.783
Wed Jan 11 00:23:36 EST 2017, 2381, 0.550, 11, 0.470, 486, 16, 12, 38, 61, 12.283, 13.907
Wed Jan 11 00:25:32 EST 2017, 1762, 0.480, 3, 0.160, 505, 11, 18, 16, 33, 6.857, 8.580
Wed Jan 11 00:27:28 EST 2017, 6712, 0.980, 9, 0.660, 355, 56, 9, 41, 78, 0.117, 0.117
Wed Jan 11 00:28:34 EST 2017, 9187, 0.230, 6, 0.410, 430, 33, 4, 4, 11, 0.570, 0.587
Wed Jan 11 00:30:29 EST 2017, 4237, 0.730, 0, 0.910, 580, 78, 13, 29, 56, 55.677, 55.783
Wed Jan 11 00:33:20 EST 2017, 3000, 0.110, 10, 0.030, 392, 89, 16, 47, 44, 38.630, 40.313
Wed Jan 11 00:37:01 EST 2017, 7950, 0.610, 4, 0.530, 542, 44, 6, 22, 89, 17.097, 17.957
Wed Jan 11 00:38:47 EST 2017, 5475, 0.360, 1, 0.280, 467, 67, 2, 35, 22, 1.227, 1.167
Wed Jan 11 00:40:52 EST 2017, 525, 0.860, 7, 0.780, 317, 22, 11, 10, 67, 6.107, 6.513
Wed Jan 11 00:45:04 EST 2017, 680, 0.060, 3, 0.390, 528, 82, 4, 40, 26, 4.790, 4.737
Wed Jan 11 00:49:10 EST 2017, 5630, 0.560, 9, 0.890, 378, 37, 14, 15, 71, 13.843, 14.357
Wed Jan 11 00:52:26 EST 2017, 8105, 0.310, 6, 0.140, 303, 60, 19, 28, 49, 23.197, 24.520
Wed Jan 11 00:55:07 EST 2017, 3155, 0.810, 0, 0.640, 453, 15, 9, 3, 94, 5.277, 7.440
Wed Jan 11 00:59:03 EST 2017, 4392, 0.440, 11, 0.260, 341, 26, 2, 22, 15, 0.630, 0.617
Wed Jan 11 01:01:39 EST 2017, 9342, 0.940, 5, 0.760, 491, 71, 11, 47, 60, 63.130, 84.193
Wed Jan 11 01:04:30 EST 2017, 6867, 0.190, 2, 0.010, 566, 49, 16, 9, 37, 8.067, 10.140
Wed Jan 11 01:09:06 EST 2017, 1917, 0.690, 8, 0.510, 416, 94, 7, 34, 82, 43.903, 46.747
Wed Jan 11 01:12:27 EST 2017, 2536, 0.250, 0, 0.830, 397, 99, 3, 6, 20, 1.447, 1.313
Wed Jan 11 01:15:33 EST 2017, 7486, 0.750, 6, 0.330, 547, 54, 13, 31, 65, 60.897, 64.723
Wed Jan 11 01:18:54 EST 2017, 9961, 0.000, 9, 0.580, 472, 77, 17, 18, 43, 19.190, 20.537
Wed Jan 11 01:22:55 EST 2017, 5011, 0.500, 3, 0.080, 322, 32, 8, 43, 88, 19.860, 17.727
Wed Jan 11 01:26:42 EST 2017, 3773, 0.120, 7, 0.950, 509, 20, 1, 25, 32, 0.547, 0.543
Wed Jan 11 01:29:23 EST 2017, 8723, 0.620, 1, 0.450, 359, 65, 10, 0, 77, 5.577, 29.737
Wed Jan 11 01:32:09 EST 2017, 6248, 0.370, 4, 0.700, 434, 43, 15, 37, 54, 22.607, 23.337
Wed Jan 11 01:40:16 EST 2017, 1298, 0.870, 10, 0.200, 584, 88, 5, 12, 99, 36.433, 0.000
Wed Jan 11 01:48:34 EST 2017, 989, 0.410, 6, 0.050, 462, 63, 14, 1, 91, 22.103, 0.000
Wed Jan 11 01:49:15 EST 2017, 5939, 0.910, 0, 0.550, 312, 18, 5, 26, 46, 0.127, 0.110
Wed Jan 11 01:53:26 EST 2017, 8414, 0.160, 3, 0.300, 387, 85, 10, 14, 68, 14.220, 15.117
Wed Jan 11 01:54:32 EST 2017, 3464, 0.660, 9, 0.800, 537, 40, 19, 39, 23, 19.183, 19.270
Wed Jan 11 01:56:28 EST 2017, 4701, 0.030, 2, 0.170, 425, 51, 12, 33, 79, 15.963, 15.723
Wed Jan 11 02:00:15 EST 2017, 9651, 0.530, 8, 0.670, 575, 96, 3, 8, 34, 4.800, 4.873
Wed Jan 11 02:02:25 EST 2017, 7176, 0.280, 11, 0.420, 500, 29, 7, 45, 57, 11.373, 11.583
Wed Jan 11 02:04:21 EST 2017, 2226, 0.780, 5, 0.920, 350, 74, 17, 20, 12, 6.403, 6.387
Wed Jan 11 02:06:02 EST 2017, 1608, 0.220, 10, 0.730, 331, 68, 13, 48, 85, 42.000, 44.980
Wed Jan 11 02:08:23 EST 2017, 6558, 0.720, 4, 0.230, 481, 23, 4, 23, 40, 3.170, 3.220
Wed Jan 11 02:10:33 EST 2017, 9033, 0.470, 1, 0.980, 556, 91, 8, 36, 63, 17.840, 17.533
Wed Jan 11 02:11:19 EST 2017, 4083, 0.970, 7, 0.480, 406, 46, 18, 11, 18, 0.080, 0.080
Wed Jan 11 02:13:50 EST 2017, 2845, 0.340, 5, 0.610, 594, 34, 11, 17, 96, 20.957, 23.650
Wed Jan 11 02:15:31 EST 2017, 7795, 0.840, 11, 0.110, 444, 79, 1, 42, 51, 5.433, 5.357
