# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, heap_timing_secs
Mon Jan  9 12:09:26 EST 2017, 7694, 0.920, 9, 0.290, 469, 17, 13, 21, 56, 19.883, 24.003
Mon Jan  9 12:12:04 EST 2017, 5219, 0.170, 6, 0.540, 544, 84, 18, 34, 33, 135.073, 143.890
Mon Jan  9 12:12:24 EST 2017, 269, 0.670, 2, 0.040, 394, 39, 8, 9, 78, 14.860, 17.463
Mon Jan  9 12:13:19 EST 2017, 346, 0.020, 6, 0.410, 499, 46, 14, 19, 50, 51.343, 52.663
Mon Jan  9 12:14:21 EST 2017, 5296, 0.520, 2, 0.910, 349, 91, 4, 44, 95, 53.980, 55.347
Mon Jan  9 12:14:26 EST 2017, 7771, 0.270, 4, 0.160, 424, 23, 9, 7, 27, 4.140, 4.557
Mon Jan  9 12:19:15 EST 2017, 2821, 0.770, 8, 0.660, 574, 68, 18, 32, 72, 253.477, 271.727
Mon Jan  9 12:19:40 EST 2017, 4059, 0.390, 1, 0.280, 387, 57, 11, 38, 38, 21.553, 22.803
Mon Jan  9 12:19:43 EST 2017, 9009, 0.890, 5, 0.780, 537, 12, 2, 13, 83, 3.050, 3.140
Mon Jan  9 12:20:03 EST 2017, 6534, 0.140, 7, 0.030, 462, 79, 7, 26, 16, 19.240, 15.890
Mon Jan  9 12:20:19 EST 2017, 1584, 0.640, 3, 0.530, 312, 34, 16, 1, 61, 13.590, 13.923
Mon Jan  9 12:20:49 EST 2017, 2202, 0.330, 9, 0.850, 368, 40, 12, 29, 33, 26.090, 26.663
Mon Jan  9 12:21:14 EST 2017, 7152, 0.830, 4, 0.350, 518, 85, 3, 4, 78, 22.097, 22.387
Mon Jan  9 12:21:18 EST 2017, 9627, 0.080, 2, 0.600, 593, 18, 8, 41, 10, 3.007, 3.490
Mon Jan  9 12:22:57 EST 2017, 4677, 0.580, 7, 0.100, 443, 63, 17, 16, 55, 93.413, 89.700
Mon Jan  9 12:23:35 EST 2017, 3440, 0.210, 3, 0.970, 556, 74, 10, 10, 44, 36.917, 34.503
Mon Jan  9 12:23:42 EST 2017, 8390, 0.710, 8, 0.470, 406, 29, 1, 35, 89, 6.747, 6.457
Mon Jan  9 12:23:58 EST 2017, 5915, 0.460, 6, 0.720, 331, 96, 5, 23, 21, 12.263, 14.843
Mon Jan  9 12:25:34 EST 2017, 965, 0.960, 1, 0.220, 481, 51, 15, 48, 66, 83.320, 82.257
Mon Jan  9 12:26:21 EST 2017, 1274, 0.490, 5, 0.000, 565, 32, 5, 37, 75, 40.550, 36.283
Mon Jan  9 12:27:02 EST 2017, 6224, 0.990, 9, 0.500, 415, 77, 14, 12, 30, 38.377, 36.353
Mon Jan  9 12:31:16 EST 2017, 8699, 0.240, 7, 0.250, 340, 54, 19, 49, 97, 230.467, 236.283
Mon Jan  9 12:32:34 EST 2017, 3749, 0.740, 2, 0.750, 490, 99, 10, 24, 52, 72.267, 62.460
Mon Jan  9 12:32:44 EST 2017, 4987, 0.110, 8, 0.130, 303, 88, 2, 5, 64, 8.937, 9.353
Mon Jan  9 12:33:05 EST 2017, 9937, 0.610, 4, 0.630, 453, 43, 12, 30, 19, 18.290, 18.520
Mon Jan  9 12:34:38 EST 2017, 7462, 0.360, 1, 0.380, 528, 65, 17, 18, 86, 76.627, 84.677
Mon Jan  9 12:34:53 EST 2017, 2512, 0.860, 6, 0.880, 378, 20, 7, 43, 41, 13.173, 12.620
Mon Jan  9 12:34:57 EST 2017, 1893, 0.180, 2, 0.690, 434, 15, 4, 15, 58, 3.227, 3.020
Mon Jan  9 12:35:35 EST 2017, 6843, 0.680, 6, 0.190, 584, 60, 13, 40, 13, 33.477, 33.807
Mon Jan  9 12:36:32 EST 2017, 9318, 0.430, 9, 0.940, 509, 37, 18, 2, 80, 47.887, 52.240
Mon Jan  9 12:37:11 EST 2017, 4368, 0.930, 4, 0.440, 359, 82, 8, 27, 35, 33.763, 34.730
Mon Jan  9 12:37:36 EST 2017, 3130, 0.300, 5, 0.560, 471, 93, 1, 46, 69, 21.123, 21.420
Mon Jan  9 12:37:43 EST 2017, 8080, 0.800, 1, 0.060, 321, 48, 11, 21, 24, 5.687, 6.250
Mon Jan  9 12:41:01 EST 2017, 5605, 0.050, 3, 0.810, 396, 71, 15, 34, 92, 162.187, 179.947
Mon Jan  9 12:41:11 EST 2017, 655, 0.550, 8, 0.310, 546, 26, 6, 9, 47, 8.713, 8.107
Mon Jan  9 12:44:46 EST 2017, 501, 0.250, 3, 0.990, 335, 78, 19, 39, 90, 199.820, 203.847
Mon Jan  9 12:45:08 EST 2017, 5451, 0.750, 7, 0.490, 485, 33, 9, 14, 45, 21.350, 18.027
Mon Jan  9 12:45:56 EST 2017, 7926, 0.000, 9, 0.740, 560, 56, 4, 27, 68, 40.583, 43.553
Mon Jan  9 12:45:58 EST 2017, 2976, 0.500, 5, 0.240, 410, 11, 14, 2, 23, 2.170, 1.673
Mon Jan  9 12:46:57 EST 2017, 4213, 0.130, 6, 0.860, 598, 22, 16, 20, 79, 54.403, 53.747
Mon Jan  9 12:47:31 EST 2017, 9163, 0.630, 2, 0.360, 448, 67, 7, 45, 34, 29.757, 31.390
Mon Jan  9 12:47:36 EST 2017, 6688, 0.380, 4, 0.610, 373, 44, 2, 8, 57, 4.150, 4.453
Mon Jan  9 12:48:13 EST 2017, 1738, 0.880, 8, 0.110, 523, 89, 12, 33, 12, 36.540, 28.733
Mon Jan  9 12:52:00 EST 2017, 2357, 0.070, 4, 0.300, 467, 95, 18, 11, 85, 191.740, 196.780
Mon Jan  9 12:52:32 EST 2017, 7307, 0.570, 9, 0.800, 317, 50, 8, 36, 40, 27.233, 29.100
Mon Jan  9 12:53:05 EST 2017, 9782, 0.320, 7, 0.050, 392, 72, 3, 23, 62, 28.320, 24.557
Mon Jan  9 12:53:19 EST 2017, 4832, 0.820, 2, 0.550, 542, 27, 13, 48, 17, 11.950, 12.303
