# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--recvr-range 1 10000', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', heap_timing_secs, binomHeap_timing_secs
Sun Apr 30 10:16:56 EDT 2017, 6210, 0.610, 1641, 2, 0.990, 307, 48, 18, 23, 73, 43.913, 47.347
Sun Apr 30 10:17:24 EDT 2017, 8685, 0.360, 4141, 9, 0.740, 532, 26, 4, 35, 96, 24.140, 27.790
Sun Apr 30 10:18:23 EDT 2017, 3735, 0.860, 9140, 4, 0.240, 382, 71, 13, 10, 51, 42.860, 56.997
Sun Apr 30 10:22:34 EDT 2017, 4972, 0.490, 391, 5, 0.610, 419, 82, 15, 41, 85, 224.810, 245.737
Sun Apr 30 10:22:42 EDT 2017, 9922, 0.990, 5391, 1, 0.110, 569, 37, 6, 16, 40, 6.060, 8.133
Sun Apr 30 10:22:47 EDT 2017, 7447, 0.240, 7890, 7, 0.360, 344, 14, 11, 29, 17, 3.577, 4.230
Sun Apr 30 10:22:52 EDT 2017, 2497, 0.740, 2891, 3, 0.860, 494, 59, 1, 4, 62, 3.203, 4.433
Sun Apr 30 10:23:24 EDT 2017, 1878, 0.300, 9765, 1, 0.920, 513, 99, 12, 38, 23, 28.333, 32.040
Sun Apr 30 10:23:34 EDT 2017, 6828, 0.800, 4766, 6, 0.420, 363, 54, 2, 13, 68, 7.393, 9.580
Sun Apr 30 10:25:41 EDT 2017, 9303, 0.050, 2266, 4, 0.170, 588, 31, 17, 26, 90, 100.220, 123.960
Sun Apr 30 10:26:04 EDT 2017, 4353, 0.550, 7265, 8, 0.670, 438, 76, 7, 1, 45, 15.203, 22.840
Sun Apr 30 10:27:07 EDT 2017, 3116, 0.170, 3516, 2, 0.050, 400, 88, 5, 44, 79, 53.360, 62.160
Sun Apr 30 10:27:49 EDT 2017, 8066, 0.670, 8515, 7, 0.550, 550, 43, 14, 19, 34, 33.413, 42.273
Sun Apr 30 10:27:53 EDT 2017, 5591, 0.420, 6016, 5, 0.800, 325, 20, 10, 32, 12, 2.987, 3.380
Sun Apr 30 10:29:41 EDT 2017, 641, 0.920, 1016, 9, 0.300, 475, 65, 19, 7, 57, 71.240, 104.530
Sun Apr 30 10:29:46 EDT 2017, 486, 0.130, 9296, 4, 0.500, 442, 21, 3, 33, 38, 3.977, 4.700
Sun Apr 30 10:32:20 EDT 2017, 5436, 0.630, 4297, 8, 0.000, 592, 66, 12, 8, 83, 107.260, 150.923
Sun Apr 30 10:33:00 EDT 2017, 7911, 0.380, 1797, 1, 0.250, 367, 89, 7, 45, 61, 33.783, 39.710
Sun Apr 30 10:33:21 EDT 2017, 2961, 0.880, 6797, 6, 0.750, 517, 44, 17, 20, 16, 17.343, 20.890
Sun Apr 30 10:33:43 EDT 2017, 4199, 0.250, 3047, 5, 0.380, 480, 10, 15, 26, 72, 17.093, 21.317
Sun Apr 30 10:33:47 EDT 2017, 9149, 0.750, 8047, 9, 0.880, 330, 55, 5, 1, 27, 2.917, 4.517
Sun Apr 30 10:37:05 EDT 2017, 6674, 0.000, 5547, 3, 0.630, 555, 78, 19, 39, 50, 172.590, 195.293
Sun Apr 30 10:37:52 EDT 2017, 1724, 0.500, 547, 7, 0.130, 405, 33, 10, 14, 95, 33.543, 46.387
Sun Apr 30 10:38:23 EDT 2017, 2342, 0.440, 7422, 9, 0.070, 386, 27, 18, 30, 33, 25.063, 30.367
Sun Apr 30 10:39:32 EDT 2017, 7292, 0.940, 2422, 4, 0.570, 536, 72, 9, 5, 78, 56.213, 67.653
Sun Apr 30 10:41:36 EDT 2017, 9767, 0.190, 4922, 6, 0.820, 311, 95, 13, 42, 55, 109.500, 122.750
Sun Apr 30 10:41:38 EDT 2017, 4817, 0.690, 9921, 2, 0.320, 461, 50, 4, 17, 10, 1.927, 2.367
Sun Apr 30 10:41:54 EDT 2017, 3580, 0.070, 1172, 8, 0.940, 499, 16, 6, 36, 66, 14.047, 15.437
Sun Apr 30 10:42:12 EDT 2017, 8530, 0.570, 6172, 3, 0.440, 349, 61, 16, 11, 21, 13.323, 17.883
Sun Apr 30 10:42:40 EDT 2017, 6055, 0.320, 8672, 5, 0.190, 574, 83, 2, 48, 44, 23.800, 27.520
Sun Apr 30 10:43:11 EDT 2017, 1105, 0.820, 3672, 1, 0.690, 424, 38, 11, 23, 89, 23.910, 29.973
Sun Apr 30 10:43:38 EDT 2017, 796, 0.350, 2110, 2, 0.780, 339, 69, 15, 19, 30, 21.407, 26.317
Sun Apr 30 10:44:11 EDT 2017, 5746, 0.850, 7109, 7, 0.280, 489, 24, 6, 44, 75, 28.017, 32.320
Sun Apr 30 10:45:11 EDT 2017, 8221, 0.100, 9609, 5, 0.030, 414, 47, 10, 6, 97, 42.480, 58.303
Sun Apr 30 10:45:27 EDT 2017, 3271, 0.600, 4609, 9, 0.530, 564, 92, 1, 31, 52, 13.010, 15.463
Sun Apr 30 10:46:04 EDT 2017, 4508, 0.220, 5859, 1, 0.160, 527, 58, 8, 12, 86, 25.827, 35.060
Sun Apr 30 10:46:23 EDT 2017, 9458, 0.720, 860, 6, 0.660, 377, 13, 18, 37, 41, 15.620, 18.213
Sun Apr 30 10:46:24 EDT 2017, 6983, 0.470, 3360, 3, 0.910, 452, 36, 3, 0, 19, 0.910, 1.290
Sun Apr 30 10:48:06 EDT 2017, 2033, 0.970, 8359, 8, 0.410, 302, 81, 13, 25, 64, 81.797, 97.537
Sun Apr 30 10:48:17 EDT 2017, 1414, 0.030, 3984, 5, 0.350, 321, 75, 5, 16, 24, 7.687, 10.473
Sun Apr 30 10:48:51 EDT 2017, 6364, 0.530, 8984, 1, 0.850, 471, 30, 14, 41, 69, 28.617, 33.153
Sun Apr 30 10:49:34 EDT 2017, 8839, 0.280, 6484, 7, 0.600, 396, 52, 9, 3, 92, 31.237, 42.707
Sun Apr 30 10:53:00 EDT 2017, 3889, 0.780, 1485, 3, 0.100, 546, 97, 19, 28, 47, 160.377, 201.283
Sun Apr 30 10:55:28 EDT 2017, 2652, 0.410, 7734, 6, 0.720, 583, 64, 12, 22, 81, 128.793, 146.127
Sun Apr 30 10:55:32 EDT 2017, 7602, 0.910, 2735, 2, 0.220, 433, 19, 2, 47, 36, 2.467, 2.983
Sun Apr 30 10:55:43 EDT 2017, 5127, 0.160, 235, 8, 0.470, 508, 41, 16, 9, 13, 8.093, 11.300
Sun Apr 30 10:56:38 EDT 2017, 177, 0.660, 5234, 4, 0.970, 358, 86, 7, 34, 58, 50.087, 53.810
Sun Apr 30 10:57:55 EDT 2017, 216, 0.330, 7851, 9, 0.460, 425, 51, 10, 36, 61, 62.010, 76.473
Sun Apr 30 10:58:32 EDT 2017, 5166, 0.830, 2852, 4, 0.960, 575, 96, 19, 11, 16, 33.033, 37.027
Sun Apr 30 10:59:05 EDT 2017, 7641, 0.080, 352, 7, 0.710, 350, 74, 5, 49, 39, 29.080, 32.400
Sun Apr 30 11:00:01 EDT 2017, 2691, 0.580, 5352, 2, 0.210, 500, 29, 15, 24, 84, 44.143, 56.070
Sun Apr 30 11:01:18 EDT 2017, 3928, 0.200, 4102, 8, 0.580, 462, 40, 17, 30, 50, 65.190, 76.010
Sun Apr 30 11:02:08 EDT 2017, 8878, 0.700, 9101, 3, 0.080, 312, 85, 7, 5, 95, 34.527, 48.263
Sun Apr 30 11:05:13 EDT 2017, 6403, 0.450, 6601, 6, 0.330, 537, 63, 12, 42, 72, 160.703, 180.853
Sun Apr 30 11:05:15 EDT 2017, 1453, 0.950, 1602, 1, 0.830, 387, 18, 3, 17, 27, 1.070, 1.587
