# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, heap_timing_secs
Mon Jul  3 10:39:47 EDT 2017, 0.360, 133, 28, 6, 24, 521, 2, 20, 10, 39, 1.050, 0.667
Mon Jul  3 10:40:05 EDT 2017, 0.860, 153, 23, 2, 13, 371, 12, 40, 25, 19, 18.507, 1.780
Mon Jul  3 10:40:14 EDT 2017, 0.610, 123, 21, 8, 18, 596, 16, 10, 2, 29, 8.623, 1.537
Mon Jul  3 10:40:42 EDT 2017, 0.110, 143, 26, 4, 29, 446, 7, 30, 17, 49, 27.500, 2.383
Mon Jul  3 10:40:56 EDT 2017, 0.080, 124, 27, 5, 19, 361, 13, 41, 16, 15, 14.140, 1.560
Mon Jul  3 10:40:59 EDT 2017, 0.580, 144, 22, 9, 8, 511, 4, 21, 1, 35, 2.803, 1.063
Mon Jul  3 10:41:53 EDT 2017, 0.830, 134, 20, 3, 14, 436, 9, 31, 24, 45, 53.303, 3.163
Mon Jul  3 10:42:00 EDT 2017, 0.330, 154, 25, 7, 25, 586, 18, 11, 9, 25, 6.853, 1.373
Mon Jul  3 10:42:45 EDT 2017, 0.450, 139, 24, 4, 16, 549, 11, 26, 20, 40, 45.060, 3.147
Mon Jul  3 10:42:46 EDT 2017, 0.950, 159, 29, 8, 27, 399, 1, 46, 5, 20, 0.513, 0.483
Mon Jul  3 10:42:47 EDT 2017, 0.700, 129, 26, 2, 22, 474, 6, 16, 27, 10, 0.703, 0.577
Mon Jul  3 10:43:44 EDT 2017, 0.200, 149, 21, 6, 11, 324, 16, 36, 12, 30, 56.617, 2.847
Mon Jul  3 10:43:48 EDT 2017, 0.140, 131, 26, 8, 9, 305, 14, 19, 22, 18, 4.097, 0.980
Mon Jul  3 10:44:05 EDT 2017, 0.640, 151, 21, 4, 20, 455, 5, 39, 7, 38, 16.133, 2.127
Mon Jul  3 10:44:56 EDT 2017, 0.890, 121, 23, 6, 26, 380, 10, 29, 29, 48, 51.103, 2.740
Mon Jul  3 10:48:25 EDT 2017, 0.390, 141, 28, 2, 15, 530, 19, 49, 14, 28, 208.910, 6.240
Mon Jul  3 10:50:20 EDT 2017, 0.260, 126, 22, 9, 29, 567, 12, 34, 18, 43, 114.080, 4.703
Mon Jul  3 10:50:20 EDT 2017, 0.760, 146, 27, 5, 18, 417, 3, 14, 3, 23, 0.480, 0.417
Mon Jul  3 10:50:25 EDT 2017, 0.510, 136, 29, 7, 12, 492, 7, 44, 26, 13, 4.287, 1.193
Mon Jul  3 10:50:59 EDT 2017, 0.010, 156, 24, 3, 23, 342, 17, 24, 11, 33, 34.193, 2.303
Mon Jul  3 10:50:59 EDT 2017, 0.020, 130, 29, 4, 14, 326, 1, 11, 27, 14, 0.170, 0.170
Mon Jul  3 10:51:27 EDT 2017, 0.520, 150, 24, 8, 25, 476, 10, 31, 12, 34, 26.920, 2.613
Mon Jul  3 10:52:30 EDT 2017, 0.770, 120, 22, 2, 20, 401, 15, 21, 20, 44, 63.307, 3.073
Mon Jul  3 10:52:41 EDT 2017, 0.270, 140, 27, 6, 9, 551, 6, 41, 5, 24, 10.173, 1.783
