# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 1 10', '--delay 1 10', '--selfEvents% 0 100', '--callIntervalMean 1 10', '--callDurationMean 1 10', '--maxChannels 10 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, heap_timing_secs
Mon Jun 26 18:56:06 EDT 2017, 0.920, 7, 4, 0.570, 3, 5, 28, 403, 53, 11, 7, 94, 38.127, 37.330
Mon Jun 26 18:58:24 EDT 2017, 0.670, 1, 2, 0.320, 1, 7, 50, 478, 76, 15, 44, 72, 135.153, 130.413
Mon Jun 26 18:58:27 EDT 2017, 0.170, 5, 7, 0.820, 5, 3, 95, 328, 31, 6, 19, 27, 2.097, 1.903
Mon Jun 26 18:58:47 EDT 2017, 0.230, 5, 2, 0.510, 7, 2, 56, 459, 92, 19, 22, 10, 19.930, 16.710
Mon Jun 26 18:58:56 EDT 2017, 0.730, 9, 6, 0.010, 2, 7, 11, 309, 47, 9, 47, 55, 9.453, 9.143
Mon Jun 26 18:59:14 EDT 2017, 0.980, 2, 8, 0.760, 5, 4, 33, 534, 70, 5, 10, 77, 16.887, 16.847
Mon Jun 26 18:59:21 EDT 2017, 0.480, 7, 4, 0.260, 9, 9, 78, 384, 25, 14, 35, 32, 6.613, 6.057
Mon Jun 26 18:59:27 EDT 2017, 0.360, 1, 7, 0.630, 4, 8, 67, 347, 81, 2, 4, 66, 5.820, 5.767
Mon Jun 26 18:59:36 EDT 2017, 0.860, 6, 3, 0.130, 8, 3, 22, 497, 36, 12, 29, 21, 8.233, 7.613
Mon Jun 26 19:00:01 EDT 2017, 0.610, 3, 5, 0.880, 6, 5, 45, 422, 59, 17, 16, 44, 24.760, 23.803
Mon Jun 26 19:00:06 EDT 2017, 0.110, 8, 9, 0.380, 1, 1, 90, 572, 14, 7, 41, 89, 4.767, 4.297
Mon Jun 26 19:00:08 EDT 2017, 0.070, 4, 6, 0.350, 4, 3, 19, 487, 16, 11, 33, 13, 1.357, 1.223
Mon Jun 26 19:00:19 EDT 2017, 0.570, 8, 1, 0.850, 8, 7, 64, 337, 61, 2, 8, 58, 11.047, 10.210
Mon Jun 26 19:00:37 EDT 2017, 0.820, 1, 4, 0.100, 6, 1, 87, 562, 39, 6, 46, 80, 18.333, 17.350
