# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', ladderQ_timing_secs, 2tLadderQ_timing_secs
Mon Jan  9 09:38:50 EST 2017, 416, 0.840, 9, 0.370, 351, 87, 8, 32, 37, 36.477, 36.173
Mon Jan  9 09:39:08 EST 2017, 571, 0.070, 1, 0.950, 571, 26, 17, 12, 78, 17.667, 17.920
Mon Jan  9 09:39:43 EST 2017, 5521, 0.570, 5, 0.450, 421, 71, 8, 37, 33, 34.247, 33.613
Mon Jan  9 09:39:47 EST 2017, 7996, 0.320, 7, 0.700, 346, 49, 3, 0, 55, 3.530, 3.637
Mon Jan  9 09:40:03 EST 2017, 3046, 0.820, 3, 0.200, 496, 94, 13, 25, 10, 16.207, 16.200
Mon Jan  9 09:43:00 EST 2017, 4283, 0.450, 6, 0.820, 308, 83, 15, 43, 89, 170.053, 174.420
Mon Jan  9 09:43:09 EST 2017, 9233, 0.950, 2, 0.320, 458, 38, 6, 18, 44, 8.677, 8.760
Mon Jan  9 09:43:19 EST 2017, 6758, 0.200, 4, 0.570, 533, 60, 1, 31, 67, 9.000, 8.777
Mon Jan  9 09:43:21 EST 2017, 1808, 0.700, 9, 0.070, 383, 15, 10, 6, 22, 1.837, 2.067
Mon Jan  9 09:43:48 EST 2017, 2427, 0.260, 3, 0.260, 440, 10, 19, 34, 95, 26.333, 26.587
Mon Jan  9 09:44:17 EST 2017, 7377, 0.760, 8, 0.760, 590, 55, 9, 9, 50, 28.157, 28.683
Mon Jan  9 09:44:43 EST 2017, 9852, 0.010, 6, 0.010, 515, 32, 4, 46, 72, 25.240, 24.983
Mon Jan  9 09:44:58 EST 2017, 4902, 0.510, 1, 0.510, 365, 77, 14, 21, 27, 13.507, 14.353
Mon Jan  9 09:46:43 EST 2017, 3665, 0.140, 9, 0.380, 477, 88, 16, 3, 84, 102.690, 97.440
Mon Jan  9 09:46:57 EST 2017, 8615, 0.640, 5, 0.880, 327, 43, 7, 28, 39, 13.270, 13.260
Mon Jan  9 09:47:04 EST 2017, 6140, 0.390, 2, 0.130, 402, 66, 2, 15, 61, 6.553, 6.460
Mon Jan  9 09:47:13 EST 2017, 1190, 0.890, 7, 0.630, 552, 21, 11, 40, 16, 9.293, 9.407
Mon Jan  9 09:47:23 EST 2017, 880, 0.420, 8, 0.600, 505, 46, 9, 29, 13, 9.937, 9.917
Mon Jan  9 09:48:22 EST 2017, 5830, 0.920, 4, 0.100, 355, 91, 18, 4, 58, 55.547, 57.207
Mon Jan  9 09:48:37 EST 2017, 8305, 0.170, 2, 0.850, 430, 24, 13, 42, 36, 15.453, 15.287
Mon Jan  9 09:49:17 EST 2017, 3355, 0.670, 6, 0.350, 580, 69, 4, 17, 81, 38.177, 36.493
Mon Jan  9 09:49:24 EST 2017, 4593, 0.040, 5, 0.730, 393, 57, 6, 10, 25, 6.240, 6.450
Mon Jan  9 09:49:56 EST 2017, 9543, 0.540, 9, 0.230, 543, 12, 16, 35, 70, 31.173, 31.297
