# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 1 10', '--delay 1 10', '--selfEvents% 0 100', '--callIntervalMean 1 10', '--callDurationMean 1 10', '--maxChannels 10 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, ladderQ_timing_secs
Fri Jun 23 01:07:24 EDT 2017, 0.560, 2, 6, 0.710, 9, 1, 40, 595, 12, 10, 31, 97, 2.450, 2.470
Fri Jun 23 01:11:30 EDT 2017, 0.060, 6, 2, 0.210, 4, 5, 85, 445, 57, 19, 6, 52, 5.943, 6.660
Fri Jun 23 01:15:31 EDT 2017, 0.090, 2, 3, 0.050, 1, 8, 26, 361, 65, 3, 20, 61, 2.143, 2.357
Fri Jun 23 01:20:33 EDT 2017, 0.590, 6, 7, 0.550, 6, 3, 71, 511, 20, 13, 45, 16, 1.527, 1.650
Fri Jun 23 01:25:45 EDT 2017, 0.840, 4, 5, 0.300, 8, 5, 94, 436, 88, 18, 7, 38, 7.143, 8.940
Fri Jun 23 01:30:21 EDT 2017, 0.340, 9, 1, 0.800, 4, 1, 49, 586, 43, 8, 32, 83, 7.093, 8.297
Fri Jun 23 01:35:23 EDT 2017, 0.460, 3, 8, 0.180, 9, 2, 15, 473, 77, 15, 1, 27, 2.773, 3.053
Fri Jun 23 01:39:25 EDT 2017, 0.960, 8, 4, 0.680, 5, 7, 60, 323, 32, 6, 26, 72, 2.750, 2.740
Fri Jun 23 01:44:01 EDT 2017, 0.710, 1, 2, 0.430, 3, 4, 83, 548, 99, 1, 14, 94, 3.640, 3.930
Fri Jun 23 01:49:34 EDT 2017, 0.210, 5, 6, 0.930, 7, 9, 38, 398, 54, 11, 39, 49, 2.510, 11.980
Fri Jun 23 01:54:20 EDT 2017, 0.150, 5, 1, 0.740, 5, 9, 32, 529, 71, 5, 42, 33, 3.340, 3.313
Fri Jun 23 01:59:17 EDT 2017, 0.650, 9, 6, 0.240, 1, 5, 77, 379, 26, 14, 17, 78, 2.757, 2.957
Fri Jun 23 02:04:18 EDT 2017, 0.900, 2, 8, 0.990, 3, 7, 99, 454, 93, 19, 29, 55, 8.760, 12.113
Fri Jun 23 02:08:25 EDT 2017, 0.400, 7, 3, 0.490, 8, 3, 54, 304, 48, 9, 4, 10, 1.593, 1.600
Fri Jun 23 02:13:22 EDT 2017, 0.280, 1, 7, 0.620, 4, 1, 21, 417, 60, 16, 35, 89, 4.747, 5.343
Fri Jun 23 02:19:24 EDT 2017, 0.780, 6, 2, 0.120, 9, 6, 66, 567, 15, 7, 10, 44, 2.527, 2.533
Fri Jun 23 02:22:50 EDT 2017, 0.530, 4, 4, 0.870, 7, 4, 88, 342, 82, 2, 48, 21, 1.543, 1.540
Fri Jun 23 02:28:47 EDT 2017, 0.030, 8, 9, 0.370, 2, 8, 43, 492, 37, 12, 23, 66, 2.437, 2.433
Fri Jun 23 02:43:11 EDT 2017, 0.040, 1, 1, 0.950, 9, 2, 90, 375, 78, 5, 11, 48, 3.343, 199.747
Fri Jun 23 02:48:38 EDT 2017, 0.540, 6, 5, 0.450, 4, 7, 45, 525, 33, 15, 36, 93, 5.123, 5.647
Fri Jun 23 02:52:40 EDT 2017, 0.790, 3, 7, 0.700, 2, 4, 22, 300, 55, 10, 24, 70, 3.130, 3.433
Fri Jun 23 02:57:46 EDT 2017, 0.290, 8, 3, 0.200, 6, 9, 67, 450, 10, 1, 49, 25, 1.240, 1.250
Fri Jun 23 03:02:28 EDT 2017, 0.420, 5, 6, 0.820, 1, 8, 78, 562, 89, 13, 17, 82, 8.450, 9.147
Fri Jun 23 03:10:30 EDT 2017, 0.920, 9, 2, 0.320, 5, 3, 33, 412, 44, 3, 42, 37, 2.153, 2.243
Fri Jun 23 03:18:08 EDT 2017, 0.670, 2, 4, 0.570, 8, 6, 11, 487, 67, 8, 5, 14, 2.797, 4.137
Fri Jun 23 03:22:09 EDT 2017, 0.170, 7, 9, 0.070, 3, 1, 56, 337, 22, 17, 30, 59, 1.843, 1.960
Fri Jun 23 03:43:29 EDT 2017, 0.230, 3, 3, 0.260, 5, 1, 95, 506, 95, 7, 27, 76, 349.480, 6.437
Fri Jun 23 03:48:26 EDT 2017, 0.730, 7, 8, 0.760, 9, 5, 50, 356, 50, 16, 2, 31, 2.427, 2.620
Fri Jun 23 03:56:03 EDT 2017, 0.980, 1, 6, 0.010, 7, 3, 28, 581, 72, 11, 39, 54, 58.213, 9.237
Fri Jun 23 04:00:10 EDT 2017, 0.480, 5, 1, 0.510, 2, 7, 73, 431, 27, 2, 14, 99, 3.143, 2.720
Fri Jun 23 04:05:12 EDT 2017, 0.360, 2, 9, 0.380, 6, 8, 84, 318, 84, 14, 46, 20, 1.870, 2.067
Fri Jun 23 04:11:19 EDT 2017, 0.860, 6, 5, 0.880, 1, 4, 39, 468, 39, 4, 21, 65, 2.260, 2.453
Fri Jun 23 04:15:26 EDT 2017, 0.610, 4, 2, 0.130, 4, 6, 16, 393, 61, 9, 33, 87, 7.230, 7.953
Fri Jun 23 04:20:28 EDT 2017, 0.110, 9, 7, 0.630, 8, 2, 61, 543, 16, 19, 8, 42, 2.380, 2.043
Fri Jun 23 04:25:29 EDT 2017, 0.070, 4, 8, 0.600, 7, 4, 47, 478, 13, 4, 16, 73, 1.233, 1.233
Fri Jun 23 04:59:09 EDT 2017, 0.570, 9, 4, 0.100, 2, 9, 92, 328, 58, 13, 41, 28, 2.457, 2.743
Fri Jun 23 05:04:27 EDT 2017, 0.820, 2, 2, 0.850, 4, 2, 70, 553, 36, 18, 3, 51, 10.937, 17.443
Fri Jun 23 05:09:18 EDT 2017, 0.320, 7, 6, 0.350, 9, 6, 25, 403, 81, 8, 28, 96, 4.717, 15.017
Fri Jun 23 05:14:00 EDT 2017, 0.450, 1, 5, 0.730, 3, 5, 36, 365, 25, 16, 10, 17, 1.747, 1.757
Fri Jun 23 05:18:56 EDT 2017, 0.950, 5, 9, 0.230, 8, 1, 81, 515, 70, 6, 35, 62, 3.567, 3.630
Fri Jun 23 05:24:08 EDT 2017, 0.700, 3, 7, 0.980, 6, 8, 59, 440, 47, 1, 22, 85, 1.560, 1.530
Fri Jun 23 05:32:11 EDT 2017, 0.200, 8, 3, 0.480, 1, 3, 14, 590, 92, 11, 47, 40, 86.040, 5.533
Fri Jun 23 05:38:12 EDT 2017, 0.140, 3, 5, 0.160, 3, 4, 53, 421, 30, 5, 44, 45, 1.653, 1.550
Fri Jun 23 05:46:31 EDT 2017, 0.640, 7, 1, 0.660, 7, 8, 98, 571, 75, 14, 19, 90, 0.000, 0.000
Fri Jun 23 05:50:02 EDT 2017, 0.890, 5, 3, 0.410, 9, 1, 76, 346, 53, 19, 31, 68, 10.540, 36.360
Fri Jun 23 06:23:01 EDT 2017, 0.390, 9, 8, 0.910, 5, 6, 31, 496, 98, 10, 6, 23, 2.410, 2.607
Fri Jun 23 06:28:07 EDT 2017, 0.260, 4, 2, 0.040, 8, 7, 42, 534, 19, 17, 25, 79, 3.927, 4.240
Fri Jun 23 06:33:09 EDT 2017, 0.760, 8, 7, 0.540, 4, 2, 87, 384, 64, 7, 0, 34, 2.140, 2.330
Fri Jun 23 06:38:15 EDT 2017, 0.510, 1, 9, 0.290, 2, 9, 64, 459, 41, 3, 38, 11, 1.243, 1.257
