# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, ladderQ_timing_secs
Fri Jul  7 16:55:21 EDT 2017, 0.980, 128, 28, 8, 18, 427, 6, 41, 20, 18, 300.000, 300.000
Fri Jul  7 16:59:27 EDT 2017, 0.480, 148, 23, 4, 29, 577, 15, 21, 5, 38, 1.817, 2.020
Fri Jul  7 17:04:08 EDT 2017, 0.360, 123, 27, 7, 15, 540, 13, 16, 23, 13, 1.227, 1.233
Fri Jul  7 17:13:46 EDT 2017, 0.860, 143, 22, 3, 26, 390, 3, 36, 8, 33, 1.217, 1.237
Fri Jul  7 17:18:53 EDT 2017, 0.610, 133, 24, 9, 21, 465, 8, 26, 16, 43, 1.510, 1.547
Fri Jul  7 17:23:54 EDT 2017, 0.110, 153, 29, 5, 10, 315, 17, 46, 1, 23, 1.533, 1.543
Fri Jul  7 17:29:01 EDT 2017, 0.070, 134, 25, 4, 16, 380, 3, 35, 2, 32, 1.253, 1.237
Fri Jul  7 17:33:37 EDT 2017, 0.570, 154, 20, 8, 27, 530, 12, 15, 17, 12, 1.250, 1.247
Fri Jul  7 17:38:44 EDT 2017, 0.820, 124, 23, 2, 21, 305, 17, 45, 9, 22, 2.057, 2.217
Fri Jul  7 17:47:47 EDT 2017, 0.320, 144, 28, 6, 10, 455, 7, 25, 24, 42, 1.233, 1.213
Fri Jul  7 17:51:03 EDT 2017, 0.450, 129, 22, 5, 19, 493, 5, 10, 6, 27, 1.230, 1.227
Fri Jul  7 17:56:05 EDT 2017, 0.950, 149, 27, 9, 8, 343, 14, 30, 21, 47, 2.250, 2.350
Fri Jul  7 18:00:36 EDT 2017, 0.700, 139, 29, 3, 13, 568, 19, 20, 13, 37, 2.140, 2.283
Fri Jul  7 18:05:48 EDT 2017, 0.200, 159, 24, 7, 24, 418, 10, 40, 28, 17, 1.247, 1.250
Fri Jul  7 18:10:40 EDT 2017, 0.140, 121, 27, 9, 28, 436, 1, 22, 4, 34, 1.267, 1.180
Fri Jul  7 18:15:46 EDT 2017, 0.640, 141, 22, 5, 17, 586, 11, 42, 19, 14, 1.553, 1.573
Fri Jul  7 18:20:53 EDT 2017, 0.890, 131, 20, 7, 12, 361, 16, 12, 11, 24, 1.350, 1.327
Fri Jul  7 18:25:25 EDT 2017, 0.390, 151, 25, 3, 23, 511, 6, 32, 26, 44, 1.513, 1.527
Fri Jul  7 18:27:56 EDT 2017, 0.260, 136, 24, 8, 9, 474, 4, 47, 0, 29, 1.290, 1.210
Fri Jul  7 18:30:12 EDT 2017, 0.760, 156, 29, 4, 20, 324, 13, 27, 15, 49, 1.890, 1.883
Fri Jul  7 18:34:38 EDT 2017, 0.510, 126, 26, 6, 25, 549, 18, 37, 7, 39, 3.157, 3.367
Fri Jul  7 18:44:41 EDT 2017, 0.010, 146, 21, 2, 14, 399, 8, 17, 22, 19, 1.257, 1.237
Fri Jul  7 18:49:48 EDT 2017, 0.020, 120, 26, 5, 22, 420, 14, 25, 13, 38, 1.490, 1.553
Fri Jul  7 18:54:54 EDT 2017, 0.520, 140, 21, 9, 11, 570, 4, 45, 28, 18, 1.227, 1.223
Fri Jul  7 18:59:56 EDT 2017, 0.770, 130, 23, 3, 17, 345, 9, 15, 5, 28, 1.227, 1.240
Fri Jul  7 19:04:33 EDT 2017, 0.270, 150, 28, 7, 28, 495, 18, 35, 20, 48, 2.637, 2.717
Fri Jul  7 19:09:39 EDT 2017, 0.390, 135, 20, 4, 14, 458, 11, 40, 9, 23, 1.547, 1.520
Fri Jul  7 19:14:41 EDT 2017, 0.890, 155, 25, 8, 25, 308, 2, 20, 24, 43, 1.250, 1.227
Fri Jul  7 19:19:47 EDT 2017, 0.640, 125, 27, 2, 19, 533, 7, 30, 2, 33, 1.523, 1.540
Fri Jul  7 19:24:54 EDT 2017, 0.140, 145, 22, 6, 8, 383, 16, 10, 17, 13, 1.213, 1.227
Fri Jul  7 19:29:56 EDT 2017, 0.210, 133, 29, 8, 13, 401, 12, 33, 7, 35, 1.540, 1.537
Fri Jul  7 19:34:32 EDT 2017, 0.710, 153, 24, 4, 24, 551, 3, 13, 22, 15, 1.260, 1.237
Fri Jul  7 19:43:10 EDT 2017, 0.960, 123, 21, 6, 29, 326, 8, 43, 0, 25, 1.533, 1.520
Fri Jul  7 19:48:16 EDT 2017, 0.460, 143, 26, 2, 18, 476, 17, 23, 15, 45, 2.137, 2.240
Fri Jul  7 19:53:18 EDT 2017, 0.330, 128, 23, 9, 26, 514, 10, 18, 11, 20, 1.223, 1.227
Fri Jul  7 19:58:30 EDT 2017, 0.830, 148, 28, 5, 15, 364, 1, 38, 26, 40, 1.213, 1.217
