# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', ladderQ_timing_secs, 2tLadderQ_timing_secs
Mon Jan  9 09:38:12 EST 2017, 6210, 0.610, 2, 0.140, 597, 12, 9, 45, 51, 11.207, 11.123
Mon Jan  9 09:38:35 EST 2017, 8685, 0.360, 4, 0.890, 522, 79, 4, 8, 73, 23.310, 22.233
Mon Jan  9 09:38:55 EST 2017, 3735, 0.860, 9, 0.390, 372, 34, 13, 33, 28, 19.110, 18.803
Mon Jan  9 09:39:54 EST 2017, 4972, 0.490, 1, 0.520, 485, 45, 16, 39, 85, 57.940, 58.070
Mon Jan  9 09:40:11 EST 2017, 9922, 0.990, 5, 0.020, 335, 90, 6, 14, 40, 16.987, 17.027
Mon Jan  9 09:40:16 EST 2017, 7447, 0.240, 8, 0.770, 410, 23, 2, 26, 62, 4.460, 4.437
Mon Jan  9 09:40:23 EST 2017, 2497, 0.740, 3, 0.270, 560, 68, 11, 1, 17, 6.957, 6.830
Mon Jan  9 09:44:48 EST 2017, 1878, 0.300, 9, 0.080, 578, 73, 19, 30, 79, 252.917, 252.627
Mon Jan  9 09:44:54 EST 2017, 6828, 0.800, 5, 0.580, 428, 28, 10, 5, 34, 5.923, 5.813
Mon Jan  9 09:45:35 EST 2017, 9303, 0.050, 3, 0.330, 353, 96, 5, 42, 57, 39.520, 39.933
Mon Jan  9 09:45:46 EST 2017, 4353, 0.550, 7, 0.830, 503, 51, 15, 17, 12, 11.397, 11.303
Mon Jan  9 09:46:27 EST 2017, 3116, 0.170, 4, 0.210, 316, 40, 17, 11, 90, 40.167, 39.867
Mon Jan  9 09:47:23 EST 2017, 8066, 0.670, 8, 0.710, 466, 85, 7, 36, 45, 56.387, 56.113
Mon Jan  9 09:47:30 EST 2017, 5591, 0.420, 6, 0.460, 541, 17, 3, 23, 68, 6.067, 6.027
Mon Jan  9 09:47:45 EST 2017, 641, 0.920, 1, 0.960, 391, 62, 12, 48, 23, 15.130, 15.110
Mon Jan  9 09:47:54 EST 2017, 486, 0.130, 9, 0.350, 452, 52, 3, 5, 69, 8.633, 8.677
Mon Jan  9 09:48:24 EST 2017, 5436, 0.630, 4, 0.850, 302, 97, 13, 30, 24, 30.510, 30.150
Mon Jan  9 09:48:58 EST 2017, 7911, 0.380, 2, 0.100, 377, 30, 17, 18, 92, 33.420, 33.173
Mon Jan  9 09:50:15 EST 2017, 2961, 0.880, 7, 0.600, 527, 75, 8, 43, 47, 76.293, 75.487
Mon Jan  9 09:50:22 EST 2017, 4199, 0.250, 3, 0.470, 414, 64, 1, 37, 58, 6.560, 6.617
Mon Jan  9 09:50:25 EST 2017, 9149, 0.750, 8, 0.970, 564, 19, 10, 12, 13, 2.683, 2.643
Mon Jan  9 09:55:16 EST 2017, 6674, 0.000, 5, 0.220, 489, 86, 15, 49, 81, 284.777, 290.207
Mon Jan  9 09:55:20 EST 2017, 1724, 0.500, 1, 0.720, 339, 41, 5, 24, 36, 3.670, 3.650
Mon Jan  9 09:55:36 EST 2017, 2342, 0.440, 7, 0.910, 321, 36, 4, 46, 64, 16.023, 15.820
Mon Jan  9 09:56:02 EST 2017, 7292, 0.940, 3, 0.410, 471, 81, 14, 21, 19, 24.747, 24.447
Mon Jan  9 09:56:45 EST 2017, 9767, 0.190, 5, 0.660, 546, 13, 18, 33, 86, 41.607, 41.947
Mon Jan  9 09:57:04 EST 2017, 4817, 0.690, 9, 0.160, 396, 58, 9, 8, 41, 16.690, 17.283
Mon Jan  9 09:57:17 EST 2017, 3580, 0.070, 2, 0.780, 583, 69, 2, 15, 75, 12.643, 12.273
Mon Jan  9 09:57:33 EST 2017, 8530, 0.570, 6, 0.280, 433, 24, 11, 40, 30, 15.613, 15.620
Mon Jan  9 09:59:06 EST 2017, 6055, 0.320, 8, 0.530, 358, 92, 16, 2, 97, 92.083, 89.853
Mon Jan  9 09:59:35 EST 2017, 1105, 0.820, 4, 0.030, 508, 47, 7, 27, 52, 28.063, 28.097
Mon Jan  9 09:59:54 EST 2017, 796, 0.350, 2, 0.190, 536, 21, 13, 38, 44, 19.067, 19.167
Mon Jan  9 10:00:18 EST 2017, 5746, 0.850, 7, 0.690, 386, 66, 4, 13, 89, 23.447, 23.620
Mon Jan  9 10:00:26 EST 2017, 8221, 0.100, 9, 0.440, 311, 44, 8, 26, 21, 8.047, 8.073
Mon Jan  9 10:01:39 EST 2017, 3271, 0.600, 5, 0.940, 461, 89, 18, 1, 66, 72.297, 72.783
Mon Jan  9 10:02:07 EST 2017, 4508, 0.220, 6, 0.070, 349, 78, 11, 19, 33, 27.303, 27.287
Mon Jan  9 10:02:10 EST 2017, 9458, 0.720, 1, 0.570, 499, 33, 1, 44, 78, 3.013, 3.037
Mon Jan  9 10:02:13 EST 2017, 6983, 0.470, 4, 0.320, 574, 55, 6, 7, 10, 3.013, 2.977
Mon Jan  9 10:02:27 EST 2017, 2033, 0.970, 8, 0.820, 424, 10, 15, 32, 55, 13.380, 13.483
Mon Jan  9 10:02:33 EST 2017, 1414, 0.030, 4, 0.500, 405, 16, 14, 10, 38, 6.123, 6.133
Mon Jan  9 10:03:39 EST 2017, 6364, 0.530, 9, 0.000, 555, 61, 5, 35, 83, 64.310, 64.470
Mon Jan  9 10:03:48 EST 2017, 8839, 0.280, 6, 0.750, 480, 38, 10, 23, 16, 8.747, 8.730
Mon Jan  9 10:05:47 EST 2017, 3889, 0.780, 2, 0.250, 330, 83, 19, 48, 61, 115.387, 116.607
Mon Jan  9 10:07:43 EST 2017, 2652, 0.410, 7, 0.630, 517, 95, 12, 29, 50, 111.603, 111.900
Mon Jan  9 10:07:48 EST 2017, 7602, 0.910, 3, 0.130, 367, 50, 2, 4, 95, 5.613, 5.620
Mon Jan  9 10:08:01 EST 2017, 5127, 0.160, 1, 0.880, 442, 72, 7, 41, 27, 12.450, 12.587
Mon Jan  9 10:08:48 EST 2017, 177, 0.660, 5, 0.380, 592, 27, 17, 16, 72, 44.497, 46.083
Mon Jan  9 10:09:33 EST 2017, 216, 0.330, 8, 0.940, 439, 47, 9, 24, 75, 43.907, 44.363
Mon Jan  9 10:11:54 EST 2017, 5166, 0.830, 3, 0.440, 589, 92, 19, 49, 30, 137.210, 139.413
Mon Jan  9 10:12:11 EST 2017, 7641, 0.080, 1, 0.690, 514, 25, 14, 11, 98, 15.847, 16.293
Mon Jan  9 10:12:40 EST 2017, 2691, 0.580, 5, 0.190, 364, 70, 5, 36, 53, 29.080, 28.643
Mon Jan  9 10:13:37 EST 2017, 3928, 0.200, 4, 0.810, 476, 58, 7, 43, 64, 56.263, 56.397
Mon Jan  9 10:13:41 EST 2017, 8878, 0.700, 9, 0.310, 326, 13, 16, 18, 19, 3.297, 3.310
Mon Jan  9 10:15:57 EST 2017, 6403, 0.450, 6, 0.560, 401, 81, 12, 30, 86, 134.267, 131.993
Mon Jan  9 10:15:59 EST 2017, 1453, 0.950, 2, 0.060, 551, 36, 2, 5, 41, 2.177, 2.250
Mon Jan  9 10:16:38 EST 2017, 2072, 0.010, 6, 0.250, 570, 41, 8, 27, 58, 38.277, 37.690
Mon Jan  9 10:16:43 EST 2017, 7022, 0.510, 1, 0.750, 420, 86, 18, 2, 13, 4.437, 4.433
Mon Jan  9 10:17:12 EST 2017, 9497, 0.260, 4, 0.000, 345, 19, 13, 40, 81, 29.070, 29.283
Mon Jan  9 10:17:21 EST 2017, 4547, 0.760, 8, 0.500, 495, 64, 3, 15, 36, 9.077, 9.043
Mon Jan  9 10:17:38 EST 2017, 3309, 0.390, 3, 0.370, 308, 75, 6, 8, 70, 16.767, 16.463
Mon Jan  9 10:17:59 EST 2017, 8259, 0.890, 7, 0.870, 458, 30, 15, 33, 25, 19.653, 19.713
Mon Jan  9 10:21:01 EST 2017, 5784, 0.140, 9, 0.120, 533, 98, 11, 21, 92, 176.173, 175.843
Mon Jan  9 10:21:07 EST 2017, 834, 0.640, 5, 0.620, 383, 53, 1, 46, 47, 5.407, 5.517
Mon Jan  9 10:21:24 EST 2017, 1144, 0.170, 1, 0.590, 373, 27, 19, 32, 50, 16.843, 16.617
Mon Jan  9 10:22:40 EST 2017, 6094, 0.670, 6, 0.090, 523, 72, 10, 7, 95, 74.430, 70.623
Mon Jan  9 10:23:02 EST 2017, 8569, 0.420, 8, 0.840, 598, 50, 5, 44, 27, 21.153, 21.543
Mon Jan  9 10:25:07 EST 2017, 3619, 0.920, 3, 0.340, 448, 95, 15, 19, 72, 114.733, 120.937
Mon Jan  9 10:25:51 EST 2017, 4856, 0.300, 7, 0.720, 561, 84, 17, 0, 39, 43.020, 40.323
Mon Jan  9 10:26:16 EST 2017, 9806, 0.800, 2, 0.220, 411, 39, 8, 25, 84, 25.187, 24.707
Mon Jan  9 10:26:19 EST 2017, 7331, 0.050, 4, 0.970, 336, 61, 3, 13, 16, 2.313, 2.337
Mon Jan  9 10:26:45 EST 2017, 2381, 0.550, 9, 0.470, 486, 16, 12, 38, 61, 25.763, 25.863
Mon Jan  9 10:26:52 EST 2017, 1762, 0.480, 3, 0.160, 505, 11, 18, 16, 33, 6.347, 6.323
Mon Jan  9 10:28:02 EST 2017, 6712, 0.980, 7, 0.660, 355, 56, 9, 41, 78, 68.880, 67.847
Mon Jan  9 10:28:03 EST 2017, 9187, 0.230, 5, 0.410, 430, 33, 4, 4, 11, 0.940, 0.907
Mon Jan  9 10:28:56 EST 2017, 4237, 0.730, 1, 0.910, 580, 78, 13, 29, 56, 52.343, 52.737
Mon Jan  9 10:31:14 EST 2017, 3000, 0.110, 8, 0.030, 392, 89, 16, 47, 44, 133.053, 134.940
Mon Jan  9 10:31:53 EST 2017, 7950, 0.610, 4, 0.530, 542, 44, 6, 22, 89, 37.820, 36.940
Mon Jan  9 10:31:57 EST 2017, 5475, 0.360, 2, 0.280, 467, 67, 2, 35, 22, 4.233, 4.197
Mon Jan  9 10:32:08 EST 2017, 525, 0.860, 6, 0.780, 317, 22, 11, 10, 67, 9.843, 9.987
Mon Jan  9 10:32:26 EST 2017, 680, 0.060, 3, 0.390, 528, 82, 4, 40, 26, 17.670, 17.967
Mon Jan  9 10:33:01 EST 2017, 5630, 0.560, 8, 0.890, 378, 37, 14, 15, 71, 34.560, 33.383
Mon Jan  9 10:34:04 EST 2017, 8105, 0.310, 6, 0.140, 303, 60, 19, 28, 49, 61.697, 62.443
Mon Jan  9 10:34:08 EST 2017, 3155, 0.810, 1, 0.640, 453, 15, 9, 3, 94, 3.603, 3.707
Mon Jan  9 10:34:09 EST 2017, 4392, 0.440, 9, 0.260, 341, 26, 2, 22, 15, 0.953, 0.993
Mon Jan  9 10:36:09 EST 2017, 9342, 0.940, 5, 0.760, 491, 71, 11, 47, 60, 119.960, 116.607
Mon Jan  9 10:36:31 EST 2017, 6867, 0.190, 2, 0.010, 566, 49, 16, 9, 37, 21.850, 21.187
Mon Jan  9 10:38:10 EST 2017, 1917, 0.690, 7, 0.510, 416, 94, 7, 34, 82, 98.420, 95.490
Mon Jan  9 10:38:12 EST 2017, 2536, 0.250, 1, 0.830, 397, 99, 3, 6, 20, 2.123, 2.133
Mon Jan  9 10:39:51 EST 2017, 7486, 0.750, 5, 0.330, 547, 54, 13, 31, 65, 97.700, 92.713
Mon Jan  9 10:41:01 EST 2017, 9961, 0.000, 7, 0.580, 472, 77, 17, 18, 43, 70.223, 69.707
Mon Jan  9 10:41:32 EST 2017, 5011, 0.500, 3, 0.080, 322, 32, 8, 43, 88, 29.677, 30.077
Mon Jan  9 10:41:33 EST 2017, 3773, 0.120, 6, 0.950, 509, 20, 1, 25, 32, 1.277, 1.280
Mon Jan  9 10:41:51 EST 2017, 8723, 0.620, 2, 0.450, 359, 65, 10, 0, 77, 17.440, 16.743
Mon Jan  9 10:42:52 EST 2017, 6248, 0.370, 4, 0.700, 434, 43, 15, 37, 54, 59.180, 60.483
Mon Jan  9 10:43:55 EST 2017, 1298, 0.870, 9, 0.200, 584, 88, 5, 12, 99, 60.903, 62.633
Mon Jan  9 10:44:52 EST 2017, 989, 0.410, 5, 0.050, 462, 63, 14, 1, 91, 52.217, 52.920
Mon Jan  9 10:44:54 EST 2017, 5939, 0.910, 1, 0.550, 312, 18, 5, 26, 46, 1.970, 2.030
Mon Jan  9 10:45:43 EST 2017, 8414, 0.160, 3, 0.300, 387, 85, 10, 14, 68, 48.577, 46.717
Mon Jan  9 10:46:27 EST 2017, 3464, 0.660, 8, 0.800, 537, 40, 19, 39, 23, 43.053, 42.233
Mon Jan  9 10:47:25 EST 2017, 4701, 0.030, 2, 0.170, 425, 51, 12, 33, 79, 57.090, 56.443
Mon Jan  9 10:47:36 EST 2017, 9651, 0.530, 7, 0.670, 575, 96, 3, 8, 34, 11.537, 11.397
Mon Jan  9 10:48:07 EST 2017, 7176, 0.280, 9, 0.420, 500, 29, 7, 45, 57, 30.537, 30.570
Mon Jan  9 10:48:20 EST 2017, 2226, 0.780, 4, 0.920, 350, 74, 17, 20, 12, 12.803, 12.877
Mon Jan  9 10:50:43 EST 2017, 1608, 0.220, 8, 0.730, 331, 68, 13, 48, 85, 137.777, 139.163
Mon Jan  9 10:50:48 EST 2017, 6558, 0.720, 4, 0.230, 481, 23, 4, 23, 40, 5.200, 5.250
Mon Jan  9 10:52:07 EST 2017, 9033, 0.470, 2, 0.980, 556, 91, 8, 36, 63, 75.617, 76.723
Mon Jan  9 10:52:19 EST 2017, 4083, 0.970, 6, 0.480, 406, 46, 18, 11, 18, 11.693, 12.027
Mon Jan  9 10:53:16 EST 2017, 2845, 0.340, 5, 0.610, 594, 34, 11, 17, 96, 54.937, 54.670
Mon Jan  9 10:53:26 EST 2017, 7795, 0.840, 9, 0.110, 444, 79, 1, 42, 51, 10.180, 10.253
Mon Jan  9 10:53:29 EST 2017, 5320, 0.090, 7, 0.860, 369, 12, 6, 4, 74, 2.603, 2.610
Mon Jan  9 10:54:11 EST 2017, 370, 0.590, 3, 0.360, 519, 57, 16, 29, 29, 40.593, 40.023
