# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, 2tHeap_timing_secs
Mon Jan  9 11:44:42 EST 2017, 4747, 0.280, 8, 0.180, 594, 25, 2, 28, 77, 9.257, 9.327
Mon Jan  9 11:44:58 EST 2017, 9697, 0.780, 4, 0.680, 444, 70, 11, 3, 32, 15.333, 11.550
Mon Jan  9 11:47:03 EST 2017, 7222, 0.030, 2, 0.430, 369, 48, 16, 41, 99, 120.857, 101.330
Mon Jan  9 11:47:57 EST 2017, 2272, 0.530, 6, 0.930, 519, 93, 6, 16, 54, 49.027, 48.570
Mon Jan  9 11:48:41 EST 2017, 1654, 0.460, 1, 0.740, 463, 98, 5, 38, 71, 39.153, 39.737
Mon Jan  9 11:48:59 EST 2017, 6604, 0.960, 6, 0.240, 313, 53, 15, 13, 26, 16.003, 15.287
Mon Jan  9 11:52:49 EST 2017, 9079, 0.210, 8, 0.990, 388, 76, 19, 25, 93, 217.840, 192.350
Mon Jan  9 11:52:59 EST 2017, 4129, 0.710, 3, 0.490, 538, 31, 10, 0, 48, 8.180, 7.570
Mon Jan  9 11:53:05 EST 2017, 2891, 0.090, 7, 0.620, 426, 19, 3, 19, 60, 5.593, 4.580
Mon Jan  9 11:53:30 EST 2017, 7841, 0.590, 2, 0.120, 576, 64, 12, 44, 15, 23.433, 24.623
Mon Jan  9 11:54:23 EST 2017, 5366, 0.340, 4, 0.870, 501, 42, 17, 7, 82, 52.150, 39.007
Mon Jan  9 11:55:06 EST 2017, 416, 0.840, 9, 0.370, 351, 87, 8, 32, 37, 36.673, 38.440
Mon Jan  9 11:55:28 EST 2017, 571, 0.070, 1, 0.950, 571, 26, 17, 12, 78, 19.883, 21.070
Mon Jan  9 11:56:16 EST 2017, 5521, 0.570, 5, 0.450, 421, 71, 8, 37, 33, 44.500, 41.127
Mon Jan  9 11:56:21 EST 2017, 7996, 0.320, 7, 0.700, 346, 49, 3, 0, 55, 3.987, 4.947
Mon Jan  9 11:56:43 EST 2017, 3046, 0.820, 3, 0.200, 496, 94, 13, 25, 10, 19.960, 18.667
Mon Jan  9 12:00:11 EST 2017, 4283, 0.450, 6, 0.820, 308, 83, 15, 43, 89, 200.653, 186.477
Mon Jan  9 12:00:23 EST 2017, 9233, 0.950, 2, 0.320, 458, 38, 6, 18, 44, 9.590, 9.207
Mon Jan  9 12:00:37 EST 2017, 6758, 0.200, 4, 0.570, 533, 60, 1, 31, 67, 10.323, 13.923
Mon Jan  9 12:00:41 EST 2017, 1808, 0.700, 9, 0.070, 383, 15, 10, 6, 22, 3.137, 2.183
Mon Jan  9 12:01:22 EST 2017, 2427, 0.260, 3, 0.260, 440, 10, 19, 34, 95, 36.507, 30.857
Mon Jan  9 12:02:02 EST 2017, 7377, 0.760, 8, 0.760, 590, 55, 9, 9, 50, 35.720, 31.987
Mon Jan  9 12:02:38 EST 2017, 9852, 0.010, 6, 0.010, 515, 32, 4, 46, 72, 34.547, 29.633
Mon Jan  9 12:03:01 EST 2017, 4902, 0.510, 1, 0.510, 365, 77, 14, 21, 27, 17.177, 17.073
Mon Jan  9 12:05:02 EST 2017, 3665, 0.140, 9, 0.380, 477, 88, 16, 3, 84, 110.147, 87.540
Mon Jan  9 12:05:20 EST 2017, 8615, 0.640, 5, 0.880, 327, 43, 7, 28, 39, 15.763, 16.537
Mon Jan  9 12:05:31 EST 2017, 6140, 0.390, 2, 0.130, 402, 66, 2, 15, 61, 8.753, 9.147
Mon Jan  9 12:05:45 EST 2017, 1190, 0.890, 7, 0.630, 552, 21, 11, 40, 16, 11.753, 12.047
Mon Jan  9 12:05:58 EST 2017, 880, 0.420, 8, 0.600, 505, 46, 9, 29, 13, 11.763, 12.363
Mon Jan  9 12:07:07 EST 2017, 5830, 0.920, 4, 0.100, 355, 91, 18, 4, 58, 62.503, 48.620
Mon Jan  9 12:07:28 EST 2017, 8305, 0.170, 2, 0.850, 430, 24, 13, 42, 36, 18.147, 19.530
Mon Jan  9 12:08:21 EST 2017, 3355, 0.670, 6, 0.350, 580, 69, 4, 17, 81, 50.590, 43.083
Mon Jan  9 12:08:30 EST 2017, 4593, 0.040, 5, 0.730, 393, 57, 6, 10, 25, 8.000, 7.377
Mon Jan  9 12:09:13 EST 2017, 9543, 0.540, 9, 0.230, 543, 12, 16, 35, 70, 36.827, 40.633
Mon Jan  9 12:10:53 EST 2017, 7068, 0.290, 7, 0.980, 468, 80, 11, 23, 47, 91.047, 57.930
Mon Jan  9 12:11:01 EST 2017, 2118, 0.790, 3, 0.480, 318, 35, 1, 48, 92, 6.593, 7.100
Mon Jan  9 12:11:18 EST 2017, 1499, 0.230, 5, 0.160, 374, 41, 10, 20, 30, 15.303, 15.287
Mon Jan  9 12:14:25 EST 2017, 6449, 0.730, 1, 0.660, 524, 86, 19, 45, 75, 168.060, 170.583
Mon Jan  9 12:14:37 EST 2017, 8924, 0.480, 3, 0.410, 599, 18, 14, 7, 53, 12.257, 10.383
Mon Jan  9 12:16:07 EST 2017, 3974, 0.980, 8, 0.910, 449, 63, 5, 32, 98, 76.180, 69.163
Mon Jan  9 12:16:29 EST 2017, 2736, 0.360, 2, 0.040, 561, 74, 7, 39, 19, 19.737, 18.150
Mon Jan  9 12:17:11 EST 2017, 7686, 0.860, 7, 0.540, 411, 29, 17, 14, 64, 38.340, 36.890
Mon Jan  9 12:18:28 EST 2017, 5211, 0.110, 9, 0.290, 336, 97, 12, 26, 41, 70.303, 60.737
Mon Jan  9 12:18:44 EST 2017, 261, 0.610, 4, 0.790, 486, 52, 3, 1, 86, 12.140, 13.057
Mon Jan  9 12:19:17 EST 2017, 339, 0.210, 9, 0.660, 419, 36, 15, 18, 46, 31.303, 29.590
Mon Jan  9 12:21:36 EST 2017, 5289, 0.710, 4, 0.160, 569, 81, 5, 43, 91, 134.067, 127.373
Mon Jan  9 12:21:37 EST 2017, 7764, 0.460, 2, 0.910, 494, 13, 1, 5, 24, 0.310, 0.340
Mon Jan  9 12:22:50 EST 2017, 2814, 0.960, 7, 0.410, 344, 58, 10, 30, 69, 69.737, 59.833
Mon Jan  9 12:24:40 EST 2017, 4051, 0.330, 3, 0.530, 456, 69, 17, 49, 35, 98.310, 95.057
Mon Jan  9 12:25:02 EST 2017, 9001, 0.830, 8, 0.030, 306, 24, 8, 24, 80, 19.310, 20.243
Mon Jan  9 12:25:11 EST 2017, 6526, 0.080, 5, 0.780, 381, 92, 3, 37, 13, 7.610, 7.397
Mon Jan  9 12:25:39 EST 2017, 1576, 0.580, 1, 0.280, 531, 47, 13, 12, 58, 26.893, 21.580
Mon Jan  9 12:27:24 EST 2017, 2195, 0.390, 7, 0.090, 587, 52, 16, 33, 41, 98.337, 86.420
Mon Jan  9 12:28:26 EST 2017, 7145, 0.890, 3, 0.590, 437, 97, 7, 8, 86, 59.740, 42.423
Mon Jan  9 12:28:30 EST 2017, 9620, 0.140, 5, 0.340, 362, 30, 2, 46, 18, 3.247, 2.743
Mon Jan  9 12:30:21 EST 2017, 4670, 0.640, 9, 0.840, 512, 75, 11, 21, 63, 100.853, 90.750
Mon Jan  9 12:30:39 EST 2017, 3433, 0.020, 1, 0.220, 325, 64, 18, 2, 52, 15.143, 14.290
Mon Jan  9 12:31:17 EST 2017, 8383, 0.520, 6, 0.720, 475, 19, 9, 27, 97, 33.383, 32.687
Mon Jan  9 12:31:38 EST 2017, 5908, 0.270, 8, 0.470, 550, 86, 4, 15, 29, 19.230, 16.913
Mon Jan  9 12:33:11 EST 2017, 958, 0.770, 4, 0.970, 400, 41, 14, 40, 74, 82.140, 81.997
Mon Jan  9 12:33:21 EST 2017, 1267, 0.300, 2, 0.750, 353, 16, 6, 26, 66, 7.337, 7.503
Mon Jan  9 12:33:39 EST 2017, 6217, 0.800, 7, 0.250, 503, 61, 15, 1, 21, 16.583, 10.770
Mon Jan  9 12:35:54 EST 2017, 8692, 0.050, 9, 0.500, 578, 38, 11, 38, 89, 131.147, 113.400
Mon Jan  9 12:36:02 EST 2017, 3742, 0.550, 5, 0.000, 428, 83, 1, 13, 44, 6.607, 6.780
Mon Jan  9 12:36:56 EST 2017, 4979, 0.180, 6, 0.880, 540, 95, 8, 7, 55, 53.270, 38.720
Mon Jan  9 12:37:03 EST 2017, 9929, 0.680, 1, 0.380, 390, 50, 18, 32, 10, 5.873, 5.817
Mon Jan  9 12:38:18 EST 2017, 7454, 0.430, 3, 0.630, 315, 72, 13, 19, 77, 66.297, 62.953
Mon Jan  9 12:38:30 EST 2017, 2504, 0.930, 8, 0.130, 465, 27, 4, 44, 32, 10.493, 10.547
Mon Jan  9 12:38:52 EST 2017, 1886, 0.110, 4, 0.440, 522, 22, 7, 23, 60, 18.133, 19.710
Mon Jan  9 12:39:39 EST 2017, 6836, 0.610, 8, 0.940, 372, 67, 17, 48, 15, 42.970, 39.623
Mon Jan  9 12:40:38 EST 2017, 9311, 0.360, 6, 0.190, 447, 44, 12, 10, 83, 53.403, 44.733
Mon Jan  9 12:40:57 EST 2017, 4361, 0.860, 2, 0.690, 597, 89, 2, 35, 38, 16.443, 16.883
Mon Jan  9 12:43:14 EST 2017, 3123, 0.490, 7, 0.310, 409, 78, 10, 41, 72, 127.853, 126.537
Mon Jan  9 12:43:41 EST 2017, 8073, 0.990, 3, 0.810, 559, 33, 19, 16, 27, 24.620, 19.883
Mon Jan  9 12:45:04 EST 2017, 5598, 0.240, 1, 0.060, 484, 55, 14, 29, 94, 76.203, 71.123
Mon Jan  9 12:45:05 EST 2017, 648, 0.740, 5, 0.560, 334, 10, 5, 4, 49, 1.253, 1.180
Mon Jan  9 12:50:50 EST 2017, 493, 0.440, 5, 0.230, 545, 93, 10, 47, 98, 318.997, 284.843
Mon Jan  9 12:50:56 EST 2017, 5443, 0.940, 9, 0.730, 395, 48, 1, 22, 53, 5.460, 4.540
Mon Jan  9 12:51:58 EST 2017, 7918, 0.190, 7, 0.480, 320, 71, 6, 34, 76, 55.870, 54.437
Mon Jan  9 12:52:05 EST 2017, 2968, 0.690, 2, 0.980, 470, 26, 15, 9, 31, 6.847, 5.893
Mon Jan  9 12:52:20 EST 2017, 4206, 0.070, 8, 0.110, 358, 14, 13, 16, 87, 14.390, 13.213
Mon Jan  9 12:52:43 EST 2017, 9156, 0.570, 4, 0.610, 508, 59, 3, 41, 42, 20.810, 20.230
Mon Jan  9 12:52:52 EST 2017, 6681, 0.320, 1, 0.360, 583, 37, 8, 3, 65, 9.150, 8.827
Mon Jan  9 12:53:51 EST 2017, 1731, 0.820, 6, 0.860, 433, 82, 18, 28, 20, 53.220, 46.047
Mon Jan  9 12:54:30 EST 2017, 2350, 0.130, 2, 0.550, 376, 88, 12, 0, 82, 35.783, 25.983
Mon Jan  9 12:54:38 EST 2017, 7300, 0.630, 6, 0.050, 526, 43, 2, 25, 37, 8.557, 6.817
Mon Jan  9 12:55:17 EST 2017, 9775, 0.380, 9, 0.800, 451, 65, 7, 12, 59, 37.893, 31.207
Mon Jan  9 12:55:22 EST 2017, 4825, 0.880, 4, 0.300, 301, 20, 16, 37, 14, 5.343, 5.197
Mon Jan  9 12:56:54 EST 2017, 3587, 0.250, 5, 0.670, 489, 31, 14, 31, 93, 80.833, 85.407
Mon Jan  9 12:56:59 EST 2017, 8537, 0.750, 1, 0.170, 339, 76, 4, 6, 48, 4.407, 4.733
Mon Jan  9 12:58:13 EST 2017, 6062, 0.000, 3, 0.920, 414, 54, 9, 44, 70, 69.760, 62.493
Mon Jan  9 13:00:02 EST 2017, 1112, 0.500, 8, 0.420, 564, 99, 19, 19, 25, 106.137, 81.063
Mon Jan  9 13:00:08 EST 2017, 803, 0.040, 7, 0.330, 479, 74, 2, 8, 28, 6.050, 5.393
Mon Jan  9 13:00:36 EST 2017, 5753, 0.540, 2, 0.830, 329, 29, 11, 33, 73, 25.300, 25.237
Mon Jan  9 13:02:18 EST 2017, 8228, 0.290, 4, 0.080, 404, 96, 16, 20, 51, 98.160, 87.957
Mon Jan  9 13:04:10 EST 2017, 3278, 0.790, 9, 0.580, 554, 51, 6, 45, 96, 98.400, 108.773
Mon Jan  9 13:04:14 EST 2017, 4515, 0.410, 1, 0.450, 442, 40, 4, 26, 17, 2.720, 2.543
Mon Jan  9 13:05:22 EST 2017, 9465, 0.910, 6, 0.950, 592, 85, 13, 1, 62, 66.403, 46.360
Mon Jan  9 13:06:11 EST 2017, 6990, 0.160, 8, 0.200, 517, 17, 18, 39, 39, 34.747, 40.920
Mon Jan  9 13:07:05 EST 2017, 2040, 0.660, 3, 0.700, 367, 62, 9, 14, 84, 45.530, 41.260
Mon Jan  9 13:07:10 EST 2017, 1422, 0.350, 9, 0.890, 311, 57, 3, 42, 11, 4.000, 4.080
Mon Jan  9 13:07:25 EST 2017, 6372, 0.850, 5, 0.390, 461, 12, 12, 17, 56, 10.103, 13.420
Mon Jan  9 13:09:04 EST 2017, 8847, 0.100, 3, 0.640, 536, 79, 17, 30, 34, 90.727, 85.170
Mon Jan  9 13:09:23 EST 2017, 3897, 0.600, 7, 0.140, 386, 34, 7, 5, 79, 15.320, 15.407
Mon Jan  9 13:09:37 EST 2017, 2659, 0.220, 4, 0.770, 573, 45, 5, 23, 22, 10.043, 12.860
Mon Jan  9 13:14:16 EST 2017, 7609, 0.720, 8, 0.270, 423, 90, 15, 48, 67, 276.023, 228.380
Mon Jan  9 13:14:35 EST 2017, 5134, 0.470, 6, 0.520, 348, 23, 19, 11, 45, 16.640, 15.447
Mon Jan  9 13:17:13 EST 2017, 184, 0.970, 2, 0.020, 498, 68, 10, 36, 90, 143.060, 98.113
Mon Jan  9 13:20:20 EST 2017, 223, 0.020, 3, 0.580, 342, 99, 16, 28, 93, 175.410, 172.930
Mon Jan  9 13:20:37 EST 2017, 5173, 0.520, 8, 0.080, 492, 54, 6, 3, 48, 16.813, 12.770
Mon Jan  9 13:21:33 EST 2017, 7648, 0.270, 6, 0.830, 567, 77, 2, 40, 71, 42.070, 42.233
Mon Jan  9 13:21:39 EST 2017, 2698, 0.770, 1, 0.330, 417, 32, 11, 15, 26, 5.373, 4.787
Mon Jan  9 13:22:30 EST 2017, 3935, 0.390, 9, 0.710, 530, 20, 18, 9, 82, 43.023, 37.280
Mon Jan  9 13:23:15 EST 2017, 8885, 0.890, 4, 0.210, 380, 65, 9, 34, 37, 36.510, 31.587
Mon Jan  9 13:23:25 EST 2017, 6410, 0.140, 2, 0.960, 305, 43, 4, 22, 59, 9.237, 7.303
Mon Jan  9 13:24:19 EST 2017, 1460, 0.640, 7, 0.460, 455, 88, 14, 47, 14, 47.047, 51.107
Mon Jan  9 13:25:50 EST 2017, 2079, 0.330, 1, 0.140, 511, 82, 15, 18, 87, 89.037, 81.153
Mon Jan  9 13:26:08 EST 2017, 7029, 0.830, 5, 0.640, 361, 37, 5, 43, 42, 15.280, 16.117
Mon Jan  9 13:26:12 EST 2017, 9504, 0.080, 7, 0.390, 436, 60, 1, 6, 65, 3.927, 4.560
Mon Jan  9 13:26:18 EST 2017, 4554, 0.580, 3, 0.890, 586, 15, 10, 31, 20, 5.230, 4.980
Mon Jan  9 13:27:59 EST 2017, 3317, 0.200, 6, 0.020, 399, 26, 17, 37, 99, 93.880, 81.473
Mon Jan  9 13:28:29 EST 2017, 8267, 0.700, 2, 0.520, 549, 71, 8, 12, 54, 27.867, 27.093
Mon Jan  9 13:29:00 EST 2017, 5792, 0.450, 4, 0.270, 474, 49, 3, 25, 76, 21.627, 26.237
Mon Jan  9 13:29:16 EST 2017, 842, 0.950, 8, 0.770, 324, 94, 12, 0, 31, 15.580, 10.220
Mon Jan  9 13:29:30 EST 2017, 1151, 0.480, 5, 0.990, 427, 68, 7, 14, 23, 13.247, 11.807
Mon Jan  9 13:30:10 EST 2017, 6101, 0.980, 1, 0.490, 577, 23, 17, 39, 68, 35.450, 35.473
Mon Jan  9 13:30:47 EST 2017, 8576, 0.230, 3, 0.740, 502, 91, 12, 1, 45, 33.813, 25.327
Mon Jan  9 13:31:03 EST 2017, 3626, 0.730, 8, 0.240, 352, 46, 2, 26, 90, 14.497, 14.677
Mon Jan  9 13:31:11 EST 2017, 4863, 0.110, 2, 0.860, 464, 35, 9, 45, 12, 6.627, 6.077
Mon Jan  9 13:33:06 EST 2017, 9813, 0.610, 6, 0.360, 314, 80, 19, 20, 57, 109.640, 83.977
Mon Jan  9 13:33:16 EST 2017, 7338, 0.360, 9, 0.610, 389, 12, 14, 33, 34, 9.577, 9.403
Mon Jan  9 13:33:42 EST 2017, 2388, 0.860, 4, 0.110, 539, 57, 5, 8, 79, 24.577, 25.063
Mon Jan  9 13:34:06 EST 2017, 1770, 0.170, 8, 0.300, 595, 63, 6, 36, 17, 22.593, 21.597
Mon Jan  9 13:34:23 EST 2017, 6720, 0.670, 4, 0.800, 445, 18, 15, 11, 62, 16.243, 14.563
Mon Jan  9 13:35:07 EST 2017, 9195, 0.420, 1, 0.050, 370, 85, 11, 48, 40, 38.757, 43.063
Mon Jan  9 13:35:17 EST 2017, 4245, 0.920, 6, 0.550, 520, 40, 1, 23, 85, 7.693, 9.697
Mon Jan  9 13:35:25 EST 2017, 3007, 0.300, 5, 0.430, 333, 51, 8, 4, 28, 6.313, 6.113
Mon Jan  9 13:40:48 EST 2017, 7957, 0.800, 9, 0.930, 483, 96, 18, 29, 73, 307.003, 253.690
Mon Jan  9 13:41:32 EST 2017, 5482, 0.050, 7, 0.180, 558, 29, 13, 17, 51, 36.113, 32.927
Mon Jan  9 13:42:46 EST 2017, 532, 0.550, 2, 0.680, 408, 74, 4, 42, 96, 57.113, 58.587
Mon Jan  9 13:43:22 EST 2017, 687, 0.250, 8, 0.000, 469, 42, 12, 11, 52, 31.823, 28.690
Mon Jan  9 13:43:50 EST 2017, 5637, 0.750, 3, 0.500, 319, 87, 2, 36, 97, 23.477, 27.010
Mon Jan  9 13:43:53 EST 2017, 8112, 0.000, 1, 0.250, 394, 19, 7, 24, 30, 2.497, 2.620
Mon Jan  9 13:48:37 EST 2017, 3162, 0.500, 5, 0.750, 544, 64, 16, 49, 75, 257.697, 257.937
Mon Jan  9 13:50:07 EST 2017, 4399, 0.130, 4, 0.130, 431, 75, 14, 30, 41, 83.900, 74.827
Mon Jan  9 13:50:23 EST 2017, 9349, 0.630, 9, 0.630, 581, 30, 4, 5, 86, 14.113, 10.523
Mon Jan  9 13:51:17 EST 2017, 6874, 0.380, 7, 0.380, 506, 98, 9, 43, 19, 52.907, 46.087
