# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 1 10', '--delay 1 10', '--selfEvents% 0 100', '--callIntervalMean 1 10', '--callDurationMean 1 10', '--maxChannels 10 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, heap2tQ_timing_secs
Wed May 17 17:06:45 EDT 2017, 0.540, 2, 5, 0.430, 4, 8, 74, 555, 77, 8, 25, 24, 13.010, 14.190
Wed May 17 17:07:00 EDT 2017, 0.040, 6, 9, 0.930, 9, 3, 29, 405, 32, 17, 0, 69, 14.797, 15.007
Wed May 17 17:07:30 EDT 2017, 0.060, 3, 1, 0.260, 2, 7, 56, 522, 72, 4, 15, 45, 29.600, 26.987
Wed May 17 17:07:50 EDT 2017, 0.560, 8, 5, 0.760, 6, 3, 11, 372, 27, 14, 40, 90, 19.540, 17.167
Wed May 17 17:09:11 EDT 2017, 0.810, 1, 8, 0.010, 9, 9, 34, 597, 95, 19, 3, 68, 80.223, 73.817
Wed May 17 17:09:21 EDT 2017, 0.310, 6, 3, 0.510, 4, 5, 79, 447, 50, 9, 28, 23, 10.073, 9.057
Wed May 17 17:09:58 EDT 2017, 0.430, 2, 6, 0.380, 7, 4, 67, 334, 61, 16, 9, 79, 36.067, 31.290
Wed May 17 17:10:04 EDT 2017, 0.930, 7, 2, 0.880, 3, 8, 22, 484, 16, 7, 34, 34, 5.760, 4.753
Wed May 17 17:10:07 EDT 2017, 0.680, 4, 4, 0.130, 1, 2, 45, 409, 84, 2, 21, 12, 1.957, 2.793
Wed May 17 17:10:24 EDT 2017, 0.180, 9, 9, 0.630, 5, 6, 90, 559, 39, 12, 46, 57, 15.463, 17.047
Wed May 17 17:10:39 EDT 2017, 0.240, 1, 4, 0.950, 7, 6, 62, 391, 55, 3, 49, 74, 11.123, 14.677
Wed May 17 17:10:42 EDT 2017, 0.740, 5, 8, 0.450, 2, 1, 17, 541, 10, 13, 24, 29, 2.073, 2.250
Wed May 17 17:11:13 EDT 2017, 0.990, 3, 6, 0.700, 5, 8, 39, 316, 78, 18, 37, 51, 30.867, 26.073
Wed May 17 17:12:02 EDT 2017, 0.490, 7, 1, 0.200, 9, 3, 84, 466, 33, 8, 12, 96, 48.207, 35.160
Wed May 17 17:12:12 EDT 2017, 0.370, 4, 9, 0.820, 4, 4, 73, 578, 67, 15, 31, 17, 9.280, 9.813
Wed May 17 17:12:20 EDT 2017, 0.870, 8, 5, 0.320, 8, 9, 28, 428, 22, 6, 6, 62, 5.977, 7.160
Wed May 17 17:12:40 EDT 2017, 0.620, 2, 3, 0.570, 6, 2, 51, 503, 89, 1, 43, 85, 12.797, 19.873
Wed May 17 17:12:49 EDT 2017, 0.120, 6, 7, 0.070, 1, 7, 96, 353, 44, 10, 18, 40, 8.127, 8.717
Wed May 17 17:13:08 EDT 2017, 0.090, 2, 8, 0.170, 4, 9, 14, 419, 53, 7, 7, 76, 14.733, 18.493
Wed May 17 17:14:10 EDT 2017, 0.590, 6, 3, 0.670, 9, 4, 59, 569, 98, 17, 32, 31, 61.497, 45.177
Wed May 17 17:14:36 EDT 2017, 0.840, 4, 1, 0.420, 7, 6, 81, 344, 30, 12, 20, 54, 25.787, 16.867
Wed May 17 17:15:05 EDT 2017, 0.340, 9, 6, 0.920, 2, 2, 36, 494, 75, 3, 45, 99, 20.120, 28.357
